source	target	ligand	receptor	GSE174574	GSE245386	all_11_native_strength_zero	metric
Endothelial	Astrocyte	Psap	Gpr37l1	-0.04922472913123965	-0.026146470385508477	False	cellchat_probability
Endothelial	Astrocyte	Ptn	Ncl	-0.0031397680841154614	-0.017352828350009453	False	cellchat_probability
Endothelial	Astrocyte	Ptn	Ptprz1	-0.0641051804524349	-0.18619097284072	False	cellchat_probability
Endothelial	Astrocyte	Ptn	Sdc2	-0.018445640512394574	-0.043353825044635905	False	cellchat_probability
Endothelial	Astrocyte	Ptn	Sdc4	-0.043142745836203034	-0.0391946336159953	False	cellchat_probability
Astrocyte	Endothelial	Lamb2	Dag1	0.014059514059514056	-0.024774774774774785	True	cellchat_strength_percentile
Astrocyte	Endothelial	Lamb2	Itga6_Itgb1	0.014059514059514056	-0.024774774774774785	True	cellchat_strength_percentile
Astrocyte	Endothelial	Mdk	Itga6_Itgb1	0.005733005733005725	0.068932568932569	False	cellchat_strength_percentile
Astrocyte	Endothelial	Mdk	Ncl	0.03330603330603321	0.07630357630357637	False	cellchat_strength_percentile
Astrocyte	Endothelial	Ptn	Ncl	0.006006006006006093	-0.03003003003002991	False	cellchat_strength_percentile
Astrocyte	Endothelial	Ptn	Sdc3	0.014059514059514056	0.23027573027573028	False	cellchat_strength_percentile
Astrocyte	Endothelial	Sema4a	Nrp1_Plxna2	0.014059514059514056	-0.13363363363363362	False	cellchat_strength_percentile
Astrocyte	Endothelial	Vegfa	Flt1_Kdr	0.18604968604968602	-0.18400218400218393	False	cellchat_strength_percentile
Endothelial	Astrocyte	Agrn	Dag1	-0.09773409773409769	-0.32357357357357364	False	cellchat_strength_percentile
Endothelial	Astrocyte	Col4a1	Itgav_Itgb8	0.014059514059514056	0.11015561015561015	False	cellchat_strength_percentile
Endothelial	Astrocyte	Col4a2	Itgav_Itgb8	0.014059514059514056	0.1609336609336609	False	cellchat_strength_percentile
Endothelial	Astrocyte	Dll4	Notch1	0.014059514059514056	-0.03494403494403503	False	cellchat_strength_percentile
Endothelial	Astrocyte	Dll4	Notch2	0.014059514059514056	-0.08463008463008467	False	cellchat_strength_percentile
Endothelial	Astrocyte	Edn1	Ednrb	-0.042861042861042864	-0.20802620802620797	False	cellchat_strength_percentile
Endothelial	Astrocyte	Efna1	Epha5	0.014059514059514056	-0.1055828555828556	False	cellchat_strength_percentile
Endothelial	Astrocyte	Entpd1	Adora2b	0.014059514059514056	-0.024774774774774785	True	cellchat_strength_percentile
Endothelial	Astrocyte	Fn1	Itgav_Itgb1	0.014059514059514056	0.12462462462462465	False	cellchat_strength_percentile
Endothelial	Astrocyte	Fn1	Itgav_Itgb8	0.014059514059514056	0.07098007098007086	False	cellchat_strength_percentile
Endothelial	Astrocyte	Gas6	Axl	0.014059514059514056	-0.00013650013650015613	False	cellchat_strength_percentile
Endothelial	Astrocyte	Gas6	Mertk	-0.1004641004641007	-0.08067158067158064	False	cellchat_strength_percentile
Endothelial	Astrocyte	Jam2	Itgav_Itgb1	0.014059514059514056	0.040131040131040074	False	cellchat_strength_percentile
Endothelial	Astrocyte	Lamb2	Dag1	0.014059514059514056	-0.10537810537810544	False	cellchat_strength_percentile
Endothelial	Astrocyte	Lamb2	Itga6_Itgb1	0.014059514059514056	-0.07848757848757848	False	cellchat_strength_percentile
Endothelial	Astrocyte	Lamb2	Itgav_Itgb8	0.014059514059514056	-0.02279552279552277	False	cellchat_strength_percentile
Endothelial	Astrocyte	Pros1	Axl	0.014059514059514056	0.0758940758940759	False	cellchat_strength_percentile
Endothelial	Astrocyte	Pros1	Mertk	0.2972972972972974	0.04340704340704338	False	cellchat_strength_percentile
Endothelial	Astrocyte	Psap	Gpr37	0.014059514059514056	-0.22556647556647555	False	cellchat_strength_percentile
Endothelial	Astrocyte	Psap	Gpr37l1	0.001092001092001138	-0.047229047229047194	False	cellchat_strength_percentile
Endothelial	Astrocyte	Ptn	Ncl	0.14100464100464105	-0.2633087633087634	False	cellchat_strength_percentile
Endothelial	Astrocyte	Ptn	Ptprz1	-0.050505050505050386	-0.2609882609882609	False	cellchat_strength_percentile
Endothelial	Astrocyte	Ptn	Sdc2	-0.10319410319410327	-0.44990444990444994	False	cellchat_strength_percentile
Endothelial	Astrocyte	Ptn	Sdc4	-0.04504504504504525	-0.1571116571116572	False	cellchat_strength_percentile
Astrocyte	Endothelial	Lamb2	Dag1	0.0	0.0	True	LIANA_unique_column_RRA_priority
Astrocyte	Endothelial	Lamb2	Itga6_Itgb1	-0.11953385670109455	0.0	True	LIANA_unique_column_RRA_priority
Astrocyte	Endothelial	Mdk	Itga6_Itgb1	0.013515629020212527	-0.08733463336199276	False	LIANA_unique_column_RRA_priority
Astrocyte	Endothelial	Mdk	Ncl	0.07051387009941867	0.011093109138333501	False	LIANA_unique_column_RRA_priority
Astrocyte	Endothelial	Ptn	Ncl	0.00014703038004926228	-0.002153053938682814	False	LIANA_unique_column_RRA_priority
Astrocyte	Endothelial	Ptn	Sdc3	0.003925928859211947	0.04780664930312539	False	LIANA_unique_column_RRA_priority
Astrocyte	Endothelial	Sema4a	Nrp1_Plxna2	0.0	-0.39769518360343487	False	LIANA_unique_column_RRA_priority
Astrocyte	Endothelial	Vegfa	Flt1_Kdr	-0.19926681520624545	-0.4471004256776214	False	LIANA_unique_column_RRA_priority
Endothelial	Astrocyte	Agrn	Dag1	-0.03885187001330955	0.0	False	LIANA_unique_column_RRA_priority
Endothelial	Astrocyte	Col4a1	Itgav_Itgb8	0.61737154744818	0.11620430741520715	False	LIANA_unique_column_RRA_priority
Endothelial	Astrocyte	Col4a2	Itgav_Itgb8	0.4334881199262899	0.23333345697740715	False	LIANA_unique_column_RRA_priority
Endothelial	Astrocyte	Dll4	Notch1	0.0	0.0	False	LIANA_unique_column_RRA_priority
Endothelial	Astrocyte	Dll4	Notch2	0.0	0.0	False	LIANA_unique_column_RRA_priority
Endothelial	Astrocyte	Edn1	Ednrb	-0.034267295633031325	-0.46562606519974264	False	LIANA_unique_column_RRA_priority
Endothelial	Astrocyte	Efna1	Epha5	0.0	0.0	False	LIANA_unique_column_RRA_priority
Endothelial	Astrocyte	Entpd1	Adora2b	0.0	0.0	True	LIANA_unique_column_RRA_priority
Endothelial	Astrocyte	Fn1	Itgav_Itgb1	0.09380800765260977	0.05621535973724634	False	LIANA_unique_column_RRA_priority
Endothelial	Astrocyte	Fn1	Itgav_Itgb8	0.023059301393581588	0.03513644572702457	False	LIANA_unique_column_RRA_priority
Endothelial	Astrocyte	Gas6	Axl	-0.22375797851579485	0.0	False	LIANA_unique_column_RRA_priority
Endothelial	Astrocyte	Gas6	Mertk	-0.1281713909804606	-0.06827726617725804	False	LIANA_unique_column_RRA_priority
Endothelial	Astrocyte	Jam2	Itgav_Itgb1	0.049892147028309464	-0.1931322714205646	False	LIANA_unique_column_RRA_priority
Endothelial	Astrocyte	Lamb2	Dag1	0.0	0.0	False	LIANA_unique_column_RRA_priority
Endothelial	Astrocyte	Lamb2	Itga6_Itgb1	0.0	0.0	False	LIANA_unique_column_RRA_priority
Endothelial	Astrocyte	Lamb2	Itgav_Itgb8	0.0	0.0	False	LIANA_unique_column_RRA_priority
Endothelial	Astrocyte	Pros1	Axl	0.0	0.0	False	LIANA_unique_column_RRA_priority
Endothelial	Astrocyte	Pros1	Mertk	-0.03284253441881446	0.029673391585454567	False	LIANA_unique_column_RRA_priority
Endothelial	Astrocyte	Psap	Gpr37	0.023236599346882825	-0.2928553756881863	False	LIANA_unique_column_RRA_priority
Endothelial	Astrocyte	Psap	Gpr37l1	2.9138645148307774e-05	-0.0027605021845988897	False	LIANA_unique_column_RRA_priority
Endothelial	Astrocyte	Ptn	Ncl	-0.0237197310079289	-0.6528457432482585	False	LIANA_unique_column_RRA_priority
Endothelial	Astrocyte	Ptn	Ptprz1	-0.00559994576118894	-0.0426562963259588	False	LIANA_unique_column_RRA_priority
Endothelial	Astrocyte	Ptn	Sdc2	-0.046186930730391484	-0.8695880783917005	False	LIANA_unique_column_RRA_priority
Endothelial	Astrocyte	Ptn	Sdc4	-0.0011565405315070443	-0.046616431064815944	False	LIANA_unique_column_RRA_priority
