elapsed_seconds	rss_bytes
0.05	5386240
1.06	100614144
2.09	158461952
3.11	241045504
4.14	281157632
5.17	432488448
6.19	449368064
7.2	509579264
8.23	535928832
9.27	571076608
10.3	623374336
11.33	677515264
12.34	730542080
13.38	587341824
14.42	789594112
15.44	759328768
16.45	781434880
17.48	760881152
18.5	750645248
19.52	809369600
20.53	799916032
21.55	815939584
22.56	840237056
23.58	813907968
24.61	806105088
25.62	776171520
26.66	807948288
27.67	811491328
28.69	815235072
29.7	881975296
30.72	820322304
31.73	810180608
32.77	887726080
33.78	889982976
34.8	903532544
35.81	891715584
36.83	890892288
37.84	879177728
38.86	895520768
39.88	871460864
40.89	856252416
41.91	893607936
42.92	878206976
43.94	870137856
44.95	903057408
45.97	893779968
46.98	906878976
48.02	896389120
49.03	848445440
50.05	817688576
51.09	811515904
52.11	839507968
53.12	855281664
54.14	816762880
55.16	809807872
56.19	807518208
57.2	804667392
58.22	812994560
59.25	859140096
60.27	889577472
61.3	881324032
62.31	870461440
63.34	814456832
64.36	767369216
65.39	902500352
66.42	885231616
67.44	821809152
68.47	879050752
69.5	887054336
70.52	832499712
71.53	790904832
72.56	735780864
73.59	804831232
74.61	846540800
75.62	839045120
76.64	828387328
77.66	821436416
78.67	815153152
79.67	820322304
80.69	818188288
81.7	810475520
82.72	829194240
83.73	836481024
84.75	847609856
85.77	827813888
86.8	831860736
87.81	781160448
88.83	806625280
89.84	802750464
90.86	749613056
91.88	806502400
92.89	771473408
93.91	837873664
94.94	834940928
95.95	816214016
96.98	786329600
98.0	833937408
99.03	828633088
100.05	776462336
101.06	828145664
102.11	841904128
103.14	830308352
104.16	806309888
105.2	768184320
106.22	827879424
107.23	826056704
108.25	775057408
109.28	780165120
110.3	758861824
111.31	777711616
112.33	766959616
113.36	771551232
114.39	766898176
115.39	798920704
116.42	781770752
117.42	769859584
118.45	755707904
119.47	835784704
120.48	836177920
121.53	834293760
122.55	837758976
123.56	845946880
124.58	846557184
125.59	850481152
126.62	843059200
127.64	814604288
128.66	877473792
129.67	830988288
130.67	873496576
131.69	903622656
