dataset	sample	condition	config	cell_type	gene	raw_detection	corrected_detection_gt0	corrected_detection_ge1	raw_mean_count	corrected_mean_estimated_count	raw_mean_logcp10k	corrected_mean_logcp10k
GSE245386	GSM7841722	Sham	primary	Astrocyte	Slc1a2	0.9708994708994784	0.9708994708994784	0.8730158730158795	53.93915343915344	51.72805933323624	3.8715152221396245	3.806803977388721
GSE245386	GSM7841722	Sham	primary	Astrocyte	Slc1a3	0.8915343915343982	0.8915343915343982	0.812169312169318	23.07407407407408	22.38167569699874	2.9211244334902933	2.9696705831382677
GSE245386	GSM7841722	Sham	primary	Astrocyte	Aldh1l1	0.5079365079365106	0.5079365079365106	0.28306878306878336	1.1164021164021165	1.0796565169561592	0.6465306283651696	0.6764651024454554
GSE245386	GSM7841722	Sham	primary	Astrocyte	Pecam1	0.12169312169312169	0.12169312169312169	0.023809523809523808	0.2566137566137566	0.14837069662198613	0.17053744176233235	0.07546145206834458
GSE245386	GSM7841722	Sham	primary	Astrocyte	Cdh5	0.042328042328042326	0.042328042328042326	0.013227513227513227	0.0582010582010582	0.034385520267382105	0.05573352728828277	0.0370579921124367
GSE245386	GSM7841722	Sham	primary	Astrocyte	Kdr	0.06349206349206349	0.06349206349206349	0.010582010582010581	0.09523809523809523	0.04501191674478594	0.06001861816368883	0.02901224134388259
GSE245386	GSM7841722	Sham	primary	Astrocyte	Ptprc	0.18253968253968253	0.18253968253968253	0.037037037037037035	0.9894179894179899	0.8034776579830872	0.231945002019086	0.12947511928593325
GSE245386	GSM7841722	Sham	primary	Astrocyte	Tyrobp	0.3068783068783074	0.3068783068783074	0.03968253968253968	0.9074074074074086	0.4771483703715698	0.434871119096766	0.10756146691797866
GSE245386	GSM7841722	Sham	primary	Astrocyte	C1qa	0.6243386243386282	0.6243386243386282	0.042328042328042326	3.140211640211641	1.7668235546055404	0.9982637692988945	0.1757404106396264
GSE245386	GSM7841722	Sham	primary	Astrocyte	Lyz2	0.10846560846560846	0.10846560846560846	0.010582010582010581	0.21164021164021163	0.08689388629177845	0.09974202787698025	0.027319568973572357
GSE245386	GSM7841722	Sham	primary	Astrocyte	Spp1	0.007936507936507936	0.007936507936507936	0.0	0.010582010582010581	0.005136743084477385	0.006436258538625329	0.004123241416644241
