elapsed_seconds	rss_bytes
0.02	3944448
1.02	153878528
2.03	274481152
3.05	445796352
4.06	476114944
5.08	586428416
6.09	630550528
7.14	733392896
8.16	932368384
9.17	1016356864
10.19	1195646976
11.19	1198702592
12.22	1070665728
13.22	1109987328
14.23	1242079232
15.25	1185861632
16.27	1179680768
17.28	1133182976
18.3	1372479488
19.3	1299005440
20.31	1196916736
21.33	1402220544
22.34	1412120576
23.36	1326817280
24.38	1247219712
25.39	1231163392
26.41	1417273344
27.42	1401323520
28.44	1406685184
29.47	1365299200
30.48	1273573376
31.5	1241563136
32.52	1389043712
33.53	1266597888
34.55	1386414080
35.56	1261400064
36.59	1204310016
37.61	1389752320
38.64	1263607808
39.66	1123180544
40.69	1168928768
41.7	1363275776
42.7	1245851648
43.73	1189830656
44.75	1364025344
45.77	1360658432
46.78	1333596160
47.8	1298677760
48.81	1128697856
49.84	1236692992
50.86	1365434368
51.89	1117519872
52.91	1289895936
53.92	1188270080
54.95	1316491264
55.97	1318105088
56.98	1232306176
58.0	1142620160
59.02	1272016896
60.05	1243271168
61.08	1040269312
62.09	1006399488
63.12	918372352
64.14	1148227584
65.16	1087787008
66.19	896024576
67.2	1144586240
68.22	999317504
69.25	1136312320
70.28	999313408
71.31	973213696
72.33	1124716544
73.36	1142771712
74.38	1018855424
75.41	927092736
76.42	750956544
77.45	1073516544
78.48	1128939520
79.5	1121210368
80.53	1114951680
81.55	966971392
82.58	1102450688
83.61	1054928896
84.62	1110056960
85.64	980193280
86.67	1143316480
87.69	1065766912
88.7	1142423552
89.73	1063776256
90.75	1135050752
91.78	1114161152
92.8	1040777216
93.84	1105850368
94.86	1139126272
95.89	1002631168
96.91	1136574464
97.94	985600000
98.95	1133817856
99.98	1013268480
101.02	1124335616
102.05	976867328
103.06	1132068864
104.09	1045516288
105.12	1138049024
106.14	1119326208
107.16	1034084352
108.19	1144463360
109.2	1121828864
110.22	1036275712
111.23	1141026816
112.25	1122590720
113.28	955191296
114.31	1114865664
115.36	913969152
116.41	1100660736
117.45	1144307712
118.5	1139142656
119.58	1140568064
120.62	970407936
121.67	1041653760
122.7	545140736
123.75	547844096
124.91	748535808
125.95	768516096
126.98	1009582080
128.03	1085091840
129.09	974024704
130.17	818798592
131.27	782630912
132.31	947425280
133.36	1069219840
134.38	1101074432
135.41	1048911872
136.44	1130344448
137.45	1003442176
138.48	1143554048
139.52	994623488
140.53	1122627584
141.56	1139261440
142.59	1090281472
143.62	1124737024
144.64	967360512
145.69	1068445696
146.72	1131433984
147.73	1061961728
148.78	1111609344
149.81	1127514112
150.84	982474752
151.89	1128034304
152.91	1045614592
153.94	1144557568
154.95	994168832
156.08	1149091840
157.09	1136607232
158.12	917635072
159.16	1062924288
160.2	926068736
161.22	1112006656
162.27	979595264
163.28	1103167488
164.31	988598272
165.33	1142890496
166.36	1002250240
167.38	1145462784
168.41	1049354240
169.44	1024663552
170.47	1124364288
171.48	1023533056
172.52	1127530496
173.56	1043591168
174.58	1061670912
175.61	749928448
176.62	873041920
177.75	769642496
178.77	646369280
179.8	901128192
180.81	1092341760
181.84	1128919040
182.84	1115803648
183.88	1003761664
184.89	1124892672
185.91	1034485760
186.92	1020178432
187.95	976785408
188.97	1140690944
190.0	1128267776
191.0	1069752320
192.03	970895360
193.05	1126789120
194.08	1132462080
195.08	1147375616
196.11	1120624640
197.12	1008541696
198.14	1118552064
199.16	1062170624
200.17	1075650560
201.19	1076039680
202.2	1075916800
203.22	1077628928
204.23	1078460416
205.25	1079037952
206.27	1079607296
207.28	1078448128
208.31	1086361600
209.34	1086369792
210.36	1086377984
211.39	1086619648
212.42	1068707840
213.44	1088970752
214.45	1088335872
215.47	1068924928
216.48	1089753088
217.5	1092161536
218.53	1083928576
219.55	1083863040
220.56	1078403072
221.58	1080573952
222.59	1038151680
223.62	1018548224
224.66	1021456384
225.69	1011961856
226.73	1012862976
227.75	763281408
228.78	734572544
229.8	721592320
230.81	726126592
231.83	727121920
232.84	727683072
233.89	727838720
234.91	725512192
235.97	725929984
237.0	721141760
238.02	698368000
239.14	699662336
240.2	700493824
241.22	664879104
242.25	688414720
243.27	691412992
244.28	691699712
245.31	691265536
246.34	692629504
247.38	692629504
248.39	670445568
249.42	671293440
250.42	667660288
251.45	672165888
252.47	672411648
253.48	673280000
254.5	674258944
255.53	662659072
256.55	680796160
257.66	686366720
258.69	686911488
259.72	604762112
260.73	594100224
261.75	598044672
262.77	597213184
263.8	607019008
264.81	607531008
265.83	590286848
266.84	596680704
267.88	521633792
268.89	532287488
