dataset	sample	condition	config	cell_type	gene	raw_detection	corrected_detection_gt0	corrected_detection_ge1	raw_mean_count	corrected_mean_estimated_count	raw_mean_logcp10k	corrected_mean_logcp10k
GSE174574	GSM5319990	MCAO	primary	Astrocyte	Slc1a2	0.9591836734693997	0.9591836734693997	0.8698979591836824	9.136479591836736	8.577627522428608	2.947652893556125	2.9841328946426944
GSE174574	GSM5319990	MCAO	primary	Astrocyte	Slc1a3	0.9464285714285829	0.9464285714285829	0.8303571428571505	8.136479591836748	7.656663846917955	2.8408604395939996	2.8598885175965685
GSE174574	GSM5319990	MCAO	primary	Astrocyte	Aldh1l1	0.38775510204081387	0.38775510204081387	0.1135204081632654	0.5701530612244882	0.527210919606889	0.5843404400071126	0.6000329086522198
GSE174574	GSM5319990	MCAO	primary	Astrocyte	Pecam1	0.15433673469387738	0.15433673469387738	0.029336734693877563	0.22704081632653025	0.12103553234654701	0.23131164859374245	0.16212774864097718
GSE174574	GSM5319990	MCAO	primary	Astrocyte	Cdh5	0.10076530612244906	0.10076530612244906	0.01020408163265306	0.1262755102040817	0.06935118684418898	0.13913250018595338	0.10496941596989792
GSE174574	GSM5319990	MCAO	primary	Astrocyte	Kdr	0.08035714285714292	0.08035714285714292	0.003826530612244898	0.08801020408163272	0.05175926227953559	0.10430981328021928	0.08636342670401448
GSE174574	GSM5319990	MCAO	primary	Astrocyte	Ptprc	0.05102040816326534	0.05102040816326534	0.0	0.05867346938775514	0.019159532625137577	0.06430744156801907	0.0397945081404915
GSE174574	GSM5319990	MCAO	primary	Astrocyte	Tyrobp	0.44260204081632354	0.44260204081632354	0.020408163265306124	0.968112244897962	0.2327533515959549	0.7213086845749799	0.3306648283329035
GSE174574	GSM5319990	MCAO	primary	Astrocyte	C1qa	0.7028061224489829	0.7028061224489829	0.19132653061224436	2.104591836734695	0.6656907910966323	1.3222415674782733	0.8730872586916499
GSE174574	GSM5319990	MCAO	primary	Astrocyte	Lyz2	0.5688775510204069	0.5688775510204069	0.024234693877551026	1.4642857142857144	0.4127411426414791	0.9438160767864034	0.3739843785835131
GSE174574	GSM5319990	MCAO	primary	Astrocyte	Spp1	0.9464285714285829	0.9464285714285829	0.45663265306122136	5.088010204081637	2.155764422738431	2.2288112944326715	1.4179361922515699
GSE174574	GSM5319990	MCAO	primary	Astrocyte	Timp3	0.4987244897959148	0.4987244897959148	0.19642857142857084	0.8584183673469397	0.6995434530338631	0.8074117758694621	0.796582348744741
GSE174574	GSM5319990	MCAO	primary	Astrocyte	Ptn	0.8915816326530709	0.8915816326530709	0.7448979591836782	6.678571428571433	6.334501534737494	2.4329219399259316	2.4997003754386844
GSE174574	GSM5319990	MCAO	primary	Astrocyte	Plat	0.33545918367346744	0.33545918367346744	0.09948979591836743	0.790816326530612	0.49732242261327775	0.5909137235691918	0.502966298449926
GSE174574	GSM5319990	MCAO	primary	Astrocyte	Ptprz1	0.7334183673469431	0.7334183673469431	0.44387755102040516	1.7423469387755128	1.6152598796659496	1.3827387494851784	1.4170554029450875
GSE174574	GSM5319990	MCAO	primary	Astrocyte	Lrp1	0.37244897959183443	0.37244897959183443	0.1020408163265307	0.5153061224489774	0.4353423059337759	0.5571386054401842	0.5634713625748463
GSE174574	GSM5319990	MCAO	primary	Astrocyte	Itga5	0.07525510204081638	0.07525510204081638	0.002551020408163265	0.08673469387755108	0.04591899935054032	0.09372627443684144	0.07798569882668713
GSE174574	GSM5319990	MCAO	primary	Astrocyte	Itgb1	0.24107142857142755	0.24107142857142755	0.033163265306122465	0.29974489795918263	0.182673813309947	0.3355390636304619	0.2897993883541417
