dataset	sample	condition	config	cell_type	n_cells	total_estimated_counts
GSE174574	GSM5319987	Sham	primary	Astrocyte	365	1007444.0214546252
GSE174574	GSM5319987	Sham	primary	Endothelial	1486	3662129.7322761663
GSE174574	GSM5319987	Sham	reference_singlet	Astrocyte	261	771010.7293707447
GSE174574	GSM5319987	Sham	reference_singlet	Endothelial	1375	3425048.012986169
GSE174574	GSM5319988	Sham	primary	Astrocyte	370	1050502.5765444888
GSE174574	GSM5319988	Sham	primary	Endothelial	1360	3518392.905593852
GSE174574	GSM5319988	Sham	reference_singlet	Astrocyte	268	810390.5309561307
GSE174574	GSM5319988	Sham	reference_singlet	Endothelial	1264	3311362.162662144
GSE174574	GSM5319989	Sham	primary	Astrocyte	463	1348612.3894230998
GSE174574	GSM5319989	Sham	primary	Endothelial	1667	4273701.297994347
GSE174574	GSM5319989	Sham	reference_singlet	Astrocyte	322	997353.9929631178
GSE174574	GSM5319989	Sham	reference_singlet	Endothelial	1547	4010164.98305255
GSE174574	GSM5319990	MCAO	primary	Astrocyte	784	2391806.2231042013
GSE174574	GSM5319990	MCAO	primary	Endothelial	1961	5578362.8087563
GSE174574	GSM5319990	MCAO	reference_singlet	Astrocyte	579	1915588.442443457
GSE174574	GSM5319990	MCAO	reference_singlet	Endothelial	1619	4728525.520358946
GSE174574	GSM5319991	MCAO	primary	Astrocyte	746	2193294.3063054723
GSE174574	GSM5319991	MCAO	primary	Endothelial	1843	5045094.625619256
GSE174574	GSM5319991	MCAO	reference_singlet	Astrocyte	537	1688351.7732328088
GSE174574	GSM5319991	MCAO	reference_singlet	Endothelial	1474	4167617.217708839
GSE174574	GSM5319992	MCAO	primary	Astrocyte	514	1934284.0451774043
GSE174574	GSM5319992	MCAO	primary	Endothelial	1552	5151247.76525444
GSE174574	GSM5319992	MCAO	reference_singlet	Astrocyte	397	1617766.1806596834
GSE174574	GSM5319992	MCAO	reference_singlet	Endothelial	1317	4461646.741584152
