dataset	sample	source_prefix
GSE174574	GSM5319987	GSM5319987_sham1
GSE174574	GSM5319988	GSM5319988_sham2
GSE174574	GSM5319989	GSM5319989_sham3
GSE174574	GSM5319990	GSM5319990_MCAO1
GSE174574	GSM5319991	GSM5319991_MCAO2
GSE174574	GSM5319992	GSM5319992_MCAO3
GSE245386	GSM7841720	GSM7841720_WTC1
GSE245386	GSM7841721	GSM7841721_WTC2
GSE245386	GSM7841722	GSM7841722_WTC3
GSE245386	GSM7841723	GSM7841723_WTM1
GSE245386	GSM7841724	GSM7841724_WTM2
