dataset	sample	cell_type	config	gene	n_cells	fraction	mean_umi
GSE174574	GSM5319987	Endothelial	primary	Tmem119	1486	0.15074024226110364	0.1655450874831763
GSE174574	GSM5319987	Endothelial	primary	Spp1	1486	0.006729475100942127	0.006729475100942127
GSE174574	GSM5319987	Endothelial	primary	Cd14	1486	0.039703903095558546	0.04979811574697174
GSE174574	GSM5319987	Endothelial	primary	Timp1	1486	0.008075370121130552	0.008075370121130552
GSE174574	GSM5319987	Endothelial	primary	Cd63	1486	0.1117092866756393	0.1285329744279946
GSE174574	GSM5319987	Endothelial	primary	Ptn	1486	0.721399730820996	2.3842530282637955
GSE174574	GSM5319987	Endothelial	primary	Ptprb	1486	0.6527590847913862	1.3613728129205922
GSE174574	GSM5319987	Endothelial	primary	S1pr1	1486	0.4952893674293405	0.7685060565275909
GSE174574	GSM5319987	Endothelial	strict_identity	Aldh1l1	809	0.002472187886279357	0.002472187886279357
GSE174574	GSM5319987	Endothelial	strict_identity	Slc1a2	809	0.048207663782447466	0.049443757725587144
GSE174574	GSM5319987	Endothelial	strict_identity	Slc1a3	809	0.05562422744128554	0.05686032138442522
GSE174574	GSM5319987	Endothelial	strict_identity	Glul	809	0.8368355995055624	3.876390605686032
GSE174574	GSM5319987	Endothelial	strict_identity	Sox9	809	0.03955500618046971	0.042027194066749075
GSE174574	GSM5319987	Endothelial	strict_identity	Pecam1	809	0.8158220024721878	1.6452410383189122
GSE174574	GSM5319987	Endothelial	strict_identity	Cdh5	809	0.7626699629171817	1.1928306551297898
GSE174574	GSM5319987	Endothelial	strict_identity	Kdr	809	0.7354758961681088	1.311495673671199
GSE174574	GSM5319987	Endothelial	strict_identity	Ptprc	809	0.009888751545117428	0.009888751545117428
GSE174574	GSM5319987	Endothelial	strict_identity	Tyrobp	809	0.19777503090234858	0.21508034610630408
GSE174574	GSM5319987	Endothelial	strict_identity	Lyz2	809	0.16934487021013597	0.18788627935723115
GSE174574	GSM5319987	Endothelial	strict_identity	C1qa	809	0.3967861557478368	0.5278121137206427
GSE174574	GSM5319987	Endothelial	strict_identity	P2ry12	809	0.16069221260815822	0.19530284301606923
GSE174574	GSM5319987	Endothelial	strict_identity	Tmem119	809	0.1619283065512979	0.17799752781211373
GSE174574	GSM5319987	Endothelial	strict_identity	Spp1	809	0.004944375772558714	0.004944375772558714
GSE174574	GSM5319987	Endothelial	strict_identity	Cd14	809	0.0407911001236094	0.049443757725587144
GSE174574	GSM5319987	Endothelial	strict_identity	Timp1	809	0.007416563658838072	0.007416563658838072
GSE174574	GSM5319987	Endothelial	strict_identity	Cd63	809	0.11124845488257108	0.1273176761433869
GSE174574	GSM5319987	Endothelial	strict_identity	Ptn	809	0.7095179233621756	2.3300370828182944
GSE174574	GSM5319987	Endothelial	strict_identity	Ptprb	809	0.6786155747836835	1.5117428924598268
GSE174574	GSM5319987	Endothelial	strict_identity	S1pr1	809	0.5043263288009888	0.7799752781211372
GSE174574	GSM5319988	Astrocyte	primary	Aldh1l1	370	0.35405405405405405	0.45675675675675675
GSE174574	GSM5319988	Astrocyte	primary	Slc1a2	370	0.8810810810810811	7.0
GSE174574	GSM5319988	Astrocyte	primary	Slc1a3	370	0.8972972972972973	8.654054054054054
GSE174574	GSM5319988	Astrocyte	primary	Glul	370	0.9837837837837838	15.067567567567568
GSE174574	GSM5319988	Astrocyte	primary	Sox9	370	0.6621621621621622	1.4513513513513514
GSE174574	GSM5319988	Astrocyte	primary	Pecam1	370	0.15405405405405406	0.24054054054054055
GSE174574	GSM5319988	Astrocyte	primary	Cdh5	370	0.0891891891891892	0.10540540540540541
GSE174574	GSM5319988	Astrocyte	primary	Kdr	370	0.08648648648648649	0.10540540540540541
GSE174574	GSM5319988	Astrocyte	primary	Ptprc	370	0.01891891891891892	0.01891891891891892
GSE174574	GSM5319988	Astrocyte	primary	Tyrobp	370	0.3162162162162162	0.5702702702702702
GSE174574	GSM5319988	Astrocyte	primary	Lyz2	370	0.28378378378378377	0.43783783783783786
GSE174574	GSM5319988	Astrocyte	primary	C1qa	370	0.5945945945945946	1.645945945945946
GSE174574	GSM5319988	Astrocyte	primary	P2ry12	370	0.32432432432432434	0.5783783783783784
