dataset	sample	cell_type	config	gene	n_cells	fraction	mean_umi
GSE174574	GSM5319990	Astrocyte	strict_identity	Pecam1	713	0.1458625525946704	0.21037868162692847
GSE174574	GSM5319990	Astrocyte	strict_identity	Cdh5	713	0.09537166900420757	0.11921458625525946
GSE174574	GSM5319990	Astrocyte	strict_identity	Kdr	713	0.08274894810659186	0.091164095371669
GSE174574	GSM5319990	Astrocyte	strict_identity	Ptprc	713	0.04628330995792426	0.05329593267882188
GSE174574	GSM5319990	Astrocyte	strict_identity	Tyrobp	713	0.43899018232819076	0.8106591865357644
GSE174574	GSM5319990	Astrocyte	strict_identity	Lyz2	713	0.5568022440392707	1.3001402524544179
GSE174574	GSM5319990	Astrocyte	strict_identity	C1qa	713	0.697054698457223	1.779803646563815
GSE174574	GSM5319990	Astrocyte	strict_identity	P2ry12	713	0.09817671809256662	0.11220196353436185
GSE174574	GSM5319990	Astrocyte	strict_identity	Tmem119	713	0.16830294530154277	0.2187938288920056
GSE174574	GSM5319990	Astrocyte	strict_identity	Spp1	713	0.9453015427769986	4.727910238429173
GSE174574	GSM5319990	Astrocyte	strict_identity	Cd14	713	0.40813464235624125	0.7517531556802244
GSE174574	GSM5319990	Astrocyte	strict_identity	Timp1	713	0.11079943899018233	0.22300140252454417
GSE174574	GSM5319990	Astrocyte	strict_identity	Cd63	713	0.9593267882187938	8.273492286115006
GSE174574	GSM5319990	Astrocyte	strict_identity	Ptn	713	0.9158485273492286	6.966339410939692
GSE174574	GSM5319990	Astrocyte	strict_identity	Ptprb	713	0.1402524544179523	0.1879382889200561
GSE174574	GSM5319990	Astrocyte	strict_identity	S1pr1	713	0.7573632538569425	1.6072931276297335
GSE174574	GSM5319990	Endothelial	primary	Aldh1l1	1961	0.009688934217236104	0.009688934217236104
GSE174574	GSM5319990	Endothelial	primary	Slc1a2	1961	0.16981132075471697	0.21009688934217235
GSE174574	GSM5319990	Endothelial	primary	Slc1a3	1961	0.11218765935747067	0.12697603263641
GSE174574	GSM5319990	Endothelial	primary	Glul	1961	0.8628250892401835	3.739418663946966
GSE174574	GSM5319990	Endothelial	primary	Sox9	1961	0.037225905150433454	0.0382457929627741
GSE174574	GSM5319990	Endothelial	primary	Pecam1	1961	0.8245792962774094	1.9724630290668026
GSE174574	GSM5319990	Endothelial	primary	Cdh5	1961	0.6675165731769506	1.1014788373278939
GSE174574	GSM5319990	Endothelial	primary	Kdr	1961	0.533401325854156	0.7669556348801632
GSE174574	GSM5319990	Endothelial	primary	Ptprc	1961	0.03671596124426313	0.03926568077511474
GSE174574	GSM5319990	Endothelial	primary	Tyrobp	1961	0.34727180010198877	0.4844467108618052
GSE174574	GSM5319990	Endothelial	primary	Lyz2	1961	0.46710861805201426	0.7021927587965324
GSE174574	GSM5319990	Endothelial	primary	C1qa	1961	0.6593574706782254	1.2085670576236613
GSE174574	GSM5319990	Endothelial	primary	P2ry12	1961	0.05558388577256502	0.057623661397246305
GSE174574	GSM5319990	Endothelial	primary	Tmem119	1961	0.1463539010708822	0.1677715451300357
GSE174574	GSM5319990	Endothelial	primary	Spp1	1961	0.9291177970423253	3.350841407445181
GSE174574	GSM5319990	Endothelial	primary	Cd14	1961	0.36511983681795	0.6817950025497195
GSE174574	GSM5319990	Endothelial	primary	Timp1	1961	0.12136664966853646	0.23100458949515554
GSE174574	GSM5319990	Endothelial	primary	Cd63	1961	0.5155532891381948	0.787353391126976
GSE174574	GSM5319990	Endothelial	primary	Ptn	1961	0.5089240183579806	1.2661907190209076
GSE174574	GSM5319990	Endothelial	primary	Ptprb	1961	0.5757266700662927	1.0749617542070373
GSE174574	GSM5319990	Endothelial	primary	S1pr1	1961	0.5859255481896991	1.0805711371749107
GSE174574	GSM5319990	Endothelial	strict_identity	Aldh1l1	1215	0.00905349794238683	0.00905349794238683
GSE174574	GSM5319990	Endothelial	strict_identity	Slc1a2	1215	0.17695473251028807	0.21563786008230454
GSE174574	GSM5319990	Endothelial	strict_identity	Slc1a3	1215	0.12016460905349795	0.13580246913580246
GSE174574	GSM5319990	Endothelial	strict_identity	Glul	1215	0.8584362139917695	3.831275720164609
GSE174574	GSM5319990	Endothelial	strict_identity	Sox9	1215	0.04609053497942387	0.04691358024691358
GSE174574	GSM5319990	Endothelial	strict_identity	Pecam1	1215	0.8650205761316873	2.139917695473251
GSE174574	GSM5319990	Endothelial	strict_identity	Cdh5	1215	0.7144032921810699	1.213991769547325
GSE174574	GSM5319990	Endothelial	strict_identity	Kdr	1215	0.6131687242798354	0.9012345679012346
GSE174574	GSM5319990	Endothelial	strict_identity	Ptprc	1215	0.03374485596707819	0.03621399176954732
GSE174574	GSM5319990	Endothelial	strict_identity	Tyrobp	1215	0.3448559670781893	0.4576131687242798
GSE174574	GSM5319990	Endothelial	strict_identity	Lyz2	1215	0.4773662551440329	0.7176954732510288
GSE174574	GSM5319990	Endothelial	strict_identity	C1qa	1215	0.6526748971193416	1.1777777777777778
GSE174574	GSM5319990	Endothelial	strict_identity	P2ry12	1215	0.053497942386831275	0.0551440329218107
GSE174574	GSM5319990	Endothelial	strict_identity	Tmem119	1215	0.1325102880658436	0.145679012345679
GSE174574	GSM5319990	Endothelial	strict_identity	Spp1	1215	0.9308641975308642	3.1152263374485596
GSE174574	GSM5319990	Endothelial	strict_identity	Cd14	1215	0.36790123456790125	0.6296296296296297
GSE174574	GSM5319990	Endothelial	strict_identity	Timp1	1215	0.1259259259259259	0.2650205761316872
GSE174574	GSM5319990	Endothelial	strict_identity	Cd63	1215	0.516872427983539	0.7646090534979424
GSE174574	GSM5319990	Endothelial	strict_identity	Ptn	1215	0.5193415637860083	1.3152263374485598
GSE174574	GSM5319990	Endothelial	strict_identity	Ptprb	1215	0.6032921810699589	1.1753086419753087
GSE174574	GSM5319990	Endothelial	strict_identity	S1pr1	1215	0.5876543209876544	1.0864197530864197
GSE174574	GSM5319991	Astrocyte	primary	Aldh1l1	746	0.35656836461126007	0.48525469168900803
GSE174574	GSM5319991	Astrocyte	primary	Slc1a2	746	0.9597855227882037	8.758713136729222
GSE174574	GSM5319991	Astrocyte	primary	Slc1a3	746	0.9369973190348525	7.388739946380697
GSE174574	GSM5319991	Astrocyte	primary	Glul	746	0.9932975871313673	13.83378016085791
GSE174574	GSM5319991	Astrocyte	primary	Sox9	746	0.5978552278820375	1.1689008042895441
GSE174574	GSM5319991	Astrocyte	primary	Pecam1	746	0.18498659517426275	0.30294906166219837
GSE174574	GSM5319991	Astrocyte	primary	Cdh5	746	0.09651474530831099	0.128686327077748
GSE174574	GSM5319991	Astrocyte	primary	Kdr	746	0.05630026809651475	0.06970509383378017
GSE174574	GSM5319991	Astrocyte	primary	Ptprc	746	0.07238605898123325	0.08981233243967829
GSE174574	GSM5319991	Astrocyte	primary	Tyrobp	746	0.4812332439678284	1.1769436997319034
GSE174574	GSM5319991	Astrocyte	primary	Lyz2	746	0.5348525469168901	1.5482573726541555
GSE174574	GSM5319991	Astrocyte	primary	C1qa	746	0.6957104557640751	2.420911528150134
GSE174574	GSM5319991	Astrocyte	primary	P2ry12	746	0.09517426273458444	0.11126005361930295
GSE174574	GSM5319991	Astrocyte	primary	Tmem119	746	0.19436997319034852	0.30831099195710454
GSE174574	GSM5319991	Astrocyte	primary	Spp1	746	0.9182305630026809	8.280160857908847
GSE174574	GSM5319991	Astrocyte	primary	Cd14	746	0.4061662198391421	1.1447721179624666
GSE174574	GSM5319991	Astrocyte	primary	Timp1	746	0.09249329758713137	0.2386058981233244
GSE174574	GSM5319991	Astrocyte	primary	Cd63	746	0.935656836461126	7.79088471849866
GSE174574	GSM5319991	Astrocyte	primary	Ptn	746	0.8847184986595175	5.835120643431635
GSE174574	GSM5319991	Astrocyte	primary	Ptprb	746	0.1581769436997319	0.2453083109919571
GSE174574	GSM5319991	Astrocyte	primary	S1pr1	746	0.6890080428954424	1.4785522788203753
GSE174574	GSM5319991	Astrocyte	strict_identity	Aldh1l1	682	0.3709677419354839	0.5102639296187683
GSE174574	GSM5319991	Astrocyte	strict_identity	Slc1a2	682	0.9794721407624634	9.174486803519061
GSE174574	GSM5319991	Astrocyte	strict_identity	Slc1a3	682	0.967741935483871	7.81524926686217
GSE174574	GSM5319991	Astrocyte	strict_identity	Glul	682	0.9941348973607038	14.483870967741936
GSE174574	GSM5319991	Astrocyte	strict_identity	Sox9	682	0.6217008797653959	1.2302052785923754
GSE174574	GSM5319991	Astrocyte	strict_identity	Pecam1	682	0.16862170087976538	0.2697947214076246
GSE174574	GSM5319991	Astrocyte	strict_identity	Cdh5	682	0.08797653958944282	0.12023460410557185
GSE174574	GSM5319991	Astrocyte	strict_identity	Kdr	682	0.05278592375366569	0.06598240469208211
GSE174574	GSM5319991	Astrocyte	strict_identity	Ptprc	682	0.0689149560117302	0.08797653958944282
GSE174574	GSM5319991	Astrocyte	strict_identity	Tyrobp	682	0.4750733137829912	1.098240469208211
GSE174574	GSM5319991	Astrocyte	strict_identity	Lyz2	682	0.5395894428152492	1.6026392961876832
GSE174574	GSM5319991	Astrocyte	strict_identity	C1qa	682	0.6979472140762464	2.126099706744868
GSE174574	GSM5319991	Astrocyte	strict_identity	P2ry12	682	0.09237536656891496	0.10117302052785923
GSE174574	GSM5319991	Astrocyte	strict_identity	Tmem119	682	0.18914956011730205	0.25513196480938416
GSE174574	GSM5319991	Astrocyte	strict_identity	Spp1	682	0.9149560117302052	8.589442815249267
GSE174574	GSM5319991	Astrocyte	strict_identity	Cd14	682	0.4120234604105572	1.035190615835777
GSE174574	GSM5319991	Astrocyte	strict_identity	Timp1	682	0.08797653958944282	0.2287390029325513
GSE174574	GSM5319991	Astrocyte	strict_identity	Cd63	682	0.9501466275659824	7.903225806451613
GSE174574	GSM5319991	Astrocyte	strict_identity	Ptn	682	0.8988269794721407	6.183284457478006
GSE174574	GSM5319991	Astrocyte	strict_identity	Ptprb	682	0.13636363636363635	0.20527859237536658
GSE174574	GSM5319991	Astrocyte	strict_identity	S1pr1	682	0.6979472140762464	1.4956011730205279
GSE174574	GSM5319991	Endothelial	primary	Aldh1l1	1843	0.005425935973955507	0.005425935973955507
GSE174574	GSM5319991	Endothelial	primary	Slc1a2	1843	0.16223548562126966	0.1958762886597938
GSE174574	GSM5319991	Endothelial	primary	Slc1a3	1843	0.1144872490504612	0.13293543136190994
GSE174574	GSM5319991	Endothelial	primary	Glul	1843	0.8594682582745523	3.4655453065653825
GSE174574	GSM5319991	Endothelial	primary	Sox9	1843	0.02984264785675529	0.032013022246337494
GSE174574	GSM5319991	Endothelial	primary	Pecam1	1843	0.8193163320672816	1.88171459576777
GSE174574	GSM5319991	Endothelial	primary	Cdh5	1843	0.6321215409658166	1.037438958220293
GSE174574	GSM5319991	Endothelial	primary	Kdr	1843	0.5111231687466088	0.7476939772110689
GSE174574	GSM5319991	Endothelial	primary	Ptprc	1843	0.024416711882799782	0.026587086272381984
GSE174574	GSM5319991	Endothelial	primary	Tyrobp	1843	0.39880629408572976	0.5344546934346175
GSE174574	GSM5319991	Endothelial	primary	Lyz2	1843	0.48182311448724907	0.6945198046663049
GSE174574	GSM5319991	Endothelial	primary	C1qa	1843	0.6581660336408031	1.1774281063483452
GSE174574	GSM5319991	Endothelial	primary	P2ry12	1843	0.04395008138903961	0.04557786218122626
GSE174574	GSM5319991	Endothelial	primary	Tmem119	1843	0.13564839934888767	0.14650027129679868
GSE174574	GSM5319991	Endothelial	primary	Spp1	1843	0.9104720564297342	2.788388497015735
GSE174574	GSM5319991	Endothelial	primary	Cd14	1843	0.36787845903418337	0.6212696690179056
GSE174574	GSM5319991	Endothelial	primary	Timp1	1843	0.12099837221920781	0.18448182311448724
GSE174574	GSM5319991	Endothelial	primary	Cd63	1843	0.46934346174715136	0.7124253933803582
GSE174574	GSM5319991	Endothelial	primary	Ptn	1843	0.48073792729245796	1.1117742810634834
GSE174574	GSM5319991	Endothelial	primary	Ptprb	1843	0.5550732501356483	1.0358111774281062
GSE174574	GSM5319991	Endothelial	primary	S1pr1	1843	0.561584373304395	0.9701573521432447
GSE174574	GSM5319991	Endothelial	strict_identity	Aldh1l1	1139	0.0052677787532923615	0.0052677787532923615
GSE174574	GSM5319991	Endothelial	strict_identity	Slc1a2	1139	0.16330114135206322	0.19666374012291485
GSE174574	GSM5319991	Endothelial	strict_identity	Slc1a3	1139	0.11852502194907814	0.1334503950834065
GSE174574	GSM5319991	Endothelial	strict_identity	Glul	1139	0.8612818261633012	3.4477611940298507
GSE174574	GSM5319991	Endothelial	strict_identity	Sox9	1139	0.02897278314310799	0.03160667251975417
GSE174574	GSM5319991	Endothelial	strict_identity	Pecam1	1139	0.8568920105355575	2.0158033362598773
GSE174574	GSM5319991	Endothelial	strict_identity	Cdh5	1139	0.6874451273046532	1.1510096575943811
GSE174574	GSM5319991	Endothelial	strict_identity	Kdr	1139	0.5785776997366111	0.8700614574187884
GSE174574	GSM5319991	Endothelial	strict_identity	Ptprc	1139	0.027216856892010536	0.028094820017559263
GSE174574	GSM5319991	Endothelial	strict_identity	Tyrobp	1139	0.4117647058823529	0.5452151009657594
GSE174574	GSM5319991	Endothelial	strict_identity	Lyz2	1139	0.47585601404741	0.6760316066725197
GSE174574	GSM5319991	Endothelial	strict_identity	C1qa	1139	0.6575943810359964	1.1685689201053555
GSE174574	GSM5319991	Endothelial	strict_identity	P2ry12	1139	0.04302019315188762	0.04477611940298507
GSE174574	GSM5319991	Endothelial	strict_identity	Tmem119	1139	0.1431079894644425	0.1527655838454785
GSE174574	GSM5319991	Endothelial	strict_identity	Spp1	1139	0.9025460930640913	2.8086040386303774
GSE174574	GSM5319991	Endothelial	strict_identity	Cd14	1139	0.3845478489903424	0.6128182616330115
GSE174574	GSM5319991	Endothelial	strict_identity	Timp1	1139	0.11940298507462686	0.17471466198419666
GSE174574	GSM5319991	Endothelial	strict_identity	Cd63	1139	0.4784899034240562	0.7085162423178226
GSE174574	GSM5319991	Endothelial	strict_identity	Ptn	1139	0.48375768217734855	1.1413520632133451
GSE174574	GSM5319991	Endothelial	strict_identity	Ptprb	1139	0.5654082528533801	1.09657594381036
GSE174574	GSM5319991	Endothelial	strict_identity	S1pr1	1139	0.5469710272168569	0.9666374012291484
GSE174574	GSM5319992	Astrocyte	primary	Aldh1l1	514	0.4591439688715953	0.6595330739299611
GSE174574	GSM5319992	Astrocyte	primary	Slc1a2	514	0.9727626459143969	11.268482490272374
GSE174574	GSM5319992	Astrocyte	primary	Slc1a3	514	0.9474708171206225	9.686770428015564
GSE174574	GSM5319992	Astrocyte	primary	Glul	514	0.9883268482490273	17.09338521400778
GSE174574	GSM5319992	Astrocyte	primary	Sox9	514	0.6789883268482491	1.5447470817120623
GSE174574	GSM5319992	Astrocyte	primary	Pecam1	514	0.15953307392996108	0.2840466926070039
GSE174574	GSM5319992	Astrocyte	primary	Cdh5	514	0.10116731517509728	0.14202334630350194
GSE174574	GSM5319992	Astrocyte	primary	Kdr	514	0.07587548638132295	0.11089494163424124
GSE174574	GSM5319992	Astrocyte	primary	Ptprc	514	0.06809338521400778	0.07392996108949416
GSE174574	GSM5319992	Astrocyte	primary	Tyrobp	514	0.4377431906614786	1.0252918287937742
GSE174574	GSM5319992	Astrocyte	primary	Lyz2	514	0.45330739299610895	0.7509727626459144
GSE174574	GSM5319992	Astrocyte	primary	C1qa	514	0.7198443579766537	2.3035019455252916
GSE174574	GSM5319992	Astrocyte	primary	P2ry12	514	0.10116731517509728	0.1517509727626459
GSE174574	GSM5319992	Astrocyte	primary	Tmem119	514	0.1556420233463035	0.24708171206225682
GSE174574	GSM5319992	Astrocyte	primary	Spp1	514	0.9124513618677043	5.78988326848249
GSE174574	GSM5319992	Astrocyte	primary	Cd14	514	0.42217898832684825	1.1147859922178989
GSE174574	GSM5319992	Astrocyte	primary	Timp1	514	0.11867704280155641	0.33657587548638135
GSE174574	GSM5319992	Astrocyte	primary	Cd63	514	0.9474708171206225	10.07976653696498
GSE174574	GSM5319992	Astrocyte	primary	Ptn	514	0.8715953307392996	7.058365758754864
GSE174574	GSM5319992	Astrocyte	primary	Ptprb	514	0.1517509727626459	0.21011673151750973
GSE174574	GSM5319992	Astrocyte	primary	S1pr1	514	0.7042801556420234	1.7626459143968871
GSE174574	GSM5319992	Astrocyte	strict_identity	Aldh1l1	467	0.4817987152034261	0.702355460385439
GSE174574	GSM5319992	Astrocyte	strict_identity	Slc1a2	467	0.9957173447537473	12.029978586723768
GSE174574	GSM5319992	Astrocyte	strict_identity	Slc1a3	467	0.9785867237687366	10.34475374732334
GSE174574	GSM5319992	Astrocyte	strict_identity	Glul	467	0.9892933618843683	18.22698072805139
GSE174574	GSM5319992	Astrocyte	strict_identity	Sox9	467	0.7109207708779444	1.6531049250535332
GSE174574	GSM5319992	Astrocyte	strict_identity	Pecam1	467	0.1349036402569593	0.2334047109207709
GSE174574	GSM5319992	Astrocyte	strict_identity	Cdh5	467	0.08993576017130621	0.12633832976445397
GSE174574	GSM5319992	Astrocyte	strict_identity	Kdr	467	0.0728051391862955	0.10920770877944326
GSE174574	GSM5319992	Astrocyte	strict_identity	Ptprc	467	0.06209850107066381	0.06638115631691649
GSE174574	GSM5319992	Astrocyte	strict_identity	Tyrobp	467	0.4261241970021413	0.9400428265524625
GSE174574	GSM5319992	Astrocyte	strict_identity	Lyz2	467	0.4582441113490364	0.715203426124197
GSE174574	GSM5319992	Astrocyte	strict_identity	C1qa	467	0.7130620985010707	2.201284796573876
GSE174574	GSM5319992	Astrocyte	strict_identity	P2ry12	467	0.09421841541755889	0.139186295503212
GSE174574	GSM5319992	Astrocyte	strict_identity	Tmem119	467	0.15203426124197003	0.2291220556745182
GSE174574	GSM5319992	Astrocyte	strict_identity	Spp1	467	0.9207708779443254	5.9764453961456105
GSE174574	GSM5319992	Astrocyte	strict_identity	Cd14	467	0.42184154175588867	1.1413276231263383
GSE174574	GSM5319992	Astrocyte	strict_identity	Timp1	467	0.12419700214132762	0.3576017130620985
GSE174574	GSM5319992	Astrocyte	strict_identity	Cd63	467	0.9571734475374732	10.576017130620984
GSE174574	GSM5319992	Astrocyte	strict_identity	Ptn	467	0.8972162740899358	7.308351177730192
GSE174574	GSM5319992	Astrocyte	strict_identity	Ptprb	467	0.14132762312633834	0.19700214132762311
GSE174574	GSM5319992	Astrocyte	strict_identity	S1pr1	467	0.7259100642398287	1.8372591006423984
GSE174574	GSM5319992	Endothelial	primary	Aldh1l1	1552	0.009664948453608248	0.009664948453608248
GSE174574	GSM5319992	Endothelial	primary	Slc1a2	1552	0.19329896907216496	0.24613402061855671
GSE174574	GSM5319992	Endothelial	primary	Slc1a3	1552	0.09858247422680412	0.11082474226804123
GSE174574	GSM5319992	Endothelial	primary	Glul	1552	0.8775773195876289	4.042525773195877
GSE174574	GSM5319992	Endothelial	primary	Sox9	1552	0.03801546391752577	0.04059278350515464
GSE174574	GSM5319992	Endothelial	primary	Pecam1	1552	0.8672680412371134	2.377577319587629
GSE174574	GSM5319992	Endothelial	primary	Cdh5	1552	0.6945876288659794	1.1771907216494846
GSE174574	GSM5319992	Endothelial	primary	Kdr	1552	0.5405927835051546	0.8305412371134021
GSE174574	GSM5319992	Endothelial	primary	Ptprc	1552	0.039304123711340205	0.039304123711340205
GSE174574	GSM5319992	Endothelial	primary	Tyrobp	1552	0.389819587628866	0.5882731958762887
GSE174574	GSM5319992	Endothelial	primary	Lyz2	1552	0.4059278350515464	0.7519329896907216
GSE174574	GSM5319992	Endothelial	primary	C1qa	1552	0.6443298969072165	1.1978092783505154
GSE174574	GSM5319992	Endothelial	primary	P2ry12	1552	0.04768041237113402	0.0509020618556701
GSE174574	GSM5319992	Endothelial	primary	Tmem119	1552	0.11791237113402062	0.1333762886597938
GSE174574	GSM5319992	Endothelial	primary	Spp1	1552	0.8795103092783505	2.5483247422680413
GSE174574	GSM5319992	Endothelial	primary	Cd14	1552	0.35695876288659795	0.6990979381443299
GSE174574	GSM5319992	Endothelial	primary	Timp1	1552	0.12886597938144329	0.22358247422680413
GSE174574	GSM5319992	Endothelial	primary	Cd63	1552	0.46198453608247425	0.7248711340206185
GSE174574	GSM5319992	Endothelial	primary	Ptn	1552	0.4735824742268041	1.2222938144329898
GSE174574	GSM5319992	Endothelial	primary	Ptprb	1552	0.6475515463917526	1.3414948453608246
GSE174574	GSM5319992	Endothelial	primary	S1pr1	1552	0.6417525773195877	1.2390463917525774
GSE174574	GSM5319992	Endothelial	strict_identity	Aldh1l1	989	0.012133468149646108	0.012133468149646108
GSE174574	GSM5319992	Endothelial	strict_identity	Slc1a2	989	0.18503538928210314	0.2275025278058645
GSE174574	GSM5319992	Endothelial	strict_identity	Slc1a3	989	0.0910010111223458	0.10111223458038422
GSE174574	GSM5319992	Endothelial	strict_identity	Glul	989	0.8736097067745198	4.054600606673407
GSE174574	GSM5319992	Endothelial	strict_identity	Sox9	989	0.03538928210313448	0.03640040444893832
GSE174574	GSM5319992	Endothelial	strict_identity	Pecam1	989	0.8998988877654196	2.5399393326592516
GSE174574	GSM5319992	Endothelial	strict_identity	Cdh5	989	0.7472194135490394	1.2901921132457028
GSE174574	GSM5319992	Endothelial	strict_identity	Kdr	989	0.6198179979777553	0.9625884732052579
GSE174574	GSM5319992	Endothelial	strict_identity	Ptprc	989	0.04044489383215369	0.04044489383215369
GSE174574	GSM5319992	Endothelial	strict_identity	Tyrobp	989	0.3862487360970677	0.5288169868554095
GSE174574	GSM5319992	Endothelial	strict_identity	Lyz2	989	0.4064711830131446	0.5601617795753286
GSE174574	GSM5319992	Endothelial	strict_identity	C1qa	989	0.6552072800808898	1.1375126390293226
GSE174574	GSM5319992	Endothelial	strict_identity	P2ry12	989	0.046511627906976744	0.04954499494438827
GSE174574	GSM5319992	Endothelial	strict_identity	Tmem119	989	0.13144590495449948	0.14256825075834176
GSE174574	GSM5319992	Endothelial	strict_identity	Spp1	989	0.8827098078867543	2.262891809908999
GSE174574	GSM5319992	Endothelial	strict_identity	Cd14	989	0.34277047522750254	0.7067745197168858
GSE174574	GSM5319992	Endothelial	strict_identity	Timp1	989	0.13245702730030334	0.22548028311425683
GSE174574	GSM5319992	Endothelial	strict_identity	Cd63	989	0.4580384226491405	0.6956521739130435
GSE174574	GSM5319992	Endothelial	strict_identity	Ptn	989	0.48533872598584427	1.2901921132457028
GSE174574	GSM5319992	Endothelial	strict_identity	Ptprb	989	0.6673407482305359	1.4499494438827099
GSE174574	GSM5319992	Endothelial	strict_identity	S1pr1	989	0.6440849342770475	1.2608695652173914
GSE245386	GSM7841720	Astrocyte	primary	Aldh1l1	748	0.35294117647058826	0.7780748663101604
GSE245386	GSM7841720	Astrocyte	primary	Slc1a2	748	0.9585561497326203	41.2620320855615
GSE245386	GSM7841720	Astrocyte	primary	Slc1a3	748	0.893048128342246	15.192513368983958
GSE245386	GSM7841720	Astrocyte	primary	Glul	748	0.9064171122994652	8.445187165775401
GSE245386	GSM7841720	Astrocyte	primary	Sox9	748	0.5494652406417112	2.037433155080214
GSE245386	GSM7841720	Astrocyte	primary	Pecam1	748	0.15641711229946523	0.23663101604278075
GSE245386	GSM7841720	Astrocyte	primary	Cdh5	748	0.07352941176470588	0.09491978609625669
GSE245386	GSM7841720	Astrocyte	primary	Kdr	748	0.0748663101604278	0.09491978609625669
GSE245386	GSM7841720	Astrocyte	primary	Ptprc	748	0.3729946524064171	1.1483957219251337
GSE245386	GSM7841720	Astrocyte	primary	Tyrobp	748	0.45454545454545453	0.9318181818181818
GSE245386	GSM7841720	Astrocyte	primary	Lyz2	748	0.16176470588235295	0.3235294117647059
GSE245386	GSM7841720	Astrocyte	primary	C1qa	748	0.7379679144385026	2.9732620320855614
GSE245386	GSM7841720	Astrocyte	primary	P2ry12	748	0.3783422459893048	0.7312834224598931
GSE245386	GSM7841720	Astrocyte	primary	Tmem119	748	0.1925133689839572	0.3649732620320856
GSE245386	GSM7841720	Astrocyte	primary	Spp1	748	0.0066844919786096255	0.0066844919786096255
GSE245386	GSM7841720	Astrocyte	primary	Cd14	748	0.12566844919786097	0.16711229946524064
GSE245386	GSM7841720	Astrocyte	primary	Timp1	748	0.00267379679144385	0.00267379679144385
GSE245386	GSM7841720	Astrocyte	primary	Cd63	748	0.5574866310160428	2.0481283422459895
GSE245386	GSM7841720	Astrocyte	primary	Ptn	748	0.8475935828877005	10.558823529411764
GSE245386	GSM7841720	Astrocyte	primary	Ptprb	748	0.1697860962566845	0.25935828877005346
GSE245386	GSM7841720	Astrocyte	primary	S1pr1	748	0.6136363636363636	3.712566844919786
GSE245386	GSM7841720	Astrocyte	strict_identity	Aldh1l1	640	0.3984375	0.8953125
GSE245386	GSM7841720	Astrocyte	strict_identity	Slc1a2	640	0.9765625	47.3515625
GSE245386	GSM7841720	Astrocyte	strict_identity	Slc1a3	640	0.9296875	17.4578125
GSE245386	GSM7841720	Astrocyte	strict_identity	Glul	640	0.93125	9.5546875
GSE245386	GSM7841720	Astrocyte	strict_identity	Sox9	640	0.5890625	2.30625
GSE245386	GSM7841720	Astrocyte	strict_identity	Pecam1	640	0.1453125	0.221875
GSE245386	GSM7841720	Astrocyte	strict_identity	Cdh5	640	0.0609375	0.0765625
GSE245386	GSM7841720	Astrocyte	strict_identity	Kdr	640	0.0609375	0.078125
GSE245386	GSM7841720	Astrocyte	strict_identity	Ptprc	640	0.346875	1.1203125
GSE245386	GSM7841720	Astrocyte	strict_identity	Tyrobp	640	0.4390625	0.8984375
GSE245386	GSM7841720	Astrocyte	strict_identity	Lyz2	640	0.1515625	0.2984375
GSE245386	GSM7841720	Astrocyte	strict_identity	C1qa	640	0.7203125	2.884375
GSE245386	GSM7841720	Astrocyte	strict_identity	P2ry12	640	0.36875	0.690625
GSE245386	GSM7841720	Astrocyte	strict_identity	Tmem119	640	0.1828125	0.3625
GSE245386	GSM7841720	Astrocyte	strict_identity	Spp1	640	0.0078125	0.0078125
GSE245386	GSM7841720	Astrocyte	strict_identity	Cd14	640	0.1328125	0.1765625
GSE245386	GSM7841720	Astrocyte	strict_identity	Timp1	640	0.003125	0.003125
GSE245386	GSM7841720	Astrocyte	strict_identity	Cd63	640	0.5875	2.2984375
GSE245386	GSM7841720	Astrocyte	strict_identity	Ptn	640	0.878125	11.9984375
GSE245386	GSM7841720	Astrocyte	strict_identity	Ptprb	640	0.1484375	0.2234375
GSE245386	GSM7841720	Astrocyte	strict_identity	S1pr1	640	0.6671875	4.2578125
GSE245386	GSM7841720	Endothelial	primary	Aldh1l1	1958	0.0056179775280898875	0.007660878447395302
GSE245386	GSM7841720	Endothelial	primary	Slc1a2	1958	0.16547497446373852	0.2870275791624106
GSE245386	GSM7841720	Endothelial	primary	Slc1a3	1958	0.1108273748723187	0.16241062308478038
GSE245386	GSM7841720	Endothelial	primary	Glul	1958	0.8651685393258427	7.658835546475996
GSE245386	GSM7841720	Endothelial	primary	Sox9	1958	0.11491317671092952	0.16956077630234934
GSE245386	GSM7841720	Endothelial	primary	Pecam1	1958	0.9177732379979571	8.148110316649642
GSE245386	GSM7841720	Endothelial	primary	Cdh5	1958	0.823799795709908	3.326864147088866
GSE245386	GSM7841720	Endothelial	primary	Kdr	1958	0.7696629213483146	3.159346271705822
GSE245386	GSM7841720	Endothelial	primary	Ptprc	1958	0.26915219611848823	0.9974463738508682
GSE245386	GSM7841720	Endothelial	primary	Tyrobp	1958	0.36465781409601633	0.7170582226762002
GSE245386	GSM7841720	Endothelial	primary	Lyz2	1958	0.12155260469867211	0.21092951991828396
GSE245386	GSM7841720	Endothelial	primary	C1qa	1958	0.6807967313585291	2.267109295199183
GSE245386	GSM7841720	Endothelial	primary	P2ry12	1958	0.2906026557711951	0.5909090909090909
GSE245386	GSM7841720	Endothelial	primary	Tmem119	1958	0.15730337078651685	0.27579162410623087
