Package	Version	LibPath	Built	Priority	RemoteSha
bluster	1.22.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.0; x86_64-w64-mingw32; 2026-04-29 17:58:04 UTC; windows		c564e528da63e928b8a22e01bf80c148ce8042a3
bslib	0.12.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 02:40:27 UTC; windows		
caTools	1.18.4	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:55:41 UTC; windows		
cachem	1.1.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:55:54 UTC; windows		
callr	3.8.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 02:20:58 UTC; windows		
celda	1.28.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.0; x86_64-w64-mingw32; 2026-04-29 20:50:06 UTC; windows		ac7591c7cd29b140f8ccd4a0c8b9ace33ea8eb79
checkmate	2.3.4	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:58 UTC; windows		
circlize	0.4.18	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 01:55:59 UTC; windows		
cli	3.6.6	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:02 UTC; windows		
clue	0.3-68	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:55:42 UTC; windows		
colorspace	2.1-3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:04 UTC; windows		
combinat	0.0-8	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-08-19 11:49:03 UTC; windows		
commonmark	2.0.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:03 UTC; windows		
cowplot	1.2.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 03:03:39 UTC; windows		
cpp11	0.5.5	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 00:54:02 UTC; windows		
crayon	1.5.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 00:54:16 UTC; windows		
crosstalk	1.2.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 02:20:58 UTC; windows		
curl	8.0.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:15 UTC; windows		
data.table	1.18.6.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:07 UTC; windows		
dbscan	1.2.6	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:56:08 UTC; windows		
decontX	1.10.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.0; x86_64-w64-mingw32; 2026-05-01 10:15:47 UTC; windows		ffb4063aff1ced121ab403769911f9cba1b8a0c0
deldir	2.0-4	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-08-19 11:46:39 UTC; windows		
dendextend	1.19.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 03:04:42 UTC; windows		
desc	1.4.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 01:55:57 UTC; windows		
digest	0.6.39	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:04 UTC; windows		
distributional	0.9.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 02:41:28 UTC; windows		
doParallel	1.0.17	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 02:21:01 UTC; windows		
dotCall64	1.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:55:02 UTC; windows		
dplyr	1.2.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-02 04:00:08 UTC; windows		
dqrng	0.4.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:57:29 UTC; windows		
edgeR	4.10.5	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-04 14:39:38 UTC; windows		c4a54bdaec47e8b170d8164c417461d7f475ceea
enrichR	3.4	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 02:44:48 UTC; windows		
evaluate	1.0.5	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 00:54:28 UTC; windows		
farver	2.1.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:02 UTC; windows		
fastDummies	1.7.6	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 03:06:26 UTC; windows		
fastmap	1.2.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:02 UTC; windows		
fitdistrplus	1.2-6	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 02:21:25 UTC; windows		
fontawesome	0.5.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 02:20:49 UTC; windows		
foreach	1.5.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 01:55:55 UTC; windows		
formatR	1.14	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 01:00:28 UTC; windows		
fs	2.1.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:04 UTC; windows		
futile.logger	1.4.9	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 02:24:27 UTC; windows		
futile.options	1.0.1	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-08-19 11:54:24 UTC; windows		
future	1.75.0	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 01:55:59 UTC; windows		
future.apply	1.20.2	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 02:21:02 UTC; windows		
generics	0.1.4	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 00:54:01 UTC; windows		
ggbeeswarm	0.7.3	C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary	R 4.6.1; ; 2026-09-09 02:42:30 UTC; windows		
