dataset	sample	condition	config	cell_type	n_cells	total_target_counts
GSE332910	GSM9755196	MCAO	primary	Astrocyte	1002	3127998
GSE332910	GSM9755196	MCAO	primary	Endothelial	122	755378
GSE332910	GSM9755196	MCAO	primary	Pericyte	49	228817
GSE332910	GSM9755196	MCAO	primary	Smooth_muscle	6	37198
GSE332910	GSM9755196	MCAO	primary	Fibroblast	107	545649
GSE332910	GSM9755196	MCAO	primary	Microglia	696	1919729
GSE332910	GSM9755196	MCAO	primary	Myeloid	245	810546
GSE332910	GSM9755196	MCAO	primary	Oligodendrocyte	1397	3830109
GSE332910	GSM9755196	MCAO	primary	OPC	506	1804149
GSE332910	GSM9755196	MCAO	primary	Neuron	1516	8989346
GSE332910	GSM9755196	MCAO	primary	Ependymal	15	107926
GSE332910	GSM9755196	MCAO	primary	Choroid	0	0
GSE332910	GSM9755196	MCAO	primary	Lymphocyte	0	0
GSE332910	GSM9755196	MCAO	primary	Neutrophil	6	25412
GSE332910	GSM9755196	MCAO	primary	Erythroid	74	384546
