elapsed_seconds	rss_bytes
0.03	4018176
1.05	130506752
2.06	237264896
3.08	319279104
4.08	443879424
5.09	451985408
6.11	535703552
7.14	515895296
8.14	552394752
9.16	581844992
10.17	595996672
11.19	747384832
12.2	767729664
13.22	809525248
14.23	784646144
15.25	746115072
16.27	725028864
17.28	769105920
18.3	738209792
19.33	842878976
20.34	845447168
21.36	831107072
22.47	810803200
23.48	797532160
24.52	711274496
25.55	831463424
26.56	780492800
27.59	819023872
28.61	816963584
29.62	767283200
30.64	833495040
31.67	842915840
32.69	827174912
33.7	821067776
34.72	773976064
35.75	785768448
36.77	807186432
37.78	804429824
38.8	809353216
39.8	841687040
40.81	771579904
41.83	816988160
42.83	856166400
43.84	810614784
44.86	807669760
45.89	847683584
46.89	834945024
47.91	837206016
48.92	849764352
49.94	788656128
50.95	823238656
51.97	830640128
52.98	826736640
54.0	838815744
55.02	846106624
56.05	848744448
57.05	848678912
58.06	831107072
59.08	829390848
60.11	761491456
61.12	778649600
62.12	843448320
63.16	752140288
64.16	816562176
65.17	842702848
66.19	774746112
67.2	763142144
68.22	827068416
69.23	844206080
70.25	761376768
71.25	773070848
72.27	846843904
73.28	843755520
74.3	820436992
75.3	838963200
76.31	771723264
77.33	808755200
78.34	832159744
79.36	810917888
80.38	805724160
81.38	833646592
82.41	845385728
83.42	838496256
84.44	775446528
85.44	838844416
86.45	833318912
87.47	774316032
88.48	768196608
89.5	756084736
90.53	847888384
91.55	844472320
92.56	848121856
93.58	773185536
94.59	816439296
95.61	797360128
96.64	786329600
97.67	778915840
98.69	766730240
99.69	808075264
100.7	837959680
101.72	840847360
102.73	826179584
103.75	845541376
104.77	838348800
105.77	907874304
106.8	886034432
107.83	880685056
108.84	879079424
109.88	880443392
110.89	884391936
111.92	880283648
112.97	909565952
114.08	9428992
