elapsed_seconds	rss_bytes
0.03	3735552
1.03	150609920
2.05	258064384
3.06	437272576
4.06	457318400
5.08	583270400
6.09	746328064
7.11	860995584
8.11	886685696
9.12	919638016
10.12	927051776
11.14	986304512
12.16	979075072
13.16	893554688
14.19	991686656
15.19	952868864
16.2	1019625472
17.22	1008750592
18.23	875044864
19.25	901357568
20.27	952188928
21.28	880435200
22.28	962355200
23.3	1001705472
24.31	1028165632
25.33	896573440
26.33	906088448
27.34	983056384
28.36	1006292992
29.38	893575168
30.38	952528896
31.39	1006571520
32.41	1026695168
33.42	950751232
34.42	919560192
35.44	979816448
36.45	1019228160
37.47	938000384
38.48	956276736
39.5	972824576
40.5	910180352
41.52	1009790976
42.53	1007128576
43.55	928591872
44.56	939110400
45.58	977256448
46.58	1035460608
47.59	879513600
48.61	972488704
49.62	972853248
50.62	1020788736
51.64	884584448
52.66	887971840
53.67	994738176
54.67	1023160320
55.7	890118144
56.7	902225920
57.72	1006972928
58.73	1034584064
59.75	886521856
60.75	892264448
61.77	1012760576
62.78	1006002176
63.8	922599424
64.8	911106048
65.81	1001275392
66.83	1015906304
67.84	928083968
68.84	947892224
69.86	1008676864
70.88	876007424
71.88	964378624
72.89	978952192
73.91	1013235712
74.92	1020686336
75.92	901967872
76.94	901832704
77.95	898527232
78.97	850276352
79.97	932843520
80.98	939646976
82.0	997249024
83.02	1013522432
84.03	986251264
85.05	876924928
86.06	941408256
87.06	1000955904
88.08	1015169024
89.09	1015762944
90.11	1002160128
91.12	906653696
92.14	1010860032
93.16	1018068992
94.17	997457920
95.19	994922496
96.22	985849856
97.23	996556800
98.23	997720064
99.25	997867520
100.27	994189312
101.27	994869248
102.28	1026240512
103.28	1040293888
