"source_genesymbol","target_genesymbol","resource"
"Cd14","Tlr1","mouseconsensus"
"Cd14","Tlr9","mouseconsensus"
"Cd14","Tlr6","mouseconsensus"
"Cd48","Cd2","mouseconsensus"
"Cd48","Cd244","mouseconsensus"
"Csf1","Sirpa","mouseconsensus"
"Csf1","Celsr3","mouseconsensus"
"Tgfb3","Acvr1b_Tgfbr2","mouseconsensus"
"Tgfb3","Tgfbr1_Tgfbr2","mouseconsensus"
"Tgfb3","Acvr1_Tgfbr1_Tgfbr2","mouseconsensus"
"Tgfb3","Acvr1_Tgfbr2","mouseconsensus"
"Tgfb3","Acvr1c_Tgfbr2","mouseconsensus"
"Tgfb3","Itgb3","mouseconsensus"
"Tgfb3","Itgb1","mouseconsensus"
"Tgfb3","Itgb5","mouseconsensus"
"Tgfb3","Itgb6","mouseconsensus"
"Tgfb3","Acvrl1","mouseconsensus"
"Tgfb3","Tgfbr3","mouseconsensus"
"Cd28","Cd80","mouseconsensus"
"Cd28","Cd86","mouseconsensus"
"Ace","Bdkrb2","mouseconsensus"
"Ace","Agtr2","mouseconsensus"
"Cdh1","Itga2_Itgb1","mouseconsensus"
"Cdh1","Itgae_Itgb7","mouseconsensus"
"Cdh1","Lrp5","mouseconsensus"
"Cdh1","Egfr","mouseconsensus"
"Cdh1","Igf1r","mouseconsensus"
"Cdh1","Ptprf","mouseconsensus"
"Cdh1","Cdh2","mouseconsensus"
"Cdh1","Erbb3","mouseconsensus"
"Cdh1","Ptprm","mouseconsensus"
"Cdh1","Klrg1","mouseconsensus"
"Tdgf1","Acvr2a","mouseconsensus"
"Tdgf1","Gpc1","mouseconsensus"
"Tdgf1","Acvr1b","mouseconsensus"
"Tdgf1","Acvr2b","mouseconsensus"
"Tdgf1","Acvr1c","mouseconsensus"
"Ncam1","Ncam2","mouseconsensus"
"Ncam1","Fgfr1","mouseconsensus"
"Ncam1","Fgfr2","mouseconsensus"
"Ncam1","Ptprz1","mouseconsensus"
"Ncam1","Gfra1","mouseconsensus"
"Ncam1","Robo3","mouseconsensus"
"Ncam1","Robo1","mouseconsensus"
"Icam2","Itgam_Itgb2","mouseconsensus"
"Icam2","Itgal_Itgb2","mouseconsensus"
"H2-Ob","Cd4","mouseconsensus"
"St6gal1","Egfr","mouseconsensus"
"St6gal1","Cd22","mouseconsensus"
"Spn","Siglec1","mouseconsensus"
"Sele","Cd44","mouseconsensus"
"Sele","Glg1","mouseconsensus"
"H2-M3","Cd4","mouseconsensus"
"H2-M3","Cd8a","mouseconsensus"
"H2-M3","Cd8b1","mouseconsensus"
"H2-M3","Klrc1","mouseconsensus"
"H2-M3","Klrd1","mouseconsensus"
"Vcam1","Itgad_Itgb2","mouseconsensus"
"Vcam1","Itga4_Itgb1","mouseconsensus"
"Vcam1","Itga9_Itgb1","mouseconsensus"
"Vcam1","Itga4_Itgb7","mouseconsensus"
"Cd22","Ptprc","mouseconsensus"
"Efna1","Ephb6","mouseconsensus"
"Efna1","Epha1","mouseconsensus"
"Efna1","Epha2","mouseconsensus"
"Efna1","Epha3","mouseconsensus"
"Efna1","Epha8","mouseconsensus"
"Efna1","Epha5","mouseconsensus"
"Efna1","Ephb1","mouseconsensus"
"Efna1","Epha4","mouseconsensus"
"Efna1","Epha7","mouseconsensus"
"Efna1","Epha10","mouseconsensus"
"Efna1","Epha6","mouseconsensus"
"Kitl","Kit","mouseconsensus"
"Kitl","Epor","mouseconsensus"
"Mrc1","Ptprc","mouseconsensus"
"Mpz","Mpzl1","mouseconsensus"
"H2-DMa","Cd4","mouseconsensus"
"Cd34","Sell","mouseconsensus"
"Cd34","Selp","mouseconsensus"
"Cd40lg","Itga2b_Itgb3","mouseconsensus"
"Cd40lg","Itgam_Itgb2","mouseconsensus"
