"source_genesymbol","target_genesymbol","resource"
"Vwf","Stab2","mouseconsensus"
"Lamb1","Itga2_Itgb1","mouseconsensus"
"Lamb1","Itga6_Itgb1","mouseconsensus"
"Lamb1","Itga3_Itgb1","mouseconsensus"
"Lamb1","Itga7_Itgb1","mouseconsensus"
"Lamb1","Itga9_Itgb1","mouseconsensus"
"Lamb1","Itgav_Itgb8","mouseconsensus"
"Lamb1","Itga6_Itgb4","mouseconsensus"
"Lamb1","Cd44","mouseconsensus"
"Lamb1","Itga1","mouseconsensus"
"Lamb1","Dag1","mouseconsensus"
"Col1a2","Itga10_Itgb1","mouseconsensus"
"Col1a2","Itga2_Itgb1","mouseconsensus"
"Col1a2","Itga3_Itgb1","mouseconsensus"
"Col1a2","Itga1_Itgb1","mouseconsensus"
"Col1a2","Itga9_Itgb1","mouseconsensus"
"Col1a2","Itga11_Itgb1","mouseconsensus"
"Col1a2","Itgav_Itgb8","mouseconsensus"
"Col1a2","Itgb3","mouseconsensus"
"Col1a2","Itga2b","mouseconsensus"
"Col1a2","Cd44","mouseconsensus"
"Col1a2","Cd36","mouseconsensus"
"Col1a2","Sdc1","mouseconsensus"
"Col1a2","Flt4","mouseconsensus"
"Col1a2","Gp6","mouseconsensus"
"Col1a2","Cd93","mouseconsensus"
"Col4a2","Itga10_Itgb1","mouseconsensus"
"Col4a2","Itga2_Itgb1","mouseconsensus"
"Col4a2","Itga3_Itgb1","mouseconsensus"
"Col4a2","Itga1_Itgb1","mouseconsensus"
"Col4a2","Itga9_Itgb1","mouseconsensus"
"Col4a2","Itga11_Itgb1","mouseconsensus"
"Col4a2","Itgav_Itgb8","mouseconsensus"
"Col4a2","Itgb3","mouseconsensus"
"Col4a2","Cd44","mouseconsensus"
"Col4a2","Itgb5","mouseconsensus"
"Col4a2","Sdc1","mouseconsensus"
"Col4a2","Gp6","mouseconsensus"
"Col4a2","Cd93","mouseconsensus"
"Lamc1","Itga2_Itgb1","mouseconsensus"
"Lamc1","Itga6_Itgb1","mouseconsensus"
"Lamc1","Itga3_Itgb1","mouseconsensus"
"Lamc1","Itga7_Itgb1","mouseconsensus"
"Lamc1","Itga9_Itgb1","mouseconsensus"
"Lamc1","Itgav_Itgb8","mouseconsensus"
"Lamc1","Itga6_Itgb4","mouseconsensus"
"Lamc1","Cd44","mouseconsensus"
"Lamc1","Itga1","mouseconsensus"
"Lamc1","Dag1","mouseconsensus"
"Col6a1","Itga10_Itgb1","mouseconsensus"
"Col6a1","Itga2_Itgb1","mouseconsensus"
"Col6a1","Itga3_Itgb1","mouseconsensus"
"Col6a1","Itga1_Itgb1","mouseconsensus"
"Col6a1","Itga9_Itgb1","mouseconsensus"
"Col6a1","Itga11_Itgb1","mouseconsensus"
"Col6a1","Itgav_Itgb8","mouseconsensus"
"Col6a1","Cd44","mouseconsensus"
"Col6a1","Sdc1","mouseconsensus"
"Col6a1","Itga6","mouseconsensus"
"Col6a1","Gp6","mouseconsensus"
"Col6a2","Itga10_Itgb1","mouseconsensus"
"Col6a2","Itga2_Itgb1","mouseconsensus"
"Col6a2","Itga3_Itgb1","mouseconsensus"
"Col6a2","Itga1_Itgb1","mouseconsensus"
"Col6a2","Itga9_Itgb1","mouseconsensus"
"Col6a2","Itga11_Itgb1","mouseconsensus"
"Col6a2","Itgav_Itgb8","mouseconsensus"
"Col6a2","Cd44","mouseconsensus"
"Col6a2","Sdc1","mouseconsensus"
"Col6a2","Gp6","mouseconsensus"
"Col6a3","Itga10_Itgb1","mouseconsensus"
"Col6a3","Itga2_Itgb1","mouseconsensus"
"Col6a3","Itga3_Itgb1","mouseconsensus"
"Col6a3","Itga1_Itgb1","mouseconsensus"
"Col6a3","Itga9_Itgb1","mouseconsensus"
"Col6a3","Itga11_Itgb1","mouseconsensus"
"Col6a3","Itgav_Itgb8","mouseconsensus"
"Col6a3","Cd44","mouseconsensus"
"Col6a3","Sdc1","mouseconsensus"
"Col6a3","Gp6","mouseconsensus"
"Col9a1","Itga10_Itgb1","mouseconsensus"
"Col9a1","Itga2_Itgb1","mouseconsensus"
"Col9a1","Itga3_Itgb1","mouseconsensus"
"Col9a1","Itga1_Itgb1","mouseconsensus"
"Col9a1","Itga9_Itgb1","mouseconsensus"
"Col9a1","Itga11_Itgb1","mouseconsensus"
"Col9a1","Itgav_Itgb8","mouseconsensus"
"Col9a1","Cd44","mouseconsensus"
"Col9a1","Sdc1","mouseconsensus"
"Col9a1","Gp6","mouseconsensus"
"Ibsp","Itgav_Itgb3","mouseconsensus"
"Ibsp","Itgav_Itgb5","mouseconsensus"
"Tnxb","Itgav_Itgb3","mouseconsensus"
"Tnxb","Itga2b_Itgb3","mouseconsensus"
"Tnxb","Itga8_Itgb1","mouseconsensus"
"Tnxb","Itga9_Itgb1","mouseconsensus"
"Tnxb","Itgav_Itgb6","mouseconsensus"
"Tnxb","Sdc1","mouseconsensus"
"Lama2","Itga2_Itgb1","mouseconsensus"
"Lama2","Itga6_Itgb1","mouseconsensus"
"Lama2","Itga3_Itgb1","mouseconsensus"
"Lama2","Itga7_Itgb1","mouseconsensus"
"Lama2","Itga9_Itgb1","mouseconsensus"
"Lama2","Itgav_Itgb8","mouseconsensus"
"Lama2","Itga6_Itgb4","mouseconsensus"
"Lama2","Rpsa","mouseconsensus"
"Lama2","Cd44","mouseconsensus"
"Lama2","Itga1","mouseconsensus"
"Lama2","Dag1","mouseconsensus"
"Tnc","Itgav_Itgb3","mouseconsensus"
"Tnc","Itga2b_Itgb3","mouseconsensus"
"Tnc","Itga8_Itgb1","mouseconsensus"
"Tnc","Itga9_Itgb1","mouseconsensus"
"Tnc","Itgav_Itgb6","mouseconsensus"
"Tnc","Egfr","mouseconsensus"
"Tnc","Itga5","mouseconsensus"
"Tnc","Itga2","mouseconsensus"
"Tnc","Sdc1","mouseconsensus"
"Tnc","Ptprb","mouseconsensus"
"Tnc","Ptprz1","mouseconsensus"
"Tnc","Cntn1","mouseconsensus"
"Tnc","Itga7","mouseconsensus"
"Lama1","Itga2_Itgb1","mouseconsensus"
"Lama1","Itga6_Itgb1","mouseconsensus"
"Lama1","Itga3_Itgb1","mouseconsensus"
"Lama1","Itga7_Itgb1","mouseconsensus"
"Lama1","Itga9_Itgb1","mouseconsensus"
"Lama1","Itgav_Itgb8","mouseconsensus"
"Lama1","Itga6_Itgb4","mouseconsensus"
"Lama1","Rpsa","mouseconsensus"
"Lama1","Cd44","mouseconsensus"
"Lama1","Sdc2","mouseconsensus"
"Lama1","Gpc1","mouseconsensus"
"Lama1","Itga1","mouseconsensus"
"Lama1","Dag1","mouseconsensus"
"Col4a5","Itga10_Itgb1","mouseconsensus"
"Col4a5","Itga2_Itgb1","mouseconsensus"
"Col4a5","Itga3_Itgb1","mouseconsensus"
"Col4a5","Itga1_Itgb1","mouseconsensus"
"Col4a5","Itga9_Itgb1","mouseconsensus"
"Col4a5","Itga11_Itgb1","mouseconsensus"
"Col4a5","Itgav_Itgb8","mouseconsensus"
"Col4a5","Cd44","mouseconsensus"
"Col4a5","Sdc1","mouseconsensus"
"Col4a5","Cd47","mouseconsensus"
"Col4a5","Gp6","mouseconsensus"
"Col4a5","Cd93","mouseconsensus"
"Thbs2","Itgav_Itgb3","mouseconsensus"
"Thbs2","Itga3_Itgb1","mouseconsensus"
"Thbs2","Itga4","mouseconsensus"
"Thbs2","Cd36","mouseconsensus"
"Thbs2","Sdc1","mouseconsensus"
"Thbs2","Itga6","mouseconsensus"
"Thbs2","Cd47","mouseconsensus"
"Thbs2","Notch4","mouseconsensus"
"Thbs2","Notch3","mouseconsensus"
"Thbs4","Itgav_Itgb3","mouseconsensus"
"Thbs4","Itga3_Itgb1","mouseconsensus"
"Thbs4","Cd36","mouseconsensus"
"Thbs4","Sdc1","mouseconsensus"
"Thbs4","Cd47","mouseconsensus"
"Thbs3","Itgav_Itgb3","mouseconsensus"
"Thbs3","Itga3_Itgb1","mouseconsensus"
"Comp","Itgav_Itgb3","mouseconsensus"
"Comp","Itga3_Itgb1","mouseconsensus"
"Comp","Itga5","mouseconsensus"
"Comp","Cd36","mouseconsensus"
"Comp","Sdc1","mouseconsensus"
"Comp","Cd47","mouseconsensus"
"Col4a4","Itga10_Itgb1","mouseconsensus"
"Col4a4","Itga2_Itgb1","mouseconsensus"
"Col4a4","Itga3_Itgb1","mouseconsensus"
"Col4a4","Itga1_Itgb1","mouseconsensus"
"Col4a4","Itga9_Itgb1","mouseconsensus"
"Col4a4","Itga11_Itgb1","mouseconsensus"
"Col4a4","Itgav_Itgb8","mouseconsensus"
"Col4a4","Itgb3","mouseconsensus"
"Col4a4","Cd44","mouseconsensus"
"Col4a4","Sdc1","mouseconsensus"
"Col4a4","Cd47","mouseconsensus"
"Col4a4","Gp6","mouseconsensus"
"Col4a4","Cd93","mouseconsensus"
"Lamb2","Itga2_Itgb1","mouseconsensus"
"Lamb2","Itga6_Itgb1","mouseconsensus"
"Lamb2","Itga3_Itgb1","mouseconsensus"
"Lamb2","Itga7_Itgb1","mouseconsensus"
"Lamb2","Itga9_Itgb1","mouseconsensus"
"Lamb2","Itgav_Itgb8","mouseconsensus"
"Lamb2","Itga6_Itgb4","mouseconsensus"
"Lamb2","Rpsa","mouseconsensus"
"Lamb2","Cd44","mouseconsensus"
"Lamb2","Dag1","mouseconsensus"
"Reln","Itga3_Itgb1","mouseconsensus"
"Reln","Vldlr","mouseconsensus"
"Reln","Lrp8","mouseconsensus"
"Hspg2","Itgb1","mouseconsensus"
"Hspg2","Fgfr1","mouseconsensus"
"Hspg2","Itga2","mouseconsensus"
"Hspg2","Sdc1","mouseconsensus"
"Hspg2","Lrp2","mouseconsensus"
"Hspg2","Lrp1","mouseconsensus"
"Hspg2","Ptprs","mouseconsensus"
"Hspg2","Dag1","mouseconsensus"
"Col4a3","Itga10_Itgb1","mouseconsensus"
"Col4a3","Itga2_Itgb1","mouseconsensus"
"Col4a3","Itga3_Itgb1","mouseconsensus"
"Col4a3","Itga1_Itgb1","mouseconsensus"
"Col4a3","Itga9_Itgb1","mouseconsensus"
"Col4a3","Itga11_Itgb1","mouseconsensus"
"Col4a3","Itgav_Itgb8","mouseconsensus"
"Col4a3","Itgb3","mouseconsensus"
"Col4a3","Cd44","mouseconsensus"
"Col4a3","Sdc1","mouseconsensus"
"Col4a3","Cd47","mouseconsensus"
"Col4a3","Gp6","mouseconsensus"
"Col4a3","Cd93","mouseconsensus"
"Dmp1","Itgav_Itgb3","mouseconsensus"
"Lamb3","Itga2_Itgb1","mouseconsensus"
"Lamb3","Itga6_Itgb1","mouseconsensus"
"Lamb3","Itga3_Itgb1","mouseconsensus"
"Lamb3","Itga7_Itgb1","mouseconsensus"
"Lamb3","Itga9_Itgb1","mouseconsensus"
"Lamb3","Itgav_Itgb8","mouseconsensus"
"Lamb3","Itga6_Itgb4","mouseconsensus"
"Lamb3","Cd44","mouseconsensus"
"Lamb3","Dag1","mouseconsensus"
"Lamc2","Itga2_Itgb1","mouseconsensus"
"Lamc2","Itga6_Itgb1","mouseconsensus"
"Lamc2","Itga3_Itgb1","mouseconsensus"
"Lamc2","Itga7_Itgb1","mouseconsensus"
"Lamc2","Itga9_Itgb1","mouseconsensus"
"Lamc2","Itgav_Itgb8","mouseconsensus"
"Lamc2","Itga6_Itgb4","mouseconsensus"
"Lamc2","Cd44","mouseconsensus"
"Lamc2","Dag1","mouseconsensus"
"Col4a6","Itga10_Itgb1","mouseconsensus"
"Col4a6","Itga2_Itgb1","mouseconsensus"
"Col4a6","Itga3_Itgb1","mouseconsensus"
"Col4a6","Itga1_Itgb1","mouseconsensus"
"Col4a6","Itga9_Itgb1","mouseconsensus"
"Col4a6","Itga11_Itgb1","mouseconsensus"
"Col4a6","Itgav_Itgb8","mouseconsensus"
"Col4a6","Cd44","mouseconsensus"
"Col4a6","Sdc1","mouseconsensus"
"Col4a6","Cd47","mouseconsensus"
"Col4a6","Gp6","mouseconsensus"
"Col4a6","Cd93","mouseconsensus"
"Col9a3","Itga10_Itgb1","mouseconsensus"
"Col9a3","Itga2_Itgb1","mouseconsensus"
"Col9a3","Itga3_Itgb1","mouseconsensus"
"Col9a3","Itga1_Itgb1","mouseconsensus"
"Col9a3","Itga9_Itgb1","mouseconsensus"
"Col9a3","Itga11_Itgb1","mouseconsensus"
"Col9a3","Itgav_Itgb8","mouseconsensus"
"Col9a3","Cd44","mouseconsensus"
"Col9a3","Sdc1","mouseconsensus"
"Col9a3","Gp6","mouseconsensus"
"Col9a2","Itga10_Itgb1","mouseconsensus"
"Col9a2","Itga2_Itgb1","mouseconsensus"
"Col9a2","Itga3_Itgb1","mouseconsensus"
"Col9a2","Itga1_Itgb1","mouseconsensus"
"Col9a2","Itga9_Itgb1","mouseconsensus"
"Col9a2","Itga11_Itgb1","mouseconsensus"
"Col9a2","Itgav_Itgb8","mouseconsensus"
"Col9a2","Cd44","mouseconsensus"
"Col9a2","Sdc1","mouseconsensus"
"Col9a2","Gp6","mouseconsensus"
"Lama4","Itga2_Itgb1","mouseconsensus"
"Lama4","Itga6_Itgb1","mouseconsensus"
"Lama4","Itga3_Itgb1","mouseconsensus"
"Lama4","Itga7_Itgb1","mouseconsensus"
"Lama4","Itga9_Itgb1","mouseconsensus"
"Lama4","Itgav_Itgb8","mouseconsensus"
"Lama4","Itga6_Itgb4","mouseconsensus"
"Lama4","Cd44","mouseconsensus"
"Lama4","Dag1","mouseconsensus"
"Lama3","Itga2_Itgb1","mouseconsensus"
"Lama3","Itga6_Itgb1","mouseconsensus"
"Lama3","Itga3_Itgb1","mouseconsensus"
"Lama3","Itga7_Itgb1","mouseconsensus"
"Lama3","Itga9_Itgb1","mouseconsensus"
"Lama3","Itgav_Itgb8","mouseconsensus"
"Lama3","Itga6_Itgb4","mouseconsensus"
"Lama3","Cd44","mouseconsensus"
"Lama3","Sdc2","mouseconsensus"
"Lama3","Dag1","mouseconsensus"
"Tnr","Itgav_Itgb3","mouseconsensus"
"Tnr","Itga2b_Itgb3","mouseconsensus"
"Tnr","Itga8_Itgb1","mouseconsensus"
"Tnr","Itga9_Itgb1","mouseconsensus"
"Tnr","Itgav_Itgb6","mouseconsensus"
"Tnr","Sdc1","mouseconsensus"
"Tnn","Itgav_Itgb3","mouseconsensus"
"Tnn","Itga2b_Itgb3","mouseconsensus"
"Tnn","Itga8_Itgb1","mouseconsensus"
"Tnn","Itga9_Itgb1","mouseconsensus"
"Tnn","Itgav_Itgb6","mouseconsensus"
"Tnn","Sdc1","mouseconsensus"
"Lamc3","Itga2_Itgb1","mouseconsensus"
"Lamc3","Itga6_Itgb1","mouseconsensus"
"Lamc3","Itga3_Itgb1","mouseconsensus"
"Lamc3","Itga7_Itgb1","mouseconsensus"
"Lamc3","Itga9_Itgb1","mouseconsensus"
"Lamc3","Itgav_Itgb8","mouseconsensus"
"Lamc3","Itga6_Itgb4","mouseconsensus"
"Lamc3","Cd44","mouseconsensus"
"Lamc3","Dag1","mouseconsensus"
"Clcf1_Crlf1","Cntfr_Il6st","mouseconsensus"
"Lta_Ltb","Ltbr","mouseconsensus"
"Inha_Inhba","Acvr2a","mouseconsensus"
"Inha_Inhbb","Acvr2b","mouseconsensus"
"Inhba_Inhbb","Acvr1b_Acvr2a","mouseconsensus"
"Inhba_Inhbb","Acvr1_Acvr2a","mouseconsensus"
"Inhba_Inhbb","Acvr1c_Acvr2a","mouseconsensus"
"Inhba_Inhbb","Acvr1b_Acvr2b","mouseconsensus"
"Inhba_Inhbb","Acvr1_Acvr2b","mouseconsensus"
"Inhba_Inhbb","Acvr1c_Acvr2b","mouseconsensus"
"Csf1_Il34","Csf1r","mouseconsensus"
"Il12a_Il12b","Il12rb1_Il12rb2","mouseconsensus"
"Ebi3_Il12a","Il12rb2_Il6st","mouseconsensus"
"Il12a_Il27","Il12rb2_Il27ra","mouseconsensus"
"Il12b_Il23a","Il12rb1_Il23r","mouseconsensus"
"Ebi3_Il27","Il27ra_Il6st","mouseconsensus"
"Il17a_Il17f","Il17ra_Il17rc","mouseconsensus"
"Ccl24","Ccr2","mouseconsensus"
"Ccl24","Ccr3","mouseconsensus"
"Cort","Adra2a","mouseconsensus"
"Cort","Sstr1","mouseconsensus"
"Cort","Sstr2","mouseconsensus"
"Cort","Sstr4","mouseconsensus"
"Cort","Sstr3","mouseconsensus"
"Cort","Sstr5","mouseconsensus"
"Cort","Mtnr1a","mouseconsensus"
"Cort","Grm7","mouseconsensus"
"Cort","Ghsr","mouseconsensus"
"Agrp","Sdc3","mouseconsensus"
"Agrp","Mc4r","mouseconsensus"
"Agrp","Mc5r","mouseconsensus"
"Agrp","Mc3r","mouseconsensus"
"Lefty2","Acvr2a","mouseconsensus"
"Lefty2","Acvr1b","mouseconsensus"
"Lefty2","Acvr2b","mouseconsensus"
"Ccl21b","Adra2a","mouseconsensus"
"Ccl21b","Ccr7","mouseconsensus"
"Ccl21b","Ccr10","mouseconsensus"
"Ccl21b","Mtnr1a","mouseconsensus"
"Ccl21b","Cxcr3","mouseconsensus"
"Ccl21b","Grm7","mouseconsensus"
"Ccl21b","Ackr4","mouseconsensus"
"Ccl22","Ccr4","mouseconsensus"
"Ntn3","Cdon","mouseconsensus"
"Ntn3","Neo1","mouseconsensus"
"Wnt10b","Fzd9_Lrp5","mouseconsensus"
"Wnt10b","Fzd9_Lrp6","mouseconsensus"
"Wnt10b","Fzd6_Lrp5","mouseconsensus"
"Wnt10b","Fzd6_Lrp6","mouseconsensus"
"Wnt10b","Fzd7_Lrp5","mouseconsensus"
"Wnt10b","Fzd7_Lrp6","mouseconsensus"
"Wnt10b","Fzd5_Lrp5","mouseconsensus"
"Wnt10b","Fzd2_Lrp5","mouseconsensus"
"Wnt10b","Fzd8_Lrp5","mouseconsensus"
"Wnt10b","Fzd3_Lrp5","mouseconsensus"
"Wnt10b","Fzd4_Lrp5","mouseconsensus"
"Wnt10b","Fzd10_Lrp5","mouseconsensus"
"Wnt10b","Fzd1_Lrp5","mouseconsensus"
"Wnt10b","Fzd5_Lrp6","mouseconsensus"
"Wnt10b","Fzd2_Lrp6","mouseconsensus"
"Wnt10b","Fzd8_Lrp6","mouseconsensus"
"Wnt10b","Fzd3_Lrp6","mouseconsensus"
"Wnt10b","Fzd4_Lrp6","mouseconsensus"
"Wnt10b","Fzd10_Lrp6","mouseconsensus"
"Wnt10b","Fzd1_Lrp6","mouseconsensus"
"Wnt7a","Fzd9_Lrp5","mouseconsensus"
"Wnt7a","Fzd9_Lrp6","mouseconsensus"
"Wnt7a","Fzd6_Lrp5","mouseconsensus"
"Wnt7a","Fzd6_Lrp6","mouseconsensus"
"Wnt7a","Fzd7_Lrp5","mouseconsensus"
"Wnt7a","Fzd7_Lrp6","mouseconsensus"
"Wnt7a","Fzd5_Lrp5","mouseconsensus"
"Wnt7a","Fzd2_Lrp5","mouseconsensus"
"Wnt7a","Fzd8_Lrp5","mouseconsensus"
"Wnt7a","Fzd3_Lrp5","mouseconsensus"
"Wnt7a","Fzd4_Lrp5","mouseconsensus"
"Wnt7a","Fzd10_Lrp5","mouseconsensus"
"Wnt7a","Fzd1_Lrp5","mouseconsensus"
"Wnt7a","Fzd5_Lrp6","mouseconsensus"
"Wnt7a","Fzd2_Lrp6","mouseconsensus"
"Wnt7a","Fzd8_Lrp6","mouseconsensus"
"Wnt7a","Fzd3_Lrp6","mouseconsensus"
"Wnt7a","Fzd4_Lrp6","mouseconsensus"
"Wnt7a","Fzd10_Lrp6","mouseconsensus"
"Wnt7a","Fzd1_Lrp6","mouseconsensus"
"Wnt7a","Reck","mouseconsensus"
"Wnt7a","Ldlr","mouseconsensus"
"Mstn","Acvr1b_Acvr2a","mouseconsensus"
"Mstn","Acvr2a_Tgfbr1","mouseconsensus"
"Mstn","Acvr1b_Acvr2b","mouseconsensus"
"Mstn","Acvr2b_Tgfbr1","mouseconsensus"
"Wnt9a","Fzd9_Lrp5","mouseconsensus"
"Wnt9a","Fzd9_Lrp6","mouseconsensus"
"Wnt9a","Fzd6_Lrp5","mouseconsensus"
"Wnt9a","Fzd6_Lrp6","mouseconsensus"
"Wnt9a","Fzd7_Lrp5","mouseconsensus"
"Wnt9a","Fzd7_Lrp6","mouseconsensus"
"Wnt9a","Fzd5_Lrp5","mouseconsensus"
"Wnt9a","Fzd2_Lrp5","mouseconsensus"
"Wnt9a","Fzd8_Lrp5","mouseconsensus"
"Wnt9a","Fzd3_Lrp5","mouseconsensus"
"Wnt9a","Fzd4_Lrp5","mouseconsensus"
"Wnt9a","Fzd10_Lrp5","mouseconsensus"
"Wnt9a","Fzd1_Lrp5","mouseconsensus"
"Wnt9a","Fzd5_Lrp6","mouseconsensus"
"Wnt9a","Fzd2_Lrp6","mouseconsensus"
"Wnt9a","Fzd8_Lrp6","mouseconsensus"
"Wnt9a","Fzd3_Lrp6","mouseconsensus"
"Wnt9a","Fzd4_Lrp6","mouseconsensus"
"Wnt9a","Fzd10_Lrp6","mouseconsensus"
"Wnt9a","Fzd1_Lrp6","mouseconsensus"
"Wnt9b","Fzd9_Lrp5","mouseconsensus"
"Wnt9b","Fzd9_Lrp6","mouseconsensus"
"Wnt9b","Fzd6_Lrp5","mouseconsensus"
"Wnt9b","Fzd6_Lrp6","mouseconsensus"
"Wnt9b","Fzd7_Lrp5","mouseconsensus"
"Wnt9b","Fzd7_Lrp6","mouseconsensus"
"Wnt9b","Fzd5_Lrp5","mouseconsensus"
"Wnt9b","Fzd2_Lrp5","mouseconsensus"
"Wnt9b","Fzd8_Lrp5","mouseconsensus"
"Wnt9b","Fzd3_Lrp5","mouseconsensus"
"Wnt9b","Fzd4_Lrp5","mouseconsensus"
"Wnt9b","Fzd10_Lrp5","mouseconsensus"
"Wnt9b","Fzd1_Lrp5","mouseconsensus"
"Wnt9b","Fzd5_Lrp6","mouseconsensus"
"Wnt9b","Fzd2_Lrp6","mouseconsensus"
"Wnt9b","Fzd8_Lrp6","mouseconsensus"
"Wnt9b","Fzd3_Lrp6","mouseconsensus"
"Wnt9b","Fzd4_Lrp6","mouseconsensus"
"Wnt9b","Fzd10_Lrp6","mouseconsensus"
"Wnt9b","Fzd1_Lrp6","mouseconsensus"
"Sema3e","Nrp1","mouseconsensus"
"Sema3e","Plxnd1","mouseconsensus"
"Angpt2","Itga5_Itgb1","mouseconsensus"
"Angpt2","Tie1","mouseconsensus"
"Angpt2","Tek","mouseconsensus"
"Npff","Npffr1","mouseconsensus"
"Npff","Npffr2","mouseconsensus"
"Vgf","Ntrk1","mouseconsensus"
"Ccl25","Adra2a","mouseconsensus"
"Ccl25","Ccr10","mouseconsensus"
"Ccl25","Mtnr1a","mouseconsensus"
"Ccl25","Ccr9","mouseconsensus"
"Ccl25","Grm7","mouseconsensus"
"Ccl25","Ackr4","mouseconsensus"
"Fgf10","Fgfr1","mouseconsensus"
"Fgf10","Fgfr2","mouseconsensus"
"Fgf10","Fgfrl1","mouseconsensus"
"Fgf16","Fgfr1","mouseconsensus"
"Fgf16","Fgfr2","mouseconsensus"
"Fgf16","Fgfr4","mouseconsensus"
"Fgf16","Fgfr3","mouseconsensus"
"Dhh","Ptch1_Smo","mouseconsensus"
"Dhh","Ptch2_Smo","mouseconsensus"
"Dhh","Cdon","mouseconsensus"
"Dhh","Boc","mouseconsensus"
"Hcrt","Hcrtr1","mouseconsensus"
"Hcrt","Hcrtr2","mouseconsensus"
"Hcrt","Npffr2","mouseconsensus"
"Angptl7","Pirb","mouseconsensus"
"Edil3","Itgb3","mouseconsensus"
"Edil3","Itgav","mouseconsensus"
"Edil3","Itgb5","mouseconsensus"
"Cd5l","Cd5","mouseconsensus"
"Cxcl13","Adra2a","mouseconsensus"
"Cxcl13","Cxcr5","mouseconsensus"
"Cxcl13","Ccr10","mouseconsensus"
"Cxcl13","Mtnr1a","mouseconsensus"
"Cxcl13","Cxcr3","mouseconsensus"
"Cxcl13","Grm7","mouseconsensus"
"Cxcl13","Ackr4","mouseconsensus"
"Fgf17","Fgfr1","mouseconsensus"
"Fgf17","Fgfr2","mouseconsensus"
"Fgf17","Fgfr4","mouseconsensus"
"Fgf17","Fgfr3","mouseconsensus"
"Gdf9","Acvr1b_Bmpr2","mouseconsensus"
"Gdf9","Bmpr2_Tgfbr1","mouseconsensus"
"Gdf9","Bmpr1b","mouseconsensus"
"Gdf9","Acvr2a","mouseconsensus"
"Gdf9","Bmpr1a","mouseconsensus"
"Pspn","Gfra4_Ret","mouseconsensus"
"Pspn","Gfra2","mouseconsensus"
"Pspn","Sdc3","mouseconsensus"
"Pspn","Gfra1","mouseconsensus"
"Grem1","Kdr","mouseconsensus"
"Slit1","Sdc1","mouseconsensus"
"Slit1","Gpc1","mouseconsensus"
"Slit1","Robo2","mouseconsensus"
"Slit1","Flrt3","mouseconsensus"
"Slit1","Robo1","mouseconsensus"
"Slit3","Robo4","mouseconsensus"
"Slit3","Robo2","mouseconsensus"
"Slit3","Robo1","mouseconsensus"
"Pglyrp1","Trem1","mouseconsensus"
"Lefty1","Acvr2a","mouseconsensus"
"Lefty1","Acvr1b","mouseconsensus"
"Lefty1","Acvr2b","mouseconsensus"
"Fgf18","Fgfr1","mouseconsensus"
"Fgf18","Fgfr2","mouseconsensus"
"Fgf18","Fgfr4","mouseconsensus"
"Fgf18","Fgfr3","mouseconsensus"
"Slit2","App","mouseconsensus"
"Slit2","Sdc1","mouseconsensus"
"Slit2","Gpc1","mouseconsensus"
"Slit2","Dcc","mouseconsensus"
"Slit2","Robo4","mouseconsensus"
"Slit2","Robo2","mouseconsensus"
"Slit2","Robo1","mouseconsensus"
"Lrig2","Egfr","mouseconsensus"
"Dkk1","Lrp4","mouseconsensus"
"Dkk1","Lrp5","mouseconsensus"
"Dkk1","Lrp6","mouseconsensus"
"Dkk1","Kremen2","mouseconsensus"
"Dkk1","Kremen1","mouseconsensus"
"Sema3d","Nrp1_Plxna2","mouseconsensus"
"Sema3d","Nrp1_Plxna3","mouseconsensus"
"Sema3d","Nrp1_Plxna4","mouseconsensus"
"Sema3d","Nrp1_Plxna1","mouseconsensus"
"Sema3d","Nrp2_Plxna2","mouseconsensus"
"Sema3d","Nrp2_Plxna3","mouseconsensus"
"Sema3d","Nrp2_Plxna4","mouseconsensus"
"Sema3d","Nrp2_Plxna1","mouseconsensus"
"Sema3d","Plxnd1","mouseconsensus"
"Nxph2","Nrxn1","mouseconsensus"
"Nxph3","Nrxn1","mouseconsensus"
"Nxph3","Nrxn2","mouseconsensus"
"Gdf11","Acvr1b_Acvr2a","mouseconsensus"
"Gdf11","Acvr2a_Tgfbr1","mouseconsensus"
"Gdf11","Acvr1b_Acvr2b","mouseconsensus"
"Gdf11","Acvr2b_Tgfbr1","mouseconsensus"
"Gdf11","Bmpr1b","mouseconsensus"
"Gdf11","Bmpr1a","mouseconsensus"
"Gdf11","Bmpr2","mouseconsensus"
"Gdf11","Antxr1","mouseconsensus"
"Bmp10","Acvr2a_Acvrl1","mouseconsensus"
"Bmp10","Acvr2b_Acvrl1","mouseconsensus"
"Bmp10","Acvrl1_Bmpr2","mouseconsensus"
"Bmp10","Bmpr1b","mouseconsensus"
"Bmp10","Ffar2","mouseconsensus"
"Bmp10","Bmpr1a","mouseconsensus"
"Bmp10","Gpr152","mouseconsensus"
"Uts2","Uts2r","mouseconsensus"
"Ntn1","Unc5c","mouseconsensus"
"Ntn1","Adora2b","mouseconsensus"
"Ntn1","Mcam","mouseconsensus"
"Ntn1","Dcc","mouseconsensus"
"Ntn1","Unc5d","mouseconsensus"
"Ntn1","Unc5a","mouseconsensus"
"Ntn1","Unc5b","mouseconsensus"
"Ntn1","Neo1","mouseconsensus"
"Cxcl14","Cxcr4","mouseconsensus"
"Fgf15","Fgfr1","mouseconsensus"
"Fgf15","Fgfr2","mouseconsensus"
