dataset	sample	condition	sample_alias	reference	original_label	reference_label	n_cells
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Unassigned	ABC	5
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Unassigned	Astrocyte	2
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Unassigned	Choroid	23
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Unassigned	Dendritic	31
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Unassigned	Endothelial	2945
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Unassigned	Fibroblast	2
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Unassigned	Lymphocyte	13
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Unassigned	Macrophage	11
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Unassigned	Microglia	732
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Unassigned	Monocytes	1
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Unassigned	Neuron/Other	4
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Unassigned	OEC	3
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Unassigned	OPC	1
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Unassigned	Smooth_muscle	26
GSE174574	GSM5319987	Sham	Sham1	whole_brain	Unassigned	Tanycyte	2
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Astrocyte	Astrocyte	318
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Astrocyte	Endothelial	46
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Astrocyte	Oligodendrocyte	1
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Choroid	Astrocyte	324
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Choroid	Endothelial	45
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Choroid	Fibroblast	3
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Choroid	Microglia/Macrophage	36
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Choroid	Mural	1
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Choroid	Oligodendrocyte	23
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Endothelial	Endothelial	1483
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Endothelial	Microglia/Macrophage	2
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Endothelial	Oligodendrocyte	1
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Ependymal	Astrocyte	56
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Ependymal	Endothelial	3
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Ependymal	Microglia/Macrophage	2
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Ependymal	Oligodendrocyte	1
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Erythroid	Astrocyte	1
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Erythroid	Endothelial	4
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Erythroid	Microglia/Macrophage	6
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Fibroblast	Astrocyte	4
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Fibroblast	Endothelial	1
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Fibroblast	Fibroblast	41
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Fibroblast	Microglia/Macrophage	2
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Fibroblast	Mural	3
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Lymphocyte	Endothelial	6
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Lymphocyte	Microglia/Macrophage	12
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Microglia	Astrocyte	1
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Microglia	Endothelial	18
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Microglia	Microglia/Macrophage	1272
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Myeloid	Endothelial	6
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Myeloid	Microglia/Macrophage	383
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Myeloid	Oligodendrocyte	1
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Neuron	Endothelial	1
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Neuron	Microglia/Macrophage	2
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Neuron	Neuron/Other	1
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Neutrophil	Astrocyte	2
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Neutrophil	Endothelial	63
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Neutrophil	Microglia/Macrophage	57
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Neutrophil	Oligodendrocyte	4
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	OPC	Endothelial	1
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Oligodendrocyte	Astrocyte	1
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Oligodendrocyte	Endothelial	44
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Oligodendrocyte	Microglia/Macrophage	2
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Oligodendrocyte	Oligodendrocyte	188
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Pericyte	Endothelial	33
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Pericyte	Microglia/Macrophage	4
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Pericyte	Mural	70
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Pericyte	Neuron/Other	1
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Pericyte	Oligodendrocyte	2
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Smooth_muscle	Astrocyte	2
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Smooth_muscle	Endothelial	21
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Smooth_muscle	Fibroblast	1
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Smooth_muscle	Microglia/Macrophage	8
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Smooth_muscle	Mural	335
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Smooth_muscle	Neuron/Other	1
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Smooth_muscle	Oligodendrocyte	2
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Unassigned	Astrocyte	31
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Unassigned	Endothelial	2875
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Unassigned	Fibroblast	4
GSE174574	GSM5319987	Sham	Sham1	cortex_hippocampus	Unassigned	Microglia/Macrophage	851
