dataset	sample	condition	sample_alias	reference	original_label	reference_label	n_cells
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Astrocyte	Microglia	5
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Astrocyte	Tanycyte	3
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Choroid	Astrocyte	5
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Choroid	Choroid	366
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Choroid	Endothelial	81
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Choroid	Ependymal	1
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Choroid	Fibroblast	1
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Choroid	Microglia	2
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Choroid	Neuron/Other	5
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Choroid	OEC	3
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Choroid	Smooth_muscle	2
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Endothelial	Endothelial	1666
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Endothelial	Fibroblast	1
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Ependymal	Astroependymal	2
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Ependymal	Choroid	13
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Ependymal	Dendritic	1
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Ependymal	Endothelial	5
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Ependymal	Ependymal	54
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Ependymal	Hypendymal	3
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Ependymal	Neuron/Other	1
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Ependymal	Tanycyte	7
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Erythroid	Endothelial	6
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Erythroid	Neuron/Other	1
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Fibroblast	ABC	14
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Fibroblast	Astrocyte	1
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Fibroblast	Endothelial	6
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Fibroblast	Fibroblast	71
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Fibroblast	Microglia	2
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Fibroblast	Pericyte	2
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Fibroblast	Smooth_muscle	4
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Lymphocyte	Endothelial	2
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Lymphocyte	Lymphocyte	27
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Lymphocyte	Microglia	1
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Microglia	Astrocyte	1
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Microglia	Endothelial	94
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Microglia	Microglia	1334
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Microglia	Neuron/Other	3
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Myeloid	Dendritic	74
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Myeloid	Endothelial	23
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Myeloid	Fibroblast	2
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Myeloid	Macrophage	289
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Myeloid	Microglia	71
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Myeloid	Monocytes	2
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Myeloid	Neuron/Other	4
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Neutrophil	Dendritic	6
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Neutrophil	Endothelial	75
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Neutrophil	Fibroblast	1
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Neutrophil	Microglia	1
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Neutrophil	Monocytes	42
GSE174574	GSM5319989	Sham	Sham3	whole_brain	OPC	OEC	1
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Oligodendrocyte	Endothelial	68
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Oligodendrocyte	Microglia	2
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Oligodendrocyte	Oligodendrocyte	182
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Pericyte	Astrocyte	1
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Pericyte	Choroid	1
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Pericyte	Dendritic	1
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Pericyte	Endothelial	41
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Pericyte	Fibroblast	6
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Pericyte	Microglia	3
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Pericyte	Oligodendrocyte	1
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Pericyte	Pericyte	54
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Pericyte	Smooth_muscle	31
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Smooth_muscle	Endothelial	48
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Smooth_muscle	Fibroblast	1
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Smooth_muscle	Macrophage	2
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Smooth_muscle	Microglia	4
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Smooth_muscle	Neuron/Other	1
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Smooth_muscle	Smooth_muscle	405
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Unassigned	ABC	3
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Unassigned	Astrocyte	7
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Unassigned	Choroid	13
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Unassigned	Dendritic	47
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Unassigned	Endothelial	3277
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Unassigned	Fibroblast	4
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Unassigned	Lymphocyte	15
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Unassigned	Macrophage	24
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Unassigned	Microglia	811
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Unassigned	Neuron/Other	6
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Unassigned	OEC	6
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Unassigned	Oligodendrocyte	1
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Unassigned	Pericyte	1
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Unassigned	Smooth_muscle	36
GSE174574	GSM5319989	Sham	Sham3	whole_brain	Unassigned	Tanycyte	6
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Astrocyte	Astrocyte	396
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Astrocyte	Endothelial	64
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Astrocyte	Microglia/Macrophage	2
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Astrocyte	Oligodendrocyte	1
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Choroid	Astrocyte	319
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Choroid	Endothelial	80
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Choroid	Fibroblast	1
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Choroid	Microglia/Macrophage	46
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Choroid	Mural	2
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Choroid	Neuron/Other	2
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Choroid	Oligodendrocyte	16
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Endothelial	Endothelial	1658
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Endothelial	Microglia/Macrophage	2
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Endothelial	Neuron/Other	1
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Endothelial	Oligodendrocyte	6
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Ependymal	Astrocyte	72
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Ependymal	Endothelial	6
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Ependymal	Microglia/Macrophage	5
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Ependymal	Mural	2
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Ependymal	Oligodendrocyte	1
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Erythroid	Astrocyte	1
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Erythroid	Endothelial	4
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Erythroid	Microglia/Macrophage	2
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Fibroblast	Astrocyte	1
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Fibroblast	Endothelial	6
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Fibroblast	Fibroblast	82
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Fibroblast	Microglia/Macrophage	4
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Fibroblast	Mural	7
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Lymphocyte	Endothelial	2
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Lymphocyte	Microglia/Macrophage	27
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Lymphocyte	Neuron/Other	1
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Microglia	Endothelial	27
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Microglia	Microglia/Macrophage	1404
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Microglia	Oligodendrocyte	1
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Myeloid	Astrocyte	1
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Myeloid	Endothelial	10
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Myeloid	Microglia/Macrophage	454
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Neutrophil	Astrocyte	3
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Neutrophil	Endothelial	72
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Neutrophil	Fibroblast	1
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Neutrophil	Microglia/Macrophage	44
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Neutrophil	Oligodendrocyte	5
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	OPC	Astrocyte	1
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Oligodendrocyte	Endothelial	64
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Oligodendrocyte	Microglia/Macrophage	5
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Oligodendrocyte	Neuron/Other	1
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Oligodendrocyte	Oligodendrocyte	182
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Pericyte	Endothelial	40
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Pericyte	Microglia/Macrophage	8
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Pericyte	Mural	90
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Pericyte	Neuron/Other	1
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Smooth_muscle	Astrocyte	2
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Smooth_muscle	Endothelial	45
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Smooth_muscle	Microglia/Macrophage	10
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Smooth_muscle	Mural	402
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Smooth_muscle	Neuron/Other	1
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Smooth_muscle	Oligodendrocyte	1
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Unassigned	Astrocyte	38
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Unassigned	Endothelial	3208
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Unassigned	Fibroblast	3
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Unassigned	Microglia/Macrophage	963
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Unassigned	Mural	36
GSE174574	GSM5319989	Sham	Sham3	cortex_hippocampus	Unassigned	Oligodendrocyte	9
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Astrocyte	Astrocyte	663
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Astrocyte	Astroependymal	5
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Astrocyte	Dendritic	6
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Astrocyte	Endothelial	94
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Astrocyte	Fibroblast	2
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Astrocyte	Macrophage	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Astrocyte	Microglia	3
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Astrocyte	Neuron/Other	5
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Astrocyte	OEC	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Astrocyte	Smooth_muscle	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Astrocyte	Tanycyte	3
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Choroid	Astrocyte	16
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Choroid	Astroependymal	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Choroid	Choroid	593
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Choroid	Dendritic	4
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Choroid	Endothelial	65
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Choroid	Fibroblast	10
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Choroid	Lymphocyte	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Choroid	Macrophage	3
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Choroid	Microglia	3
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Choroid	Neuron/Other	11
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Choroid	Pericyte	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Choroid	Smooth_muscle	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Endothelial	Astrocyte	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Endothelial	Dendritic	3
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Endothelial	Endothelial	1956
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Endothelial	Fibroblast	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Ependymal	Astrocyte	2
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Ependymal	Astroependymal	2
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Ependymal	Choroid	16
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Ependymal	Dendritic	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Ependymal	Endothelial	3
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Ependymal	Ependymal	48
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Ependymal	Hypendymal	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Ependymal	Macrophage	2
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Ependymal	Neuron/Other	2
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Ependymal	Tanycyte	3
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Erythroid	Astrocyte	4
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Erythroid	Astroependymal	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Erythroid	Choroid	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Erythroid	Dendritic	7
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Erythroid	Endothelial	84
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Erythroid	Fibroblast	4
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Erythroid	Microglia	9
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Erythroid	Oligodendrocyte	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Erythroid	Pericyte	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Erythroid	Smooth_muscle	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Fibroblast	ABC	16
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Fibroblast	Astrocyte	3
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Fibroblast	Dendritic	3
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Fibroblast	Endothelial	6
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Fibroblast	Fibroblast	77
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Fibroblast	Microglia	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Fibroblast	Neuron/Other	3
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Fibroblast	Pericyte	6
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Fibroblast	Smooth_muscle	4
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Lymphocyte	Astrocyte	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Lymphocyte	Dendritic	3
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Lymphocyte	Endothelial	10
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Lymphocyte	Lymphocyte	53
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Lymphocyte	Neuron/Other	3
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Microglia	ABC	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Microglia	Astrocyte	6
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Microglia	Dendritic	26
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Microglia	Endothelial	103
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Microglia	Macrophage	4
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Microglia	Microglia	990
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Microglia	Neuron/Other	16
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Microglia	OEC	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Myeloid	Astrocyte	30
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Myeloid	Astroependymal	2
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Myeloid	Dendritic	632
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Myeloid	Endothelial	61
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Myeloid	Fibroblast	2
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Myeloid	Macrophage	297
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Myeloid	Microglia	258
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Myeloid	Monocytes	8
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Myeloid	Neuron/Other	42
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Myeloid	Oligodendrocyte	4
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Myeloid	Pericyte	2
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Myeloid	Smooth_muscle	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Myeloid	Tanycyte	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Neuron	Endothelial	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Neuron	Neuron/Other	5
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Neutrophil	Astrocyte	10
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Neutrophil	Dendritic	19
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Neutrophil	Endothelial	68
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Neutrophil	Ependymal	2
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Neutrophil	Macrophage	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Neutrophil	Microglia	14
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Neutrophil	Monocytes	132
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Neutrophil	Neuron/Other	7
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Neutrophil	Oligodendrocyte	3
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Neutrophil	Pericyte	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	OPC	Endothelial	6
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	OPC	Microglia	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	OPC	Oligodendrocyte	2
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Oligodendrocyte	Astrocyte	4
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Oligodendrocyte	Astroependymal	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Oligodendrocyte	Dendritic	3
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Oligodendrocyte	Endothelial	56
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Oligodendrocyte	Lymphocyte	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Oligodendrocyte	Macrophage	2
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Oligodendrocyte	Microglia	6
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Oligodendrocyte	Neuron/Other	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Oligodendrocyte	OEC	3
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Oligodendrocyte	Oligodendrocyte	361
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Oligodendrocyte	Pericyte	2
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Pericyte	Astrocyte	5
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Pericyte	Astroependymal	2
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Pericyte	Dendritic	6
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Pericyte	Endothelial	66
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Pericyte	Fibroblast	15
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Pericyte	Macrophage	3
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Pericyte	Microglia	9
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Pericyte	Neuron/Other	13
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Pericyte	OEC	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Pericyte	Pericyte	171
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Pericyte	Smooth_muscle	45
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Smooth_muscle	Astrocyte	16
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Smooth_muscle	Choroid	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Smooth_muscle	Dendritic	13
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Smooth_muscle	Endothelial	52
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Smooth_muscle	Fibroblast	3
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Smooth_muscle	Macrophage	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Smooth_muscle	Microglia	6
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Smooth_muscle	Monocytes	1
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Smooth_muscle	Neuron/Other	10
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Smooth_muscle	Smooth_muscle	462
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Unassigned	ABC	4
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Unassigned	Astrocyte	88
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Unassigned	Astroependymal	2
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Unassigned	Choroid	64
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Unassigned	Dendritic	336
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Unassigned	Endothelial	2491
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Unassigned	Ependymal	2
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Unassigned	Fibroblast	14
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Unassigned	Lymphocyte	41
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Unassigned	Macrophage	38
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Unassigned	Microglia	567
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Unassigned	Monocytes	5
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Unassigned	Neuron/Other	57
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Unassigned	OEC	4
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Unassigned	Oligodendrocyte	10
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Unassigned	Pericyte	7
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Unassigned	Smooth_muscle	45
GSE174574	GSM5319990	MCAO	MCAO1	whole_brain	Unassigned	Tanycyte	6
GSE174574	GSM5319990	MCAO	MCAO1	cortex_hippocampus	Astrocyte	Astrocyte	725
GSE174574	GSM5319990	MCAO	MCAO1	cortex_hippocampus	Astrocyte	Endothelial	51
GSE174574	GSM5319990	MCAO	MCAO1	cortex_hippocampus	Astrocyte	Microglia/Macrophage	8
GSE174574	GSM5319990	MCAO	MCAO1	cortex_hippocampus	Choroid	Astrocyte	481
GSE174574	GSM5319990	MCAO	MCAO1	cortex_hippocampus	Choroid	Endothelial	50
GSE174574	GSM5319990	MCAO	MCAO1	cortex_hippocampus	Choroid	Microglia/Macrophage	144
GSE174574	GSM5319990	MCAO	MCAO1	cortex_hippocampus	Choroid	Mural	6
GSE174574	GSM5319990	MCAO	MCAO1	cortex_hippocampus	Choroid	Neuron/Other	2
GSE174574	GSM5319990	MCAO	MCAO1	cortex_hippocampus	Choroid	Oligodendrocyte	26
GSE174574	GSM5319990	MCAO	MCAO1	cortex_hippocampus	Endothelial	Astrocyte	4
GSE174574	GSM5319990	MCAO	MCAO1	cortex_hippocampus	Endothelial	Endothelial	1912
GSE174574	GSM5319990	MCAO	MCAO1	cortex_hippocampus	Endothelial	Microglia/Macrophage	37
GSE174574	GSM5319990	MCAO	MCAO1	cortex_hippocampus	Endothelial	Neuron/Other	6
GSE174574	GSM5319990	MCAO	MCAO1	cortex_hippocampus	Endothelial	Oligodendrocyte	2
