dataset	sample	condition	sample_alias	original_bucket	reference_bucket	n_cells	row_denominator	row_fraction
GSE174574	GSM5319991	MCAO	MCAO2	Astrocyte	Other assigned	33	746	0.04423592493297587
GSE174574	GSM5319991	MCAO	MCAO2	Astrocyte	Unassigned	0	746	0.0
GSE174574	GSM5319991	MCAO	MCAO2	Endothelial	Astrocyte	4	1843	0.002170374389582203
GSE174574	GSM5319991	MCAO	MCAO2	Endothelial	Endothelial	1834	1843	0.99511665762344
GSE174574	GSM5319991	MCAO	MCAO2	Endothelial	Other assigned	5	1843	0.0027129679869777536
GSE174574	GSM5319991	MCAO	MCAO2	Endothelial	Unassigned	0	1843	0.0
GSE174574	GSM5319991	MCAO	MCAO2	Other assigned	Astrocyte	105	5055	0.020771513353115726
GSE174574	GSM5319991	MCAO	MCAO2	Other assigned	Endothelial	560	5055	0.11078140454995054
GSE174574	GSM5319991	MCAO	MCAO2	Other assigned	Other assigned	4390	5055	0.8684470820969338
GSE174574	GSM5319991	MCAO	MCAO2	Other assigned	Unassigned	0	5055	0.0
GSE174574	GSM5319991	MCAO	MCAO2	Unassigned	Astrocyte	85	3676	0.023122959738846573
GSE174574	GSM5319991	MCAO	MCAO2	Unassigned	Endothelial	2495	3676	0.6787268770402611
GSE174574	GSM5319991	MCAO	MCAO2	Unassigned	Other assigned	1096	3676	0.2981501632208923
GSE174574	GSM5319991	MCAO	MCAO2	Unassigned	Unassigned	0	3676	0.0
GSE174574	GSM5319992	MCAO	MCAO3	Astrocyte	Astrocyte	447	514	0.8696498054474708
GSE174574	GSM5319992	MCAO	MCAO3	Astrocyte	Endothelial	39	514	0.07587548638132295
GSE174574	GSM5319992	MCAO	MCAO3	Astrocyte	Other assigned	28	514	0.054474708171206226
GSE174574	GSM5319992	MCAO	MCAO3	Astrocyte	Unassigned	0	514	0.0
GSE174574	GSM5319992	MCAO	MCAO3	Endothelial	Astrocyte	1	1552	0.0006443298969072165
GSE174574	GSM5319992	MCAO	MCAO3	Endothelial	Endothelial	1545	1552	0.9954896907216495
GSE174574	GSM5319992	MCAO	MCAO3	Endothelial	Other assigned	6	1552	0.003865979381443299
GSE174574	GSM5319992	MCAO	MCAO3	Endothelial	Unassigned	0	1552	0.0
GSE174574	GSM5319992	MCAO	MCAO3	Other assigned	Astrocyte	60	3727	0.016098738932116986
GSE174574	GSM5319992	MCAO	MCAO3	Other assigned	Endothelial	363	3727	0.09739737053930775
GSE174574	GSM5319992	MCAO	MCAO3	Other assigned	Other assigned	3304	3727	0.8865038905285753
GSE174574	GSM5319992	MCAO	MCAO3	Other assigned	Unassigned	0	3727	0.0
GSE174574	GSM5319992	MCAO	MCAO3	Unassigned	Astrocyte	56	2287	0.024486226497595104
GSE174574	GSM5319992	MCAO	MCAO3	Unassigned	Endothelial	1434	2287	0.6270222999562746
GSE174574	GSM5319992	MCAO	MCAO3	Unassigned	Other assigned	797	2287	0.3484914735461303
GSE174574	GSM5319992	MCAO	MCAO3	Unassigned	Unassigned	0	2287	0.0
GSE245386	GSM7841720	Sham	Sham1	Astrocyte	Astrocyte	530	748	0.7085561497326203
GSE245386	GSM7841720	Sham	Sham1	Astrocyte	Endothelial	53	748	0.07085561497326204
GSE245386	GSM7841720	Sham	Sham1	Astrocyte	Other assigned	165	748	0.22058823529411764
GSE245386	GSM7841720	Sham	Sham1	Astrocyte	Unassigned	0	748	0.0
GSE245386	GSM7841720	Sham	Sham1	Endothelial	Astrocyte	2	1958	0.0010214504596527069
GSE245386	GSM7841720	Sham	Sham1	Endothelial	Endothelial	1888	1958	0.9642492339121552
GSE245386	GSM7841720	Sham	Sham1	Endothelial	Other assigned	68	1958	0.03472931562819203
GSE245386	GSM7841720	Sham	Sham1	Endothelial	Unassigned	0	1958	0.0
GSE245386	GSM7841720	Sham	Sham1	Other assigned	Astrocyte	43	7429	0.005788127608022614
GSE245386	GSM7841720	Sham	Sham1	Other assigned	Endothelial	542	7429	0.07295732938484319
GSE245386	GSM7841720	Sham	Sham1	Other assigned	Other assigned	6844	7429	0.9212545430071342
GSE245386	GSM7841720	Sham	Sham1	Other assigned	Unassigned	0	7429	0.0
GSE245386	GSM7841720	Sham	Sham1	Unassigned	Astrocyte	94	5071	0.018536777755866693
GSE245386	GSM7841720	Sham	Sham1	Unassigned	Endothelial	909	5071	0.17925458489449814
GSE245386	GSM7841720	Sham	Sham1	Unassigned	Other assigned	4068	5071	0.8022086373496352
GSE245386	GSM7841720	Sham	Sham1	Unassigned	Unassigned	0	5071	0.0
GSE245386	GSM7841721	Sham	Sham2	Astrocyte	Astrocyte	499	537	0.9292364990689013
GSE245386	GSM7841721	Sham	Sham2	Astrocyte	Endothelial	6	537	0.0111731843575419
GSE245386	GSM7841721	Sham	Sham2	Astrocyte	Other assigned	32	537	0.0595903165735568
GSE245386	GSM7841721	Sham	Sham2	Astrocyte	Unassigned	0	537	0.0
GSE245386	GSM7841721	Sham	Sham2	Endothelial	Astrocyte	1	1860	0.0005376344086021505
GSE245386	GSM7841721	Sham	Sham2	Endothelial	Endothelial	1824	1860	0.9806451612903225
GSE245386	GSM7841721	Sham	Sham2	Endothelial	Other assigned	35	1860	0.01881720430107527
GSE245386	GSM7841721	Sham	Sham2	Endothelial	Unassigned	0	1860	0.0
GSE245386	GSM7841721	Sham	Sham2	Other assigned	Astrocyte	22	5108	0.004306969459671104
GSE245386	GSM7841721	Sham	Sham2	Other assigned	Endothelial	143	5108	0.027995301487862178
GSE245386	GSM7841721	Sham	Sham2	Other assigned	Other assigned	4943	5108	0.9676977290524668
GSE245386	GSM7841721	Sham	Sham2	Other assigned	Unassigned	0	5108	0.0
GSE245386	GSM7841721	Sham	Sham2	Unassigned	Astrocyte	27	2512	0.010748407643312101
GSE245386	GSM7841721	Sham	Sham2	Unassigned	Endothelial	329	2512	0.13097133757961785
GSE245386	GSM7841721	Sham	Sham2	Unassigned	Other assigned	2156	2512	0.85828025477707
GSE245386	GSM7841721	Sham	Sham2	Unassigned	Unassigned	0	2512	0.0
GSE245386	GSM7841722	Sham	Sham3	Astrocyte	Astrocyte	332	378	0.8783068783068783
GSE245386	GSM7841722	Sham	Sham3	Astrocyte	Endothelial	15	378	0.03968253968253968
GSE245386	GSM7841722	Sham	Sham3	Astrocyte	Other assigned	31	378	0.082010582010582
GSE245386	GSM7841722	Sham	Sham3	Astrocyte	Unassigned	0	378	0.0
GSE245386	GSM7841722	Sham	Sham3	Endothelial	Astrocyte	0	2238	0.0
GSE245386	GSM7841722	Sham	Sham3	Endothelial	Endothelial	2234	2238	0.998212689901698
GSE245386	GSM7841722	Sham	Sham3	Endothelial	Other assigned	4	2238	0.0017873100983020554
GSE245386	GSM7841722	Sham	Sham3	Endothelial	Unassigned	0	2238	0.0
GSE245386	GSM7841722	Sham	Sham3	Other assigned	Astrocyte	22	4463	0.004929419672865786
GSE245386	GSM7841722	Sham	Sham3	Other assigned	Endothelial	216	4463	0.04839793860631862
GSE245386	GSM7841722	Sham	Sham3	Other assigned	Other assigned	4225	4463	0.9466726417208156
GSE245386	GSM7841722	Sham	Sham3	Other assigned	Unassigned	0	4463	0.0
GSE245386	GSM7841722	Sham	Sham3	Unassigned	Astrocyte	17	2546	0.006677140612725845
GSE245386	GSM7841722	Sham	Sham3	Unassigned	Endothelial	541	2546	0.21249018067556952
GSE245386	GSM7841722	Sham	Sham3	Unassigned	Other assigned	1988	2546	0.7808326787117046
GSE245386	GSM7841722	Sham	Sham3	Unassigned	Unassigned	0	2546	0.0
GSE245386	GSM7841723	MCAO	MCAO1	Astrocyte	Astrocyte	240	288	0.8333333333333334
GSE245386	GSM7841723	MCAO	MCAO1	Astrocyte	Endothelial	17	288	0.059027777777777776
GSE245386	GSM7841723	MCAO	MCAO1	Astrocyte	Other assigned	31	288	0.1076388888888889
GSE245386	GSM7841723	MCAO	MCAO1	Astrocyte	Unassigned	0	288	0.0
GSE245386	GSM7841723	MCAO	MCAO1	Endothelial	Astrocyte	0	1996	0.0
GSE245386	GSM7841723	MCAO	MCAO1	Endothelial	Endothelial	1981	1996	0.9924849699398798
GSE245386	GSM7841723	MCAO	MCAO1	Endothelial	Other assigned	15	1996	0.00751503006012024
GSE245386	GSM7841723	MCAO	MCAO1	Endothelial	Unassigned	0	1996	0.0
GSE245386	GSM7841723	MCAO	MCAO1	Other assigned	Astrocyte	30	5009	0.005989219405070872
GSE245386	GSM7841723	MCAO	MCAO1	Other assigned	Endothelial	202	5009	0.04032741066081054
GSE245386	GSM7841723	MCAO	MCAO1	Other assigned	Other assigned	4777	5009	0.9536833699341186
GSE245386	GSM7841723	MCAO	MCAO1	Other assigned	Unassigned	0	5009	0.0
GSE245386	GSM7841723	MCAO	MCAO1	Unassigned	Astrocyte	22	2559	0.008597108245408363
GSE245386	GSM7841723	MCAO	MCAO1	Unassigned	Endothelial	545	2559	0.21297381789761627
GSE245386	GSM7841723	MCAO	MCAO1	Unassigned	Other assigned	1992	2559	0.7784290738569754
GSE245386	GSM7841723	MCAO	MCAO1	Unassigned	Unassigned	0	2559	0.0
GSE245386	GSM7841724	MCAO	MCAO2	Astrocyte	Astrocyte	660	716	0.9217877094972067
GSE245386	GSM7841724	MCAO	MCAO2	Astrocyte	Endothelial	10	716	0.013966480446927373
GSE245386	GSM7841724	MCAO	MCAO2	Astrocyte	Other assigned	46	716	0.06424581005586592
GSE245386	GSM7841724	MCAO	MCAO2	Astrocyte	Unassigned	0	716	0.0
GSE245386	GSM7841724	MCAO	MCAO2	Endothelial	Astrocyte	0	2147	0.0
GSE245386	GSM7841724	MCAO	MCAO2	Endothelial	Endothelial	2124	2147	0.9892873777363763
GSE245386	GSM7841724	MCAO	MCAO2	Endothelial	Other assigned	23	2147	0.01071262226362366
GSE245386	GSM7841724	MCAO	MCAO2	Endothelial	Unassigned	0	2147	0.0
GSE245386	GSM7841724	MCAO	MCAO2	Other assigned	Astrocyte	14	6773	0.002067030857817806
GSE245386	GSM7841724	MCAO	MCAO2	Other assigned	Endothelial	116	6773	0.01712682710763325
GSE245386	GSM7841724	MCAO	MCAO2	Other assigned	Other assigned	6643	6773	0.980806142034549
GSE245386	GSM7841724	MCAO	MCAO2	Other assigned	Unassigned	0	6773	0.0
GSE245386	GSM7841724	MCAO	MCAO2	Unassigned	Astrocyte	30	2686	0.011169024571854059
GSE245386	GSM7841724	MCAO	MCAO2	Unassigned	Endothelial	464	2686	0.1727475800446761
GSE245386	GSM7841724	MCAO	MCAO2	Unassigned	Other assigned	2192	2686	0.8160833953834699
GSE245386	GSM7841724	MCAO	MCAO2	Unassigned	Unassigned	0	2686	0.0
