dataset_discovery	config_discovery	sender	receiver	ligand	receptor	eligible_05_discovery	eligible_10_discovery	eligible_20_discovery	mean_control_score_discovery	mean_stroke_score_discovery	score_difference_discovery	welch_p_discovery	exact_permutation_p_discovery	ligand_mean_log2fc_discovery	receptor_mean_log2fc_discovery	ligand_min_padj_discovery	receptor_min_padj_discovery	ligand_any_changed_discovery	receptor_any_changed_discovery	candidate_changed_component_discovery	ligand_min_detection_stroke_discovery	receptor_min_detection_stroke_discovery	welch_fdr_discovery	welch_fdr_eligible_05_discovery	welch_fdr_eligible_10_discovery	welch_fdr_eligible_20_discovery	dataset_validation	config_validation	eligible_05_validation	eligible_10_validation	eligible_20_validation	mean_control_score_validation	mean_stroke_score_validation	score_difference_validation	welch_p_validation	exact_permutation_p_validation	ligand_mean_log2fc_validation	receptor_mean_log2fc_validation	ligand_min_padj_validation	receptor_min_padj_validation	ligand_any_changed_validation	receptor_any_changed_validation	candidate_changed_component_validation	ligand_min_detection_stroke_validation	receptor_min_detection_stroke_validation	welch_fdr_validation	welch_fdr_eligible_05_validation	welch_fdr_eligible_10_validation	welch_fdr_eligible_20_validation	same_direction	both_eligible10	discovery_selected
GSE174574	primary	Astrocyte	Endothelial	Adam15	Itgb1	True	True	True	0.3814969522154746	0.4935494065186268	0.1120524543031522	0.0069872415876712	0.1	0.3896722491351834	0.5414646013920811	0.1524416428803239	9.040428588134037e-14	False	True	True	0.2140756728829377	0.4956281982747497		0.022575693556731	0.023483911113611	0.0212412144265207	GSE245386	primary	True	True	False	0.3871253689012687	0.5107417100890624	0.1236163411877936	0.288069766673439	0.1	0.9738054667440268	0.014211423009056	0.0793474437951861	0.964922086583359	False	False	False	0.2387492240844196	0.8029422841957786		0.5923180496463858	0.5345207022022723		True	True	True
GSE174574	primary	Astrocyte	Endothelial	Agrn	Dag1	True	True	False	0.2175026315958479	0.1655950609297558	-0.0519075706660921	0.0135206262189995	0.1	-0.8707004823257245	-0.0846435106174932	0.0001840851372087	0.6778352120828006	True	False	True	0.1181166943676313	0.1250494645127831		0.0366710509680779	0.0368005014381792		GSE245386	primary	True	True	False	0.2505900663353759	0.2571151092978231	0.0065250429624472	0.8329148377717605	0.9	-0.1767620534513632	0.0592527587287809	0.8880011108556186	0.8331714128606742	False	False	False	0.2047059279950341	0.4025163741549237		0.9313835585169904	0.9214742726681956		False	True	True
GSE174574	primary	Astrocyte	Endothelial	Agrn	Itgb1	True	True	False	0.4104004857407702	0.3586909178544744	-0.0517095678862958	0.1384724205499718	0.2	-0.8707004823257245	0.5414646013920811	0.0001840851372087	9.040428588134037e-14	True	True	True	0.1181166943676313	0.4956281982747497		0.2063403262740686	0.2088625676628741		GSE245386	primary	True	True	False	0.4711619660685724	0.4748465311790202	0.0036845651104477	0.9520891304439424	0.9	-0.1767620534513632	0.014211423009056	0.8880011108556186	0.964922086583359	False	False	False	0.2047059279950341	0.8029422841957786		0.9794337268796692	0.9698551561301972		False	True	True
GSE174574	primary	Astrocyte	Endothelial	Alcam	Nrp1	True	True	True	0.5661649920955379	0.4691288082345604	-0.0970361838609775	0.0077495599455872	0.1	-0.159540293691636	-0.4097811644891893	0.5992531397929839	1.41880585782501e-07	False	False	False	0.2736061131455429	0.3369110569839487		0.024334509275938	0.0251396274423478	0.0218936473080892	GSE245386	primary	True	True	True	0.990227009692869	0.602261076818681	-0.387965932874188	0.0488549618367635	0.1	-0.3080584823987852	-1.5984479454886489	0.6271290757876413	5.659684221239587e-30	False	True	True	0.6054275294847921	0.405414461900046		0.37017028776317	0.3433674204564986	0.319083969496362	True	True	False
GSE174574	primary	Astrocyte	Endothelial	Angptl4	Cdh5	True	True	True	0.4972343698941145	0.7616966715140325	0.2644623016199179	0.0114622129490389	0.1	1.6189270348513929	-0.1189042081546621	2.9432711780218398e-18	0.1564576146846215	True	False	True	0.3227889905714531	0.6647419143362489		0.0331130596305568	0.0337343177849762	0.030565901197437	GSE245386	primary	True	True	False	0.320835977986167	0.5274609424453772	0.2066249644592102	0.101339424104905	0.1	1.472703015620083	-0.0387128212250861	0.0036030801871264	0.9117445138649614	True	False	True	0.1900993171942892	0.8358867245436379		0.443641478859251	0.4015844199901822		True	True	True
GSE174574	primary	Astrocyte	Endothelial	Angptl4	Itga5_Itgb1	True	True	False	0.1092508363184404	0.283963482947589	0.1747126466291486	0.000994988747586	0.1	1.6189270348513929	1.021534945288879	2.9432711780218398e-18	2.091897734038406e-18	True	True	True	0.3227889905714531	0.1184583715053416		0.0072837040357266	0.0075038734713777		GSE245386	primary	True	True	False	0.1141858007817461	0.2202701609077507	0.1060843601260046	0.1917679637255984	0.1	1.472703015620083	0.2074372413479165	0.0036030801871264	0.1148195076493986	True	False	True	0.1900993171942892	0.2666876603696447		0.5181781295776231	0.4684168294281012		True	True	True
GSE174574	primary	Astrocyte	Endothelial	Angptl4	Sdc3	True	True	False	0.200180973835175	0.3457629262610989	0.1455819524259238	0.002470123448549	0.1	1.6189270348513929	0.1528004845409311	2.9432711780218398e-18	0.3770555151380085	True	False	True	0.3227889905714531	0.160640567803955		0.0120473588302872	0.0125941505404896		GSE245386	primary	True	True	False	0.1347294333701847	0.3060921727602559	0.1713627393900711	0.0084363318266034	0.1	1.472703015620083	1.015409807792624	0.0036030801871264	1.6639713244605188e-13	True	True	True	0.1900993171942892	0.4738358878912926		0.2534812509631816	0.216457298800228		True	True	True
GSE174574	primary	Astrocyte	Endothelial	Angptl4	Tie1	True	True	True	0.3349458139508381	0.5056445755335189	0.1706987615826808	0.0155933466954532	0.1	1.6189270348513929	-0.2472190342454389	2.9432711780218398e-18	0.0136531050467821	True	False	True	0.3227889905714531	0.3323796499178362		0.0408542747810454	0.0408669743284661	0.0376497143870793	GSE245386	primary	True	True	False	0.2389513878569658	0.3244467829153135	0.0854953950583476	0.1383558141497349	0.2	1.472703015620083	-0.7702766165852072	0.0036030801871264	7.549600110612319e-10	True	True	True	0.1900993171942892	0.5032969992150113		0.4677308434296738	0.4166499439359618		True	True	True
GSE174574	primary	Astrocyte	Endothelial	Apoe	Abca1	True	True	False	0.7924762442550896	0.8634280022687483	0.0709517580136587	0.0381164256879253	0.1	-0.1254703970346976	0.1977982734657863	0.3199216205539684	0.3204954367275772	False	False	False	0.9987244897959184	0.1024572155310338		0.0783100407866367	0.0788465491373084		GSE245386	primary	True	True	True	1.3600061793970095	1.2414960956503085	-0.1185100837467012	0.3306589274400725	0.4	-0.1192856063455494	-0.2522090726579253	0.9123685072587449	0.2037661322393934	False	False	False	0.97669343575419	0.3842419351978293		0.6227448802846554	0.5640490123935252	0.5533782271070203	False	True	False
GSE174574	primary	Astrocyte	Endothelial	Apoe	Lrp8	True	True	False	1.075692580279281	1.0466100012340769	-0.0290825790452042	0.23589807769975	0.3	-0.1254703970346976	-0.174448379515473	0.3199216205539684	0.2763579430610477	False	False	False	0.9987244897959184	0.137959148964585		0.3109565569678523	0.3128025792209139		GSE245386	primary	True	True	True	1.5181698887679935	1.397817411428214	-0.1203524773397797	0.5962212547241015	0.5	-0.1192856063455494	-0.2597185013921042	0.9123685072587449	0.3218589602566714	False	False	False	0.97669343575419	0.4402098328002068		0.7952453307137213	0.7686950988345553	0.7668322599220752	True	True	False
