dataset	sample	condition	config	cell_type	n_cells	total_target_counts
GSE245386	GSM7841720	Sham	singlet	Astrocyte	748	3693507
GSE245386	GSM7841720	Sham	singlet	Endothelial	1958	15113629
GSE245386	GSM7841720	Sham	singlet	Pericyte	487	2249972
GSE245386	GSM7841720	Sham	reference_singlet	Astrocyte	404	2802576
GSE245386	GSM7841720	Sham	reference_singlet	Endothelial	1712	14331998
GSE245386	GSM7841720	Sham	reference_singlet	Pericyte	221	1077740
GSE245386	GSM7841720	Sham	reference_only	Astrocyte	433	2871202
GSE245386	GSM7841720	Sham	reference_only	Endothelial	2272	16481413
GSE245386	GSM7841720	Sham	reference_only	Pericyte	235	1106599
GSE245386	GSM7841721	Sham	singlet	Astrocyte	522	4011675
GSE245386	GSM7841721	Sham	singlet	Endothelial	1824	15049663
GSE245386	GSM7841721	Sham	singlet	Pericyte	314	1529679
GSE245386	GSM7841721	Sham	reference_singlet	Astrocyte	443	3710234
GSE245386	GSM7841721	Sham	reference_singlet	Endothelial	1765	14862578
GSE245386	GSM7841721	Sham	reference_singlet	Pericyte	229	1162790
GSE245386	GSM7841721	Sham	reference_only	Astrocyte	460	3751358
GSE245386	GSM7841721	Sham	reference_only	Endothelial	2010	15780311
GSE245386	GSM7841721	Sham	reference_only	Pericyte	235	1197046
GSE245386	GSM7841722	Sham	singlet	Astrocyte	367	2734759
GSE245386	GSM7841722	Sham	singlet	Endothelial	2222	19974741
GSE245386	GSM7841722	Sham	singlet	Pericyte	283	1411742
GSE245386	GSM7841722	Sham	reference_singlet	Astrocyte	287	2455290
GSE245386	GSM7841722	Sham	reference_singlet	Endothelial	2141	19767628
GSE245386	GSM7841722	Sham	reference_singlet	Pericyte	194	980813
GSE245386	GSM7841722	Sham	reference_only	Astrocyte	296	2487211
GSE245386	GSM7841722	Sham	reference_only	Endothelial	2566	21738742
GSE245386	GSM7841722	Sham	reference_only	Pericyte	201	1019349
GSE245386	GSM7841723	MCAO	singlet	Astrocyte	280	2220103
GSE245386	GSM7841723	MCAO	singlet	Endothelial	1975	20454873
GSE245386	GSM7841723	MCAO	singlet	Pericyte	406	2439756
GSE245386	GSM7841723	MCAO	reference_singlet	Astrocyte	179	1829634
GSE245386	GSM7841723	MCAO	reference_singlet	Endothelial	1837	20086597
GSE245386	GSM7841723	MCAO	reference_singlet	Pericyte	306	1726187
GSE245386	GSM7841723	MCAO	reference_only	Astrocyte	190	1873113
GSE245386	GSM7841723	MCAO	reference_only	Endothelial	2191	21931952
GSE245386	GSM7841723	MCAO	reference_only	Pericyte	317	1765683
GSE245386	GSM7841724	MCAO	singlet	Astrocyte	686	5702770
GSE245386	GSM7841724	MCAO	singlet	Endothelial	2109	16079032
GSE245386	GSM7841724	MCAO	singlet	Pericyte	632	2753872
GSE245386	GSM7841724	MCAO	reference_singlet	Astrocyte	583	5191766
GSE245386	GSM7841724	MCAO	reference_singlet	Endothelial	1983	15788171
GSE245386	GSM7841724	MCAO	reference_singlet	Pericyte	560	2523359
GSE245386	GSM7841724	MCAO	reference_only	Astrocyte	595	5216946
GSE245386	GSM7841724	MCAO	reference_only	Endothelial	2272	16770640
GSE245386	GSM7841724	MCAO	reference_only	Pericyte	571	2572428
