elapsed_seconds	rss_bytes
0.03	4423680
1.03	150470656
2.05	258011136
3.06	435392512
4.08	458637312
5.08	578740224
6.11	716414976
7.11	894148608
8.12	1017462784
9.14	1041469440
10.16	1048629248
11.16	1023524864
12.17	1023332352
13.19	1084575744
14.19	1083400192
15.2	1096290304
16.22	1094025216
17.23	985669632
18.25	1073590272
19.27	1021501440
20.28	1034305536
21.3	994992128
22.31	1040572416
23.33	1031962624
24.34	1049743360
25.34	1082146816
26.36	1092476928
27.38	1089191936
28.39	1087983616
29.41	952352768
30.41	969043968
31.42	1030172672
32.42	996016128
33.44	1046118400
34.45	1059291136
35.45	1021161472
36.47	999976960
37.48	999350272
38.48	1052672000
39.5	1020567552
40.52	1083514880
41.53	1093402624
42.55	1093144576
43.56	1106468864
44.56	1042931712
45.58	1097564160
46.59	1096585216
47.61	1087848448
48.62	1088638976
49.64	1064353792
50.66	1001226240
51.67	1001017344
52.69	951779328
53.7	948817920
54.72	946860032
55.73	944418816
56.75	941965312
57.77	941277184
58.78	940191744
59.8	930811904
60.81	836874240
61.83	858808320
62.86	878014464
63.88	931655680
64.89	928722944
65.89	814252032
66.91	828575744
67.92	884809728
68.94	842768384
69.94	903069696
70.95	907149312
71.97	930369536
72.97	927780864
73.98	776187904
75.0	833826816
76.02	888115200
77.03	870010880
78.05	907489280
79.05	907067392
80.06	886251520
81.08	943210496
82.09	915279872
83.11	1046339584
84.12	884174848
85.14	851333120
86.16	951762944
87.16	1032327168
88.17	831795200
89.19	1029181440
90.19	829808640
91.2	940621824
92.22	849096704
93.22	975572992
94.23	1042042880
95.25	1048137728
96.27	1045307392
97.28	1064550400
98.3	1063694336
99.31	1056698368
100.33	1039843328
101.33	1022386176
102.34	1048612864
103.36	882593792
104.36	940490752
105.38	947802112
106.39	744370176
107.41	742146048
108.41	807473152
