config	sender	receiver	ligand	receptor
primary	Endothelial	Astrocyte	B2m	Tfrc
primary	Endothelial	Astrocyte	Bsg	Slc16a1
primary	Endothelial	Astrocyte	C1qb	C1qbp
primary	Endothelial	Astrocyte	C1qb	Lrp1
primary	Endothelial	Astrocyte	Calr	Itgav
primary	Endothelial	Astrocyte	Calr	Lrp1
primary	Endothelial	Astrocyte	Cd47	Sirpa
primary	Endothelial	Astrocyte	Col4a1	Cd47
primary	Endothelial	Astrocyte	Col4a1	Itgav_Itgb8
primary	Endothelial	Astrocyte	Col4a2	Itgav_Itgb8
primary	Endothelial	Astrocyte	Col4a2	Itgb5
primary	Endothelial	Astrocyte	Cxcl12	Itgav
primary	Endothelial	Astrocyte	Cxcl12	Itgb1
primary	Endothelial	Astrocyte	Cxcl12	Sdc4
primary	Endothelial	Astrocyte	Dll4	Notch1
primary	Endothelial	Astrocyte	Dll4	Notch2
primary	Endothelial	Astrocyte	Edn1	Ednrb
primary	Endothelial	Astrocyte	Efna1	Epha5
primary	Endothelial	Astrocyte	Entpd1	Adora2b
primary	Endothelial	Astrocyte	Fam3c	Lamp1
primary	Endothelial	Astrocyte	Fn1	Itga6
primary	Endothelial	Astrocyte	Fn1	Itgav_Itgb1
primary	Endothelial	Astrocyte	Fn1	Itgav_Itgb8
primary	Endothelial	Astrocyte	Fn1	Sdc2
primary	Endothelial	Astrocyte	Gas6	Axl
primary	Endothelial	Astrocyte	Gas6	Mertk
primary	Endothelial	Astrocyte	Gnai2	Ednrb
primary	Endothelial	Astrocyte	Gnai2	Igf1r
primary	Endothelial	Astrocyte	Gnai2	S1pr1
primary	Endothelial	Astrocyte	Gpi1	Amfr
primary	Endothelial	Astrocyte	Grn	Tnfrsf1a
primary	Endothelial	Astrocyte	H2-K1	Aplp2
primary	Endothelial	Astrocyte	Hbegf	Cd9
primary	Endothelial	Astrocyte	Hsp90b1	Lrp1
primary	Endothelial	Astrocyte	Jam2	Itgav_Itgb1
primary	Endothelial	Astrocyte	Lamb2	Dag1
primary	Endothelial	Astrocyte	Lamb2	Itga6_Itgb1
primary	Endothelial	Astrocyte	Lamb2	Itgav_Itgb8
primary	Endothelial	Astrocyte	Lamb2	Rpsa
primary	Endothelial	Astrocyte	Lgals3bp	Itgb1
primary	Endothelial	Astrocyte	Lman1	Mcfd2
primary	Endothelial	Astrocyte	Lrpap1	Lrp1
primary	Endothelial	Astrocyte	Mfge8	Itgav
primary	Endothelial	Astrocyte	Mfge8	Itgb5
primary	Endothelial	Astrocyte	Mfge8	Pdgfrb
primary	Endothelial	Astrocyte	Mfng	Notch1
primary	Endothelial	Astrocyte	Mfng	Notch2
primary	Endothelial	Astrocyte	Nampt	Insr
primary	Endothelial	Astrocyte	Pdap1	Pdgfrb
primary	Endothelial	Astrocyte	Pdgfb	Itgav
primary	Endothelial	Astrocyte	Pdgfb	Lrp1
primary	Endothelial	Astrocyte	Pdgfb	S1pr1
primary	Endothelial	Astrocyte	Plat	Lrp1
primary	Endothelial	Astrocyte	Pltp	Abca1
primary	Endothelial	Astrocyte	Pros1	Axl
primary	Endothelial	Astrocyte	Pros1	Mertk
primary	Endothelial	Astrocyte	Psap	Gpr37
primary	Endothelial	Astrocyte	Psap	Gpr37l1
primary	Endothelial	Astrocyte	Psap	Lrp1
primary	Endothelial	Astrocyte	Ptn	Cdh10
primary	Endothelial	Astrocyte	Ptn	Ncl
primary	Endothelial	Astrocyte	Ptn	Ptprb
primary	Endothelial	Astrocyte	Ptn	Ptprs
primary	Endothelial	Astrocyte	Ptn	Ptprz1
primary	Endothelial	Astrocyte	Ptn	Sdc2
primary	Endothelial	Astrocyte	Ptn	Sdc4
primary	Endothelial	Astrocyte	Rtn4	Tnfrsf19
primary	Endothelial	Astrocyte	Selplg	Esam
primary	Endothelial	Astrocyte	Serpine2	Lrp1
primary	Endothelial	Astrocyte	Sparc	Fgfr1
primary	Endothelial	Astrocyte	Sptan1	Ptpra
primary	Endothelial	Astrocyte	Tgfb1	Itgb1
primary	Endothelial	Astrocyte	Tgfb1	Itgb5
primary	Endothelial	Astrocyte	Tgfb1	Itgb8
primary	Endothelial	Astrocyte	Tgfb1	Sdc2
primary	Endothelial	Astrocyte	Tgm2	Itgb1
primary	Endothelial	Astrocyte	Tgm2	Sdc4
primary	Endothelial	Astrocyte	Timp3	Ddr1
primary	Endothelial	Astrocyte	Tln1	Itgb5
primary	Endothelial	Astrocyte	Trf	Tfrc
primary	Endothelial	Astrocyte	Vwf	Itgb1
primary	Endothelial	Astrocyte	Vwf	Lrp1
primary	Endothelial	Astrocyte	Vwf	Sirpa
primary	Endothelial	Astrocyte	Ybx1	Notch1
reference_singlet	Astrocyte	Endothelial	Adam15	Itgb1
reference_singlet	Astrocyte	Endothelial	Alcam	Nrp1
reference_singlet	Astrocyte	Endothelial	Apoe	Lrp8
reference_singlet	Astrocyte	Endothelial	Apoe	Lsr
reference_singlet	Astrocyte	Endothelial	Apoe	Scarb1
reference_singlet	Astrocyte	Endothelial	Apoe	Trem2
reference_singlet	Astrocyte	Endothelial	App	Aplp2
reference_singlet	Astrocyte	Endothelial	App	Lrp10
reference_singlet	Astrocyte	Endothelial	App	Ncstn
reference_singlet	Astrocyte	Endothelial	App	Rpsa
reference_singlet	Astrocyte	Endothelial	App	Tspan12
reference_singlet	Astrocyte	Endothelial	Arf1	Insr
reference_singlet	Astrocyte	Endothelial	B2m	Tfrc
reference_singlet	Astrocyte	Endothelial	Bsg	Slc16a1
reference_singlet	Astrocyte	Endothelial	C1qa	Cd93
reference_singlet	Astrocyte	Endothelial	C1qb	C1qbp
reference_singlet	Astrocyte	Endothelial	Calr	Scarf1
reference_singlet	Astrocyte	Endothelial	Fbln1	Itgb1
reference_singlet	Astrocyte	Endothelial	Gnai2	Cav1
