count_source	config	dataset	sample	universe	metric	n_edges	n_rank_one	rank_one_fraction	n_edges_in_exact_tie_groups	largest_exact_tie_group
decontx	reference_singlet	GSE174574	GSM5319988	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	174	25	0.14367816091954022	27	25
decontx	reference_singlet	GSE174574	GSM5319989	all_reported_target_edges	magnitude_rank	272	49	0.1801470588235294	53	49
decontx	reference_singlet	GSE174574	GSM5319989	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	272	79	0.29044117647058826	81	79
decontx	reference_singlet	GSE174574	GSM5319989	fixed_common_target_edges	magnitude_rank	174	21	0.1206896551724138	23	21
decontx	reference_singlet	GSE174574	GSM5319989	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	174	26	0.14942528735632185	28	26
decontx	reference_singlet	GSE174574	GSM5319990	all_reported_target_edges	magnitude_rank	327	64	0.19571865443425077	66	64
decontx	reference_singlet	GSE174574	GSM5319990	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	327	93	0.28440366972477066	95	93
decontx	reference_singlet	GSE174574	GSM5319990	fixed_common_target_edges	magnitude_rank	174	19	0.10919540229885058	21	19
decontx	reference_singlet	GSE174574	GSM5319990	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	174	21	0.1206896551724138	23	21
decontx	reference_singlet	GSE174574	GSM5319991	all_reported_target_edges	magnitude_rank	278	54	0.19424460431654678	56	54
decontx	reference_singlet	GSE174574	GSM5319991	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	278	81	0.29136690647482016	83	81
decontx	reference_singlet	GSE174574	GSM5319991	fixed_common_target_edges	magnitude_rank	174	25	0.14367816091954022	27	25
decontx	reference_singlet	GSE174574	GSM5319991	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	174	28	0.16091954022988506	30	28
decontx	reference_singlet	GSE174574	GSM5319992	all_reported_target_edges	magnitude_rank	365	65	0.1780821917808219	67	65
decontx	reference_singlet	GSE174574	GSM5319992	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	365	106	0.29041095890410956	108	106
decontx	reference_singlet	GSE174574	GSM5319992	fixed_common_target_edges	magnitude_rank	174	15	0.08620689655172414	17	15
decontx	reference_singlet	GSE174574	GSM5319992	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	174	14	0.08045977011494253	16	14
decontx	reference_singlet	GSE245386	GSM7841720	all_reported_target_edges	magnitude_rank	619	88	0.1421647819063005	107	88
decontx	reference_singlet	GSE245386	GSM7841720	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	619	184	0.2972536348949919	199	184
decontx	reference_singlet	GSE245386	GSM7841720	fixed_common_target_edges	magnitude_rank	174	9	0.05172413793103448	13	9
decontx	reference_singlet	GSE245386	GSM7841720	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	174	12	0.06896551724137931	16	12
decontx	reference_singlet	GSE245386	GSM7841721	all_reported_target_edges	magnitude_rank	654	106	0.1620795107033639	136	106
decontx	reference_singlet	GSE245386	GSM7841721	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	654	184	0.28134556574923547	200	184
decontx	reference_singlet	GSE245386	GSM7841721	fixed_common_target_edges	magnitude_rank	174	6	0.034482758620689655	8	6
decontx	reference_singlet	GSE245386	GSM7841721	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	174	11	0.06321839080459771	13	11
decontx	reference_singlet	GSE245386	GSM7841722	all_reported_target_edges	magnitude_rank	670	116	0.17313432835820897	142	116
decontx	reference_singlet	GSE245386	GSM7841722	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	670	186	0.27761194029850744	200	186
decontx	reference_singlet	GSE245386	GSM7841722	fixed_common_target_edges	magnitude_rank	174	7	0.040229885057471264	9	7
decontx	reference_singlet	GSE245386	GSM7841722	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	174	12	0.06896551724137931	14	12
decontx	reference_singlet	GSE245386	GSM7841723	all_reported_target_edges	magnitude_rank	810	143	0.1765432098765432	172	143
decontx	reference_singlet	GSE245386	GSM7841723	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	810	241	0.2975308641975309	261	241
decontx	reference_singlet	GSE245386	GSM7841723	fixed_common_target_edges	magnitude_rank	174	9	0.05172413793103448	11	9
decontx	reference_singlet	GSE245386	GSM7841723	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	174	6	0.034482758620689655	8	6
decontx	reference_singlet	GSE245386	GSM7841724	all_reported_target_edges	magnitude_rank	682	121	0.1774193548387097	151	121
decontx	reference_singlet	GSE245386	GSM7841724	all_reported_target_edges	diagnostic_unique_column_magnitude_rank	682	229	0.3357771260997067	241	229
decontx	reference_singlet	GSE245386	GSM7841724	fixed_common_target_edges	magnitude_rank	174	8	0.04597701149425287	10	8
decontx	reference_singlet	GSE245386	GSM7841724	fixed_common_target_edges	diagnostic_unique_column_magnitude_rank	174	14	0.08045977011494253	16	14
