analysis	config	metric	statistic	randomized_cohort	fixed_observed_cohort	observed	null_mean	null_median	null_q025	null_q975	n_conditional_allocations	n_at_least_observed	conditional_unadjusted_upper_tail_p	minimum_attainable_upper_tail_p	joint_n_allocations	joint_exact_upper_tail_p	joint_holm_adjusted_p	original_joint_test_family	observed_n_candidates	conditional_n_candidates_min	conditional_n_candidates_max	conditional_p_adjusted_for_multiple_testing
fixed_common	primary	lrscore	same_direction_all_fraction	GSE245386	GSE174574	0.7647058823529411	0.5096256684491978	0.4679144385026738	0.23596256684491976	0.7622994652406416	10	1	0.1	0.1	200	0.01	0.25	A_fixed_common_metrics	187	187	187	False
fixed_common	primary	lrscore	same_direction_nonzero_fraction	GSE245386	GSE174574	0.7647058823529411	0.5096256684491978	0.4679144385026738	0.23596256684491976	0.7622994652406416	10	1	0.1	0.1	200	0.01	0.25	A_fixed_common_metrics	187	187	187	False
fixed_common	primary	lrscore	spearman_rho	GSE245386	GSE174574	0.6654099014988507	0.020810489661278984	-0.0736285768029105	-0.6385833176581776	0.663450247055747	10	1	0.1	0.1	200	0.005	0.15	A_fixed_common_metrics	187	187	187	False
fixed_common	primary	magnitude_priority	same_direction_all_fraction	GSE245386	GSE174574	0.5614973262032086	0.4855614973262032	0.4679144385026738	0.3720588235294117	0.6155080213903743	10	3	0.3	0.1	200	0.145	0.75	A_fixed_common_metrics	187	187	187	False
fixed_common	primary	magnitude_priority	same_direction_nonzero_fraction	GSE245386	GSE174574	0.5932203389830508	0.5129943502824859	0.49435028248587576	0.39307909604519775	0.6502824858757063	10	3	0.3	0.1	200	0.145	0.75	A_fixed_common_metrics	187	187	187	False
fixed_common	primary	magnitude_priority	spearman_rho	GSE245386	GSE174574	0.2282371264612325	0.020872758569689145	-0.0025840208265078997	-0.2623182139296565	0.3480942163405464	10	3	0.3	0.1	200	0.125	0.75	A_fixed_common_metrics	187	187	187	False
fixed_common	reference_singlet	custom_score	same_direction_all_fraction	GSE174574	GSE245386	0.7298850574712644	0.5	0.5	0.2728448275862068	0.7271551724137931	20	1	0.05	0.05	200	0.02	0.3	A_fixed_common_metrics	174	174	174	False
fixed_common	reference_singlet	custom_score	same_direction_nonzero_fraction	GSE174574	GSE245386	0.7298850574712644	0.5	0.5	0.2728448275862068	0.7271551724137931	20	1	0.05	0.05	200	0.02	0.3	A_fixed_common_metrics	174	174	174	False
fixed_common	reference_singlet	custom_score	spearman_rho	GSE174574	GSE245386	0.6945034818798734	1.1102230246251566e-17	0.0	-0.6639716551970787	0.6639716551970786	20	1	0.05	0.05	200	0.005	0.15	A_fixed_common_metrics	174	174	174	False
fixed_common	reference_singlet	lr_means	same_direction_all_fraction	GSE174574	GSE245386	0.7816091954022989	0.5	0.5	0.2347701149425287	0.7652298850574712	20	1	0.05	0.05	200	0.02	0.3	A_fixed_common_metrics	174	174	174	False
