dataset	sample	label_source	label	n_cells	mean_estimated_contamination	median_estimated_contamination	q25_estimated_contamination	q75_estimated_contamination	q95_estimated_contamination	raw_total	corrected_total	removed_total_fraction
GSE174574	GSM5319987	whole_brain_broad	ABC	17	0.027821032903857897	0.0228050279440806	0.0165964208837113	0.0327648437474248	0.054942133783213845	84696.0	82559.84826236809	0.02522140051043631
GSE174574	GSM5319987	whole_brain_broad	Astrocyte	305	0.131258318204195	0.0763269414776278	0.0608259375043893	0.0918679320326223	0.5087134562085517	978616.0	845511.8612250509	0.13601263291725163
GSE174574	GSM5319987	whole_brain_broad	Astroependymal	7	0.07159068784263369	0.0013209169335673	0.001099418752196	0.00270294362403585	0.34507692867442197	16213.0	15169.310885591301	0.06437359615177318
GSE174574	GSM5319987	whole_brain_broad	Choroid	408	0.06424116095861866	0.04308854575178755	0.03294228077422113	0.06217318313795822	0.1861970150454638	2764391.0	2576946.2278101314	0.0678068956923491
GSE174574	GSM5319987	whole_brain_broad	Dendritic	98	0.09255385901252869	0.05795651884773145	0.04185869883480405	0.10725412894155201	0.23921977714587642	588471.0	538939.0509594468	0.08417058621504403
GSE174574	GSM5319987	whole_brain_broad	Endothelial	4816	0.0740173540935676	0.046606648865668954	0.03840101494802017	0.058465094614081795	0.26143614793340025	11825656.0	10768011.010770803	0.08943647517137288
GSE174574	GSM5319987	whole_brain_broad	Ependymal	31	0.09608439991483189	0.0247361167655667	0.015491326921258899	0.0565386330886029	0.49115930805534247	125100.0	108556.69491264464	0.13224064818029868
GSE174574	GSM5319987	whole_brain_broad	Fibroblast	43	0.2579677890800034	0.13429610123134	0.0919833913980398	0.2638810389950075	0.9484095943724717	149657.0	114163.51082916759	0.23716557976461117
GSE174574	GSM5319987	whole_brain_broad	Hypendymal	2	0.00048048137196455	0.00048048137196455	0.00047026893641982496	0.000490693807509275	0.0004988637559450549	8634.0	8629.86159409073	0.0004793150230797405
GSE174574	GSM5319987	whole_brain_broad	Lymphocyte	25	0.042439015629913986	0.0145024200677363	0.0037203676633537	0.03822922657453	0.20711943656999232	83257.0	77745.03622617527	0.06620420834073681
GSE174574	GSM5319987	whole_brain_broad	Macrophage	240	0.09685739034284205	0.07064137926313904	0.05521184549982153	0.0967204156620452	0.2206529024685671	716940.0	638965.8209409534	0.10875969963880738
GSE174574	GSM5319987	whole_brain_broad	Microglia	2038	0.08177223304261384	0.06893447096321215	0.058506436902782274	0.08311613514730601	0.15007101381824048	5100291.0	4646219.643350089	0.0890285194805377
GSE174574	GSM5319987	whole_brain_broad	Monocytes	50	0.06956272152086396	0.033536008493167055	0.005641215253868424	0.08453815053957256	0.19153443475711712	243448.0	224842.1058639688	0.07642656393164526
GSE174574	GSM5319987	whole_brain_broad	Neuron/Other	18	0.43985137569835125	0.2475358728012855	0.002697618039302625	0.9491850973132375	0.9933519821028542	54684.0	36977.24920027739	0.32380130933586815
GSE174574	GSM5319987	whole_brain_broad	OEC	6	0.0011898189795043167	0.00109025581615855	0.0009699769957738	0.001133545522155775	0.001755669295183975	22122.0	22096.193198532503	0.001166567284490383
GSE174574	GSM5319987	whole_brain_broad	OPC	1	0.00039629148258	0.00039629148258	0.00039629148258	0.00039629148258	0.00039629148258	1733.0	1732.31416034581	0.00039575282988457694
GSE174574	GSM5319987	whole_brain_broad	Oligodendrocyte	189	0.09923413390844195	0.0541291623498793	0.0444744575889296	0.0677133287076512	0.3941846929492502	1068205.0	960935.2334795154	0.10042058080657235
GSE174574	GSM5319987	whole_brain_broad	Pericyte	46	0.07723325508875081	0.02863649717569735	0.018016680573830626	0.0599388017634745	0.38112982388330247	99469.0	88535.01141810497	0.10992358002890379
GSE174574	GSM5319987	whole_brain_broad	Smooth_muscle	391	0.0973896306417263	0.0647439104757837	0.0532866789304242	0.0858272583741845	0.3041542944644765	1330167.0	1189409.9649982108	0.10581907008803348
GSE174574	GSM5319987	whole_brain_broad	Tanycyte	22	0.0835648831772469	0.02840336987054825	0.009170863338111075	0.0641373657880341	0.23704815322138692	82792.0	76328.07382113594	0.0780742846997785
GSE174574	GSM5319987	original_rule	Astrocyte	365	0.11905698454379217	0.0733670827134783	0.0559894953667634	0.0918679320326223	0.47882324048436387	1170918.0	1007444.0214546251	0.1396118076119548
GSE174574	GSM5319987	original_rule	Choroid	432	0.09063828013620613	0.04399066396882675	0.03344613520421258	0.0656199878275941	0.33677928726827766	2747687.0	2523594.195947039	0.08155688914092507
GSE174574	GSM5319987	original_rule	Endothelial	1486	0.04738856308390744	0.0439813143862386	0.036683023833139976	0.0530381584806869	0.07621011921471554	3842028.0	3662129.732276166	0.046823778411774764
GSE174574	GSM5319987	original_rule	Ependymal	62	0.07963096354768544	0.025093692468283947	0.010964209658475376	0.05427042217731585	0.4858065752892317	262974.0	234165.0903448822	0.10955041051631642
GSE174574	GSM5319987	original_rule	Erythroid	11	0.10318183702761004	0.0551347163058926	0.02886317860954065	0.0966737337966247	0.3530501777594215	50395.0	47739.32338860899	0.05269722415698008
GSE174574	GSM5319987	original_rule	Fibroblast	51	0.14473126463268224	0.110538676739656	0.034634575641126195	0.18211165629710901	0.569844137744216	201650.0	173760.45148604654	0.13830671219416546
