sender	receiver	ligand	receptor	component_role	cell_type	gene	sample	condition	gene_in_submitted_features	mean_logcp10k	detection_fraction
Endothelial	Astrocyte	Plat	Lrp1	ligand	Endothelial	Plat	GSM9755194	MCAO	True	1.047556539715123	0.5685483870967742
Endothelial	Astrocyte	Plat	Lrp1	ligand	Endothelial	Plat	GSM9755196	MCAO	True	0.6432485358256022	0.4180327868852459
Endothelial	Astrocyte	Plat	Lrp1	ligand	Endothelial	Plat	GSM9755210	Sham	True	0.776846931026057	0.5023255813953489
Endothelial	Astrocyte	Plat	Lrp1	ligand	Endothelial	Plat	GSM9755212	Sham	True	0.6107124334525628	0.3940886699507389
Endothelial	Astrocyte	Plat	Lrp1	ligand	Endothelial	Plat	GSM9755214	Sham	True	0.2562985225038692	0.16
Endothelial	Astrocyte	Plat	Lrp1	receptor	Astrocyte	Lrp1	GSM9755192	MCAO	True	0.8990607955183055	0.518918918918919
Endothelial	Astrocyte	Plat	Lrp1	receptor	Astrocyte	Lrp1	GSM9755194	MCAO	True	1.0316614713284864	0.5269360269360269
Endothelial	Astrocyte	Plat	Lrp1	receptor	Astrocyte	Lrp1	GSM9755196	MCAO	True	0.8256016822080825	0.4550898203592814
Endothelial	Astrocyte	Plat	Lrp1	receptor	Astrocyte	Lrp1	GSM9755210	Sham	True	0.9410406738796032	0.4925668979187314
Endothelial	Astrocyte	Plat	Lrp1	receptor	Astrocyte	Lrp1	GSM9755212	Sham	True	0.680905265089859	0.3669579030976966
Endothelial	Astrocyte	Plat	Lrp1	receptor	Astrocyte	Lrp1	GSM9755214	Sham	True	0.8497604504003229	0.3781388478581979
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	ligand	Astrocyte	Col4a1	GSM9755192	MCAO	True	0.0996120080662868	0.0741312741312741
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	ligand	Astrocyte	Col4a1	GSM9755194	MCAO	True	0.1160530296750791	0.0732323232323232
Astrocyte	Endothelial	Col4a1	Itga3_Itgb1	ligand	Astrocyte	Col4a1	GSM9755196	MCAO	True	0.0738082500040824	0.0499001996007984
