config	dataset	sample	condition	context_cell_type	n_cells
primary	GSE245386	GSM7841721	Sham	Smooth_muscle	348
primary	GSE245386	GSM7841721	Sham	Choroid	180
primary	GSE245386	GSM7841721	Sham	Lymphocyte	125
primary	GSE245386	GSM7841721	Sham	Neuron	119
primary	GSE245386	GSM7841721	Sham	Ependymal	89
primary	GSE245386	GSM7841721	Sham	Erythroid	60
primary	GSE245386	GSM7841721	Sham	Fibroblast	41
primary	GSE245386	GSM7841722	Sham	Endothelial	2238
primary	GSE245386	GSM7841722	Sham	Microglia	1784
primary	GSE245386	GSM7841722	Sham	Oligodendrocyte	828
primary	GSE245386	GSM7841722	Sham	Myeloid	487
primary	GSE245386	GSM7841722	Sham	Smooth_muscle	409
primary	GSE245386	GSM7841722	Sham	Astrocyte	378
primary	GSE245386	GSM7841722	Sham	Pericyte	307
primary	GSE245386	GSM7841722	Sham	Choroid	155
primary	GSE245386	GSM7841722	Sham	Neuron	135
primary	GSE245386	GSM7841722	Sham	Ependymal	122
primary	GSE245386	GSM7841722	Sham	Erythroid	87
primary	GSE245386	GSM7841722	Sham	Lymphocyte	65
primary	GSE245386	GSM7841722	Sham	Fibroblast	50
primary	GSE245386	GSM7841723	MCAO	Endothelial	1996
primary	GSE245386	GSM7841723	MCAO	Microglia	1724
primary	GSE245386	GSM7841723	MCAO	Myeloid	1113
primary	GSE245386	GSM7841723	MCAO	Oligodendrocyte	828
primary	GSE245386	GSM7841723	MCAO	Pericyte	444
primary	GSE245386	GSM7841723	MCAO	Astrocyte	288
primary	GSE245386	GSM7841723	MCAO	Smooth_muscle	287
primary	GSE245386	GSM7841723	MCAO	Choroid	117
primary	GSE245386	GSM7841723	MCAO	Erythroid	116
primary	GSE245386	GSM7841723	MCAO	Neuron	88
primary	GSE245386	GSM7841723	MCAO	Ependymal	80
primary	GSE245386	GSM7841723	MCAO	Fibroblast	67
primary	GSE245386	GSM7841723	MCAO	Neutrophil	65
primary	GSE245386	GSM7841723	MCAO	OPC	53
primary	GSE245386	GSM7841724	MCAO	Endothelial	2147
primary	GSE245386	GSM7841724	MCAO	Oligodendrocyte	2119
primary	GSE245386	GSM7841724	MCAO	Microglia	1692
primary	GSE245386	GSM7841724	MCAO	Myeloid	1189
primary	GSE245386	GSM7841724	MCAO	Astrocyte	716
primary	GSE245386	GSM7841724	MCAO	Pericyte	694
primary	GSE245386	GSM7841724	MCAO	Smooth_muscle	372
primary	GSE245386	GSM7841724	MCAO	Neuron	296
primary	GSE245386	GSM7841724	MCAO	OPC	97
primary	GSE245386	GSM7841724	MCAO	Ependymal	95
primary	GSE245386	GSM7841724	MCAO	Neutrophil	72
primary	GSE245386	GSM7841724	MCAO	Erythroid	69
primary	GSE245386	GSM7841724	MCAO	Fibroblast	34
reference_singlet	GSE174574	GSM5319987	Sham	Endothelial	1375
reference_singlet	GSE174574	GSM5319987	Sham	Microglia	1221
reference_singlet	GSE174574	GSM5319987	Sham	Choroid	416
reference_singlet	GSE174574	GSM5319987	Sham	Myeloid	377
reference_singlet	GSE174574	GSM5319987	Sham	Smooth_muscle	342
reference_singlet	GSE174574	GSM5319987	Sham	Astrocyte	261
reference_singlet	GSE174574	GSM5319987	Sham	Oligodendrocyte	220
reference_singlet	GSE174574	GSM5319987	Sham	Neutrophil	126
reference_singlet	GSE174574	GSM5319987	Sham	Pericyte	106
reference_singlet	GSE174574	GSM5319987	Sham	Ependymal	61
reference_singlet	GSE174574	GSM5319987	Sham	Fibroblast	51
reference_singlet	GSE174574	GSM5319988	Sham	Endothelial	1264
reference_singlet	GSE174574	GSM5319988	Sham	Microglia	1171
reference_singlet	GSE174574	GSM5319988	Sham	Choroid	392
reference_singlet	GSE174574	GSM5319988	Sham	Myeloid	385
reference_singlet	GSE174574	GSM5319988	Sham	Smooth_muscle	353
reference_singlet	GSE174574	GSM5319988	Sham	Astrocyte	268
reference_singlet	GSE174574	GSM5319988	Sham	Oligodendrocyte	218
reference_singlet	GSE174574	GSM5319988	Sham	Pericyte	113
reference_singlet	GSE174574	GSM5319988	Sham	Neutrophil	110
reference_singlet	GSE174574	GSM5319988	Sham	Fibroblast	68
reference_singlet	GSE174574	GSM5319988	Sham	Ependymal	57
reference_singlet	GSE174574	GSM5319989	Sham	Endothelial	1547
reference_singlet	GSE174574	GSM5319989	Sham	Microglia	1336
reference_singlet	GSE174574	GSM5319989	Sham	Myeloid	453
reference_singlet	GSE174574	GSM5319989	Sham	Choroid	432
reference_singlet	GSE174574	GSM5319989	Sham	Smooth_muscle	422
reference_singlet	GSE174574	GSM5319989	Sham	Astrocyte	322
reference_singlet	GSE174574	GSM5319989	Sham	Oligodendrocyte	245
reference_singlet	GSE174574	GSM5319989	Sham	Pericyte	130
reference_singlet	GSE174574	GSM5319989	Sham	Neutrophil	125
reference_singlet	GSE174574	GSM5319989	Sham	Fibroblast	99
reference_singlet	GSE174574	GSM5319989	Sham	Ependymal	81
reference_singlet	GSE174574	GSM5319989	Sham	Lymphocyte	30
reference_singlet	GSE174574	GSM5319990	MCAO	Endothelial	1619
reference_singlet	GSE174574	GSM5319990	MCAO	Myeloid	1311
reference_singlet	GSE174574	GSM5319990	MCAO	Microglia	1061
reference_singlet	GSE174574	GSM5319990	MCAO	Choroid	646
reference_singlet	GSE174574	GSM5319990	MCAO	Astrocyte	579
reference_singlet	GSE174574	GSM5319990	MCAO	Smooth_muscle	510
reference_singlet	GSE174574	GSM5319990	MCAO	Oligodendrocyte	416
reference_singlet	GSE174574	GSM5319990	MCAO	Pericyte	313
reference_singlet	GSE174574	GSM5319990	MCAO	Neutrophil	243
reference_singlet	GSE174574	GSM5319990	MCAO	Fibroblast	115
reference_singlet	GSE174574	GSM5319990	MCAO	Erythroid	109
reference_singlet	GSE174574	GSM5319990	MCAO	Ependymal	80
reference_singlet	GSE174574	GSM5319990	MCAO	Lymphocyte	69
reference_singlet	GSE174574	GSM5319991	MCAO	Endothelial	1474
reference_singlet	GSE174574	GSM5319991	MCAO	Myeloid	1256
reference_singlet	GSE174574	GSM5319991	MCAO	Microglia	1148
reference_singlet	GSE174574	GSM5319991	MCAO	Choroid	618
