baseline_dataset	dataset	sample	universe	metric	n_edges	n_rank_one	rank_one_fraction	n_edges_in_exact_tie_groups	largest_exact_tie_group
GSE174574	GSE332910	GSM9755214	all_three_cohorts_complete	magnitude_rank	99	14	0.1414141414141414	16	14
GSE174574	GSE332910	GSM9755214	all_three_cohorts_complete	diagnostic_unique_column_magnitude_rank	99	21	0.21212121212121213	23	21
GSE245386	GSE245386	GSM7841720	pairwise_complete	magnitude_rank	187	7	0.0374331550802139	11	7
GSE245386	GSE245386	GSM7841720	pairwise_complete	diagnostic_unique_column_magnitude_rank	187	7	0.0374331550802139	11	7
GSE245386	GSE245386	GSM7841721	pairwise_complete	magnitude_rank	187	7	0.0374331550802139	15	7
GSE245386	GSE245386	GSM7841721	pairwise_complete	diagnostic_unique_column_magnitude_rank	187	2	0.0106951871657754	8	2
GSE245386	GSE245386	GSM7841722	pairwise_complete	magnitude_rank	187	12	0.06417112299465241	16	12
GSE245386	GSE245386	GSM7841722	pairwise_complete	diagnostic_unique_column_magnitude_rank	187	4	0.0213903743315508	8	4
GSE245386	GSE245386	GSM7841723	pairwise_complete	magnitude_rank	187	14	0.0748663101604278	18	14
GSE245386	GSE245386	GSM7841723	pairwise_complete	diagnostic_unique_column_magnitude_rank	187	6	0.03208556149732621	10	6
GSE245386	GSE245386	GSM7841724	pairwise_complete	magnitude_rank	187	11	0.058823529411764705	15	11
GSE245386	GSE245386	GSM7841724	pairwise_complete	diagnostic_unique_column_magnitude_rank	187	5	0.026737967914438502	9	5
GSE245386	GSE332910	GSM9755192	pairwise_complete	magnitude_rank	187	8	0.0427807486631016	12	8
GSE245386	GSE332910	GSM9755192	pairwise_complete	diagnostic_unique_column_magnitude_rank	187	4	0.0213903743315508	8	4
GSE245386	GSE332910	GSM9755194	pairwise_complete	magnitude_rank	187	11	0.058823529411764705	17	11
GSE245386	GSE332910	GSM9755194	pairwise_complete	diagnostic_unique_column_magnitude_rank	187	7	0.0374331550802139	13	7
GSE245386	GSE332910	GSM9755196	pairwise_complete	magnitude_rank	187	17	0.09090909090909091	21	17
GSE245386	GSE332910	GSM9755196	pairwise_complete	diagnostic_unique_column_magnitude_rank	187	15	0.08021390374331551	19	15
GSE245386	GSE332910	GSM9755210	pairwise_complete	magnitude_rank	187	23	0.12299465240641712	27	23
GSE245386	GSE332910	GSM9755210	pairwise_complete	diagnostic_unique_column_magnitude_rank	187	20	0.10695187165775401	24	20
GSE245386	GSE332910	GSM9755212	pairwise_complete	magnitude_rank	187	27	0.1443850267379679	31	27
