elapsed_seconds	rss_bytes
0.02	3137536
1.03	150949888
2.03	259665920
3.05	434311168
4.06	456978432
5.06	594718720
6.09	587354112
7.11	772911104
8.12	897777664
9.14	982642688
10.16	904912896
11.17	745017344
12.19	874082304
13.19	924147712
14.22	915976192
15.22	918077440
16.23	961925120
17.25	900825088
18.27	940855296
19.27	930394112
20.28	977768448
21.3	984297472
22.31	985006080
23.33	984727552
24.34	848547840
25.36	903811072
26.38	872108032
27.38	908976128
28.39	918781952
29.41	886571008
30.42	770592768
31.44	736997376
32.45	861405184
33.47	911699968
34.48	913362944
35.48	910229504
36.5	916455424
37.52	906694656
38.55	913993728
39.55	817278976
40.56	869285888
41.58	853237760
42.59	907812864
43.62	901718016
44.64	872529920
45.64	907468800
46.66	904081408
47.67	767635456
48.69	798568448
49.69	810409984
50.7	769044480
51.72	895369216
52.72	802963456
53.73	840679424
54.77	903282688
55.77	902205440
56.78	906862592
57.8	751112192
58.81	840499200
59.83	800014336
60.83	806895616
61.84	900575232
62.86	900894720
63.88	904876032
64.89	800608256
65.89	839192576
66.91	858722304
67.92	820150272
68.94	762552320
69.95	797646848
70.97	831504384
71.98	889520128
73.0	904294400
74.0	910020608
75.02	904843264
76.03	791810048
77.05	827822080
78.05	815607808
79.06	777781248
80.08	799879168
81.08	833351680
82.09	849338368
83.11	906964992
84.12	905723904
85.14	904847360
86.16	795484160
87.16	867217408
88.17	825933824
89.17	812503040
90.19	855093248
91.2	897437696
92.22	907395072
93.23	907079680
94.25	902979584
95.27	895606784
96.28	723140608
97.3	757014528
98.31	790990848
99.33	791638016
100.34	790487040
101.34	806076416
102.36	847253504
103.38	811069440
104.39	843399168
105.39	900100096
106.41	897040384
107.42	934645760
108.44	902627328
109.44	903712768
110.47	683208704
111.48	712302592
112.48	721371136
113.52	722059264
114.52	722829312
115.53	733810688
116.55	729919488
117.55	736813056
118.56	736890880
119.58	737935360
120.58	736002048
121.59	730460160
122.59	725372928
123.61	728145920
124.62	725549056
125.64	737550336
126.66	722800640
127.66	723460096
128.67	724037632
129.69	724766720
130.7	725618688
131.72	726179840
132.73	727085056
133.75	727240704
134.77	724160512
135.78	725553152
136.8	726130688
137.81	727150592
138.83	742486016
139.84	742989824
140.86	742785024
141.88	726548480
142.88	740139008
143.89	730898432
144.91	799576064
145.95	798502912
