dataset	sample	shared_resource_LIANA_eligible_full_network_rows
GSE174574	GSM5319987	2816
GSE174574	GSM5319988	3347
GSE174574	GSM5319989	4243
GSE174574	GSM5319990	5790
GSE174574	GSM5319991	5023
GSE174574	GSM5319992	6768
GSE245386	GSM7841720	14641
GSE245386	GSM7841721	14882
GSE245386	GSM7841722	13969
GSE245386	GSM7841723	20364
GSE245386	GSM7841724	15260
