source	target	ligand	receptor
Fibroblast	Microglia	Thbs1	Cd47
Fibroblast	Microglia	Thbs2	Cd47
Fibroblast	Microglia	Vtn	Itgav_Itgb1
Fibroblast	Microglia	Vtn	Itgav_Itgb5
Fibroblast	Myeloid	App	Cd74
Fibroblast	Myeloid	Gas6	Axl
Fibroblast	Myeloid	Gas6	Mertk
Fibroblast	Myeloid	Icam1	Itgam_Itgb2
Fibroblast	Myeloid	Igf2	Igf1r
Fibroblast	Myeloid	Jam3	Itgam_Itgb2
Fibroblast	Myeloid	Lamb1	Itga6_Itgb1
Fibroblast	Myeloid	Lamb2	Itga6_Itgb1
Fibroblast	Myeloid	Lamc1	Itga6_Itgb1
Fibroblast	Myeloid	Mdk	Itga6_Itgb1
Fibroblast	Myeloid	Mdk	Lrp1
Fibroblast	Myeloid	Mdk	Ncl
Fibroblast	Myeloid	Mdk	Sdc4
Fibroblast	Myeloid	Pros1	Axl
Fibroblast	Myeloid	Pros1	Mertk
Fibroblast	Myeloid	Ptn	Ncl
Fibroblast	Myeloid	Ptn	Sdc3
Fibroblast	Myeloid	Ptn	Sdc4
Fibroblast	Myeloid	Rarres2	Cmklr1
Fibroblast	Myeloid	Thbs1	Cd47
Fibroblast	Myeloid	Thbs1	Sdc4
Fibroblast	Myeloid	Thbs2	Cd47
Fibroblast	Oligodendrocyte	Efnb1	Ephb1
Fibroblast	Oligodendrocyte	Fn1	Itgav_Itgb1
Fibroblast	Oligodendrocyte	Gas6	Tyro3
Fibroblast	Oligodendrocyte	Grn	Sort1
Fibroblast	Oligodendrocyte	Igf2	Igf1r
Fibroblast	Oligodendrocyte	Igf2	Itga6_Itgb4
Fibroblast	Oligodendrocyte	Lamb1	Itga6_Itgb1
Fibroblast	Oligodendrocyte	Lamb1	Itga6_Itgb4
Fibroblast	Oligodendrocyte	Lamb2	Itga6_Itgb1
Fibroblast	Oligodendrocyte	Lamb2	Itga6_Itgb4
Fibroblast	Oligodendrocyte	Lamc1	Itga6_Itgb1
Fibroblast	Oligodendrocyte	Lamc1	Itga6_Itgb4
Fibroblast	Oligodendrocyte	Mdk	Itga6_Itgb1
Fibroblast	Oligodendrocyte	Mdk	Ncl
Fibroblast	Oligodendrocyte	Pros1	Tyro3
Fibroblast	Oligodendrocyte	Psap	Gpr37
Fibroblast	Oligodendrocyte	Ptn	Ncl
Fibroblast	Oligodendrocyte	Spp1	Itgav_Itgb1
Fibroblast	Oligodendrocyte	Thbs1	Cd47
Fibroblast	Oligodendrocyte	Thbs2	Cd47
Fibroblast	Oligodendrocyte	Vtn	Itgav_Itgb1
Fibroblast	Oligodendrocyte	Wnt5a	Mcam
Fibroblast	Pericyte	App	Tnfrsf21
Fibroblast	Pericyte	Col1a1	Itga1_Itgb1
Fibroblast	Pericyte	Col1a2	Itga1_Itgb1
Fibroblast	Pericyte	Col4a1	Itga1_Itgb1
Fibroblast	Pericyte	Col4a2	Itga1_Itgb1
Fibroblast	Pericyte	Col6a1	Itga1_Itgb1
Fibroblast	Pericyte	Col6a2	Itga1_Itgb1
Fibroblast	Pericyte	Cxcl12	Ackr3
Fibroblast	Pericyte	Edn3	Ednra
Fibroblast	Pericyte	Gas6	Axl
Fibroblast	Pericyte	Hspg2	Dag1
Fibroblast	Pericyte	Igf2	Igf1r
Fibroblast	Pericyte	Lamb1	Dag1
Fibroblast	Pericyte	Lamb1	Itga6_Itgb1
Fibroblast	Pericyte	Lamb2	Dag1
Fibroblast	Pericyte	Lamb2	Itga6_Itgb1
Fibroblast	Pericyte	Lamc1	Dag1
Fibroblast	Pericyte	Lamc1	Itga6_Itgb1
Fibroblast	Pericyte	Mdk	Itga6_Itgb1
Fibroblast	Pericyte	Mdk	Lrp1
Fibroblast	Pericyte	Mdk	Ncl
Fibroblast	Pericyte	Mdk	Sdc2
Fibroblast	Pericyte	Mif	Ackr3
Fibroblast	Pericyte	Pros1	Axl
Fibroblast	Pericyte	Ptn	Ncl
Fibroblast	Pericyte	Ptn	Sdc2
Fibroblast	Pericyte	Ptn	Sdc3
Fibroblast	Pericyte	Thbs1	Cd47
Fibroblast	Pericyte	Thbs2	Cd47
Fibroblast	Pericyte	Wnt5a	Mcam
Fibroblast	Smooth_muscle	App	Cd74
Fibroblast	Smooth_muscle	Bmp4	Bmpr1a_Bmpr2
Fibroblast	Smooth_muscle	Bmp7	Bmpr1a_Bmpr2
Fibroblast	Smooth_muscle	Col1a1	Itga1_Itgb1
Fibroblast	Smooth_muscle	Col1a2	Itga1_Itgb1
Fibroblast	Smooth_muscle	Col4a1	Itga1_Itgb1
Fibroblast	Smooth_muscle	Col4a2	Itga1_Itgb1
Fibroblast	Smooth_muscle	Col6a1	Itga1_Itgb1
Fibroblast	Smooth_muscle	Col6a2	Itga1_Itgb1
Fibroblast	Smooth_muscle	Cxcl12	Ackr3
Fibroblast	Smooth_muscle	Edn3	Ednra
Fibroblast	Smooth_muscle	Fn1	Itgav_Itgb1
Fibroblast	Smooth_muscle	Gas6	Axl
Fibroblast	Smooth_muscle	Gas6	Mertk
Fibroblast	Smooth_muscle	Grn	Sort1
Fibroblast	Smooth_muscle	Hspg2	Dag1
Fibroblast	Smooth_muscle	Igf2	Igf1r
Fibroblast	Smooth_muscle	Lamb1	Dag1
Fibroblast	Smooth_muscle	Lamb1	Itga7_Itgb1
Fibroblast	Smooth_muscle	Lamb2	Dag1
Fibroblast	Smooth_muscle	Lamb2	Itga7_Itgb1
Fibroblast	Smooth_muscle	Lamc1	Dag1
Fibroblast	Smooth_muscle	Lamc1	Itga7_Itgb1
Fibroblast	Smooth_muscle	Mdk	Lrp1
Fibroblast	Smooth_muscle	Mdk	Ncl
Fibroblast	Smooth_muscle	Mdk	Sdc2
Fibroblast	Smooth_muscle	Mdk	Sdc4
Fibroblast	Smooth_muscle	Mif	Ackr3
Fibroblast	Smooth_muscle	Pros1	Axl
Fibroblast	Smooth_muscle	Pros1	Mertk
Fibroblast	Smooth_muscle	Ptn	Ncl
Fibroblast	Smooth_muscle	Ptn	Sdc2
Fibroblast	Smooth_muscle	Ptn	Sdc4
Fibroblast	Smooth_muscle	Spp1	Itgav_Itgb1
Fibroblast	Smooth_muscle	Spp1	Itgav_Itgb5
Fibroblast	Smooth_muscle	Thbs1	Cd47
Fibroblast	Smooth_muscle	Thbs1	Sdc4
Fibroblast	Smooth_muscle	Thbs2	Cd47
Fibroblast	Smooth_muscle	Vtn	Itgav_Itgb1
Fibroblast	Smooth_muscle	Vtn	Itgav_Itgb5
Fibroblast	Smooth_muscle	Wnt5a	Mcam
Microglia	Astrocyte	Entpd1	Adora2b
Microglia	Astrocyte	Gas6	Axl
Microglia	Astrocyte	Gas6	Mertk
Microglia	Astrocyte	Jam2	Itgav_Itgb1
Microglia	Astrocyte	Pros1	Axl
Microglia	Astrocyte	Pros1	Mertk
Microglia	Astrocyte	Psap	Gpr37
Microglia	Astrocyte	Psap	Gpr37l1
Microglia	Astrocyte	Ptn	Ncl
Microglia	Astrocyte	Ptn	Ptprz1
Microglia	Astrocyte	Ptn	Sdc2
Microglia	Astrocyte	Ptn	Sdc4
Microglia	Endothelial	Ptn	Ncl
Microglia	Endothelial	Ptn	Sdc3
Microglia	Ependymal	Psap	Gpr37l1
Microglia	Ependymal	Ptn	Ncl
Microglia	Ependymal	Ptn	Ptprz1
Microglia	Ependymal	Ptn	Sdc2
Microglia	Ependymal	Ptn	Sdc4
Microglia	Fibroblast	App	Cd74
Microglia	Fibroblast	Gas6	Axl
Microglia	Fibroblast	Jam2	Itgav_Itgb1
Microglia	Fibroblast	Pros1	Axl
Microglia	Fibroblast	Ptn	Ncl
Microglia	Fibroblast	Ptn	Sdc2
Microglia	Fibroblast	Ptn	Sdc4
Microglia	Fibroblast	Tgfb1	Tgfbr1_Tgfbr2
Microglia	Microglia	App	Cd74
Microglia	Microglia	App	Tnfrsf21
Microglia	Microglia	Ccl4	Ccr5
Microglia	Microglia	Entpd1	Adora3
Microglia	Microglia	Gas6	Mertk
Microglia	Microglia	Icam1	Itgam_Itgb2
Microglia	Microglia	Jam2	Itgav_Itgb1
Microglia	Microglia	Pros1	Mertk
Microglia	Microglia	Ptn	Ncl
Microglia	Microglia	Tgfb1	Tgfbr1_Tgfbr2
Microglia	Myeloid	App	Cd74
Microglia	Myeloid	Ccl4	Ccr5
Microglia	Myeloid	Gas6	Axl
Microglia	Myeloid	Gas6	Mertk
Microglia	Myeloid	Icam1	Itgam_Itgb2
Microglia	Myeloid	Pros1	Axl
Microglia	Myeloid	Pros1	Mertk
Microglia	Myeloid	Ptn	Ncl
Microglia	Myeloid	Ptn	Sdc3
Microglia	Myeloid	Ptn	Sdc4
Microglia	Myeloid	Tgfb1	Tgfbr1_Tgfbr2
Microglia	Oligodendrocyte	Entpd1	Adora1
Microglia	Oligodendrocyte	Gas6	Tyro3
Microglia	Oligodendrocyte	Grn	Sort1
Microglia	Oligodendrocyte	Jam2	Itgav_Itgb1
Microglia	Oligodendrocyte	Pros1	Tyro3
Microglia	Oligodendrocyte	Psap	Gpr37
Microglia	Oligodendrocyte	Ptn	Ncl
Microglia	Pericyte	App	Tnfrsf21
Microglia	Pericyte	Entpd1	Adora2a
Microglia	Pericyte	Gas6	Axl
Microglia	Pericyte	Mif	Ackr3
Microglia	Pericyte	Pros1	Axl
Microglia	Pericyte	Ptn	Ncl
Microglia	Pericyte	Ptn	Sdc2
Microglia	Pericyte	Ptn	Sdc3
Microglia	Smooth_muscle	App	Cd74
Microglia	Smooth_muscle	Gas6	Axl
Microglia	Smooth_muscle	Gas6	Mertk
Microglia	Smooth_muscle	Grn	Sort1
Microglia	Smooth_muscle	Jam2	Itgav_Itgb1
Microglia	Smooth_muscle	Mif	Ackr3
Microglia	Smooth_muscle	Pros1	Axl
Microglia	Smooth_muscle	Pros1	Mertk
Microglia	Smooth_muscle	Ptn	Ncl
Microglia	Smooth_muscle	Ptn	Sdc2
Microglia	Smooth_muscle	Ptn	Sdc4
Myeloid	Astrocyte	Entpd1	Adora2b
Myeloid	Astrocyte	Gas6	Axl
Myeloid	Astrocyte	Gas6	Mertk
Myeloid	Astrocyte	Pros1	Axl
Myeloid	Astrocyte	Pros1	Mertk
Myeloid	Astrocyte	Psap	Gpr37
Myeloid	Astrocyte	Psap	Gpr37l1
Myeloid	Astrocyte	Ptn	Ncl
Myeloid	Astrocyte	Ptn	Ptprz1
Myeloid	Astrocyte	Ptn	Sdc2
Myeloid	Astrocyte	Ptn	Sdc4
Myeloid	Astrocyte	Sema4d	Plxnb1
Myeloid	Astrocyte	Tnf	Tnfrsf1a
Myeloid	Endothelial	Ptn	Ncl
Myeloid	Endothelial	Ptn	Sdc3
Myeloid	Endothelial	Tnf	Tnfrsf1a
Myeloid	Ependymal	Psap	Gpr37l1
Myeloid	Ependymal	Ptn	Ncl
Myeloid	Ependymal	Ptn	Ptprz1
Myeloid	Ependymal	Ptn	Sdc2
Myeloid	Ependymal	Ptn	Sdc4
Myeloid	Ependymal	Sema4d	Plxnb2
Myeloid	Fibroblast	App	Cd74
Myeloid	Fibroblast	Gas6	Axl
Myeloid	Fibroblast	Pros1	Axl
Myeloid	Fibroblast	Ptn	Ncl
Myeloid	Fibroblast	Ptn	Sdc2
Myeloid	Fibroblast	Ptn	Sdc4
Myeloid	Fibroblast	Sema4d	Plxnb2
Myeloid	Fibroblast	Tgfb1	Tgfbr1_Tgfbr2
Myeloid	Fibroblast	Tnf	Tnfrsf1a
Myeloid	Microglia	App	Cd74
Myeloid	Microglia	App	Tnfrsf21
Myeloid	Microglia	Ccl4	Ccr5
Myeloid	Microglia	Entpd1	Adora3
Myeloid	Microglia	Gas6	Mertk
Myeloid	Microglia	Icam1	Itgam_Itgb2
Myeloid	Microglia	Pros1	Mertk
Myeloid	Microglia	Ptn	Ncl
Myeloid	Microglia	Sema4d	Plxnb2
Myeloid	Microglia	Tgfb1	Tgfbr1_Tgfbr2
Myeloid	Microglia	Tnf	Tnfrsf1a
Myeloid	Microglia	Tnf	Tnfrsf1b
Myeloid	Myeloid	App	Cd74
Myeloid	Myeloid	Ccl4	Ccr5
Myeloid	Myeloid	Gas6	Axl
Myeloid	Myeloid	Gas6	Mertk
Myeloid	Myeloid	Icam1	Itgam_Itgb2
Myeloid	Myeloid	Pros1	Axl
Myeloid	Myeloid	Pros1	Mertk
Myeloid	Myeloid	Ptn	Ncl
Myeloid	Myeloid	Ptn	Sdc3
Myeloid	Myeloid	Ptn	Sdc4
Myeloid	Myeloid	Sema4d	Plxnb2
Myeloid	Myeloid	Tgfb1	Tgfbr1_Tgfbr2
Myeloid	Myeloid	Tnf	Tnfrsf1a
Myeloid	Myeloid	Tnf	Tnfrsf1b
Myeloid	Oligodendrocyte	Entpd1	Adora1
Myeloid	Oligodendrocyte	Gas6	Tyro3
Myeloid	Oligodendrocyte	Grn	Sort1
Myeloid	Oligodendrocyte	Pros1	Tyro3
Myeloid	Oligodendrocyte	Psap	Gpr37
Myeloid	Oligodendrocyte	Ptn	Ncl
Myeloid	Pericyte	App	Tnfrsf21
Myeloid	Pericyte	Entpd1	Adora2a
Myeloid	Pericyte	Gas6	Axl
Myeloid	Pericyte	Mif	Ackr3
Myeloid	Pericyte	Pros1	Axl
Myeloid	Pericyte	Ptn	Ncl
Myeloid	Pericyte	Ptn	Sdc2
Myeloid	Pericyte	Ptn	Sdc3
Myeloid	Pericyte	Tnf	Tnfrsf1a
Myeloid	Smooth_muscle	App	Cd74
Myeloid	Smooth_muscle	Gas6	Axl
Myeloid	Smooth_muscle	Gas6	Mertk
Myeloid	Smooth_muscle	Grn	Sort1
Myeloid	Smooth_muscle	Mif	Ackr3
Myeloid	Smooth_muscle	Pros1	Axl
Myeloid	Smooth_muscle	Pros1	Mertk
Myeloid	Smooth_muscle	Ptn	Ncl
Myeloid	Smooth_muscle	Ptn	Sdc2
Myeloid	Smooth_muscle	Ptn	Sdc4
Myeloid	Smooth_muscle	Sema4d	Plxnb2
Myeloid	Smooth_muscle	Tnf	Tnfrsf1a
Oligodendrocyte	Astrocyte	Efna1	Epha5
Oligodendrocyte	Astrocyte	Fgf1	Fgfr1
Oligodendrocyte	Astrocyte	Fgf1	Fgfr3
Oligodendrocyte	Astrocyte	Fn1	Itgav_Itgb1
Oligodendrocyte	Astrocyte	Fn1	Itgav_Itgb8
Oligodendrocyte	Astrocyte	Gas6	Axl
Oligodendrocyte	Astrocyte	Gas6	Mertk
Oligodendrocyte	Astrocyte	Ncam1	Fgfr1
Oligodendrocyte	Astrocyte	Nrxn2	Nlgn3
Oligodendrocyte	Astrocyte	Pdgfa	Pdgfrb
Oligodendrocyte	Astrocyte	Psap	Gpr37
Oligodendrocyte	Astrocyte	Psap	Gpr37l1
Oligodendrocyte	Astrocyte	Ptn	Ncl
Oligodendrocyte	Astrocyte	Ptn	Ptprz1
Oligodendrocyte	Astrocyte	Ptn	Sdc2
Oligodendrocyte	Astrocyte	Ptn	Sdc4
Oligodendrocyte	Endothelial	Efnb3	Ephb4
Oligodendrocyte	Endothelial	Ptn	Ncl
Oligodendrocyte	Endothelial	Ptn	Sdc3
Oligodendrocyte	Endothelial	Sema3c	Nrp1_Plxna2
Oligodendrocyte	Endothelial	Sema6a	Plxna2
Oligodendrocyte	Ependymal	Fgf1	Fgfr1
Oligodendrocyte	Ependymal	Ncam1	Fgfr1
Oligodendrocyte	Ependymal	Psap	Gpr37l1
Oligodendrocyte	Ependymal	Ptn	Ncl
Oligodendrocyte	Ependymal	Ptn	Ptprz1
Oligodendrocyte	Ependymal	Ptn	Sdc2
Oligodendrocyte	Ependymal	Ptn	Sdc4
Oligodendrocyte	Fibroblast	App	Cd74
Oligodendrocyte	Fibroblast	Fgf1	Fgfr1
Oligodendrocyte	Fibroblast	Fn1	Itgav_Itgb1
Oligodendrocyte	Fibroblast	Gas6	Axl
Oligodendrocyte	Fibroblast	Ncam1	Fgfr1
Oligodendrocyte	Fibroblast	Pdgfa	Pdgfra
Oligodendrocyte	Fibroblast	Pdgfa	Pdgfrb
Oligodendrocyte	Fibroblast	Ptn	Ncl
Oligodendrocyte	Fibroblast	Ptn	Sdc2
Oligodendrocyte	Fibroblast	Ptn	Sdc4
Oligodendrocyte	Fibroblast	Sema3c	Nrp1_Plxna2
Oligodendrocyte	Fibroblast	Sema6a	Plxna2
Oligodendrocyte	Microglia	App	Cd74
Oligodendrocyte	Microglia	App	Tnfrsf21
Oligodendrocyte	Microglia	Ccl4	Ccr5
Oligodendrocyte	Microglia	Fn1	Itgav_Itgb1
Oligodendrocyte	Microglia	Gas6	Mertk
Oligodendrocyte	Microglia	Jam3	Itgam_Itgb2
Oligodendrocyte	Microglia	Ptn	Ncl
Oligodendrocyte	Myeloid	App	Cd74
Oligodendrocyte	Myeloid	Ccl4	Ccr5
Oligodendrocyte	Myeloid	Gas6	Axl
Oligodendrocyte	Myeloid	Gas6	Mertk
Oligodendrocyte	Myeloid	Jam3	Itgam_Itgb2
Oligodendrocyte	Myeloid	Ptn	Ncl
Oligodendrocyte	Myeloid	Ptn	Sdc3
Oligodendrocyte	Myeloid	Ptn	Sdc4
Oligodendrocyte	Oligodendrocyte	Efnb3	Ephb1
Oligodendrocyte	Oligodendrocyte	Fgf1	Fgfr2
Oligodendrocyte	Oligodendrocyte	Fn1	Itgav_Itgb1
Oligodendrocyte	Oligodendrocyte	Gas6	Tyro3
Oligodendrocyte	Oligodendrocyte	Grn	Sort1
Oligodendrocyte	Oligodendrocyte	Psap	Gpr37
Oligodendrocyte	Oligodendrocyte	Ptn	Ncl
Oligodendrocyte	Pericyte	App	Tnfrsf21
Oligodendrocyte	Pericyte	Cxcl12	Ackr3
Oligodendrocyte	Pericyte	Fgf1	Fgfr1
Oligodendrocyte	Pericyte	Gas6	Axl
Oligodendrocyte	Pericyte	Mif	Ackr3
Oligodendrocyte	Pericyte	Ncam1	Fgfr1
Oligodendrocyte	Pericyte	Pdgfa	Pdgfrb
Oligodendrocyte	Pericyte	Ptn	Ncl
Oligodendrocyte	Pericyte	Ptn	Sdc2
Oligodendrocyte	Pericyte	Ptn	Sdc3
Oligodendrocyte	Pericyte	Sema7a	Itga1_Itgb1
Oligodendrocyte	Smooth_muscle	App	Cd74
Oligodendrocyte	Smooth_muscle	Cxcl12	Ackr3
Oligodendrocyte	Smooth_muscle	Fgf1	Fgfr1
Oligodendrocyte	Smooth_muscle	Fn1	Itgav_Itgb1
Oligodendrocyte	Smooth_muscle	Gas6	Axl
Oligodendrocyte	Smooth_muscle	Gas6	Mertk
Oligodendrocyte	Smooth_muscle	Grn	Sort1
Oligodendrocyte	Smooth_muscle	Mif	Ackr3
Oligodendrocyte	Smooth_muscle	Ncam1	Fgfr1
Oligodendrocyte	Smooth_muscle	Pdgfa	Pdgfrb
Oligodendrocyte	Smooth_muscle	Ptn	Ncl
Oligodendrocyte	Smooth_muscle	Ptn	Sdc2
Oligodendrocyte	Smooth_muscle	Ptn	Sdc4
Oligodendrocyte	Smooth_muscle	Sema7a	Itga1_Itgb1
Pericyte	Astrocyte	Agrn	Dag1
Pericyte	Astrocyte	Col1a2	Itgav_Itgb8
Pericyte	Astrocyte	Col4a1	Itgav_Itgb8
Pericyte	Astrocyte	Col4a2	Itgav_Itgb8
Pericyte	Astrocyte	Lama4	Dag1
Pericyte	Astrocyte	Lama4	Itga6_Itgb1
Pericyte	Astrocyte	Lama4	Itgav_Itgb8
Pericyte	Astrocyte	Lamb2	Dag1
Pericyte	Astrocyte	Lamb2	Itga6_Itgb1
Pericyte	Astrocyte	Lamb2	Itgav_Itgb8
Pericyte	Astrocyte	Lamc1	Dag1
Pericyte	Astrocyte	Lamc1	Itga6_Itgb1
Pericyte	Astrocyte	Lamc1	Itgav_Itgb8
Pericyte	Astrocyte	Pdgfa	Pdgfrb
Pericyte	Astrocyte	Pros1	Axl
Pericyte	Astrocyte	Pros1	Mertk
Pericyte	Astrocyte	Psap	Gpr37
Pericyte	Astrocyte	Psap	Gpr37l1
Pericyte	Astrocyte	Ptn	Ncl
Pericyte	Astrocyte	Ptn	Ptprz1
Pericyte	Astrocyte	Ptn	Sdc2
Pericyte	Astrocyte	Ptn	Sdc4
Pericyte	Astrocyte	Vtn	Itgav_Itgb1
Pericyte	Astrocyte	Vtn	Itgav_Itgb5
Pericyte	Astrocyte	Vtn	Itgav_Itgb8
Pericyte	Endothelial	Agrn	Dag1
Pericyte	Endothelial	Lama4	Dag1
Pericyte	Endothelial	Lama4	Itga6_Itgb1
Pericyte	Endothelial	Lamb2	Dag1
Pericyte	Endothelial	Lamb2	Itga6_Itgb1
Pericyte	Endothelial	Lamc1	Dag1
Pericyte	Endothelial	Lamc1	Itga6_Itgb1
Pericyte	Endothelial	Ptn	Ncl
Pericyte	Endothelial	Ptn	Sdc3
Pericyte	Ependymal	Agrn	Dag1
Pericyte	Ependymal	Lama4	Dag1
Pericyte	Ependymal	Lamb2	Dag1
Pericyte	Ependymal	Lamc1	Dag1
Pericyte	Ependymal	Psap	Gpr37l1
Pericyte	Ependymal	Ptn	Ncl
Pericyte	Ependymal	Ptn	Ptprz1
Pericyte	Ependymal	Ptn	Sdc2
Pericyte	Ependymal	Ptn	Sdc4
Pericyte	Fibroblast	Agrn	Dag1
Pericyte	Fibroblast	App	Cd74
Pericyte	Fibroblast	Lama4	Dag1
Pericyte	Fibroblast	Lamb2	Dag1
Pericyte	Fibroblast	Lamc1	Dag1
Pericyte	Fibroblast	Pdgfa	Pdgfra
Pericyte	Fibroblast	Pdgfa	Pdgfrb
Pericyte	Fibroblast	Pros1	Axl
Pericyte	Fibroblast	Ptn	Ncl
Pericyte	Fibroblast	Ptn	Sdc2
Pericyte	Fibroblast	Ptn	Sdc4
Pericyte	Fibroblast	Tgfb1	Tgfbr1_Tgfbr2
Pericyte	Fibroblast	Vtn	Itgav_Itgb1
Pericyte	Fibroblast	Vtn	Itgav_Itgb5
Pericyte	Microglia	App	Cd74
Pericyte	Microglia	App	Tnfrsf21
Pericyte	Microglia	Jam3	Itgam_Itgb2
Pericyte	Microglia	Lama4	Itga6_Itgb1
Pericyte	Microglia	Lamb2	Itga6_Itgb1
Pericyte	Microglia	Lamc1	Itga6_Itgb1
Pericyte	Microglia	Pros1	Mertk
Pericyte	Microglia	Ptn	Ncl
Pericyte	Microglia	Rarres2	Cmklr1
Pericyte	Microglia	Tgfb1	Tgfbr1_Tgfbr2
Pericyte	Microglia	Vtn	Itgav_Itgb1
Pericyte	Microglia	Vtn	Itgav_Itgb5
Pericyte	Myeloid	App	Cd74
Pericyte	Myeloid	Jam3	Itgam_Itgb2
Pericyte	Myeloid	Lama4	Itga6_Itgb1
Pericyte	Myeloid	Lamb2	Itga6_Itgb1
Pericyte	Myeloid	Lamc1	Itga6_Itgb1
Pericyte	Myeloid	Pros1	Axl
Pericyte	Myeloid	Pros1	Mertk
Pericyte	Myeloid	Ptn	Ncl
Pericyte	Myeloid	Ptn	Sdc3
Pericyte	Myeloid	Ptn	Sdc4
Pericyte	Myeloid	Rarres2	Cmklr1
Pericyte	Myeloid	Tgfb1	Tgfbr1_Tgfbr2
Pericyte	Oligodendrocyte	Grn	Sort1
Pericyte	Oligodendrocyte	Lama4	Itga6_Itgb1
Pericyte	Oligodendrocyte	Lama4	Itga6_Itgb4
Pericyte	Oligodendrocyte	Lamb2	Itga6_Itgb1
Pericyte	Oligodendrocyte	Lamb2	Itga6_Itgb4
Pericyte	Oligodendrocyte	Lamc1	Itga6_Itgb1
Pericyte	Oligodendrocyte	Lamc1	Itga6_Itgb4
Pericyte	Oligodendrocyte	Pros1	Tyro3
Pericyte	Oligodendrocyte	Psap	Gpr37
Pericyte	Oligodendrocyte	Ptn	Ncl
Pericyte	Oligodendrocyte	Vtn	Itgav_Itgb1
Pericyte	Pericyte	Agrn	Dag1
Pericyte	Pericyte	App	Tnfrsf21
Pericyte	Pericyte	Col1a2	Itga1_Itgb1
Pericyte	Pericyte	Col4a1	Itga1_Itgb1
Pericyte	Pericyte	Col4a2	Itga1_Itgb1
Pericyte	Pericyte	Cxcl12	Ackr3
Pericyte	Pericyte	Lama4	Dag1
Pericyte	Pericyte	Lama4	Itga6_Itgb1
Pericyte	Pericyte	Lamb2	Dag1
Pericyte	Pericyte	Lamb2	Itga6_Itgb1
Pericyte	Pericyte	Lamc1	Dag1
Pericyte	Pericyte	Lamc1	Itga6_Itgb1
Pericyte	Pericyte	Mif	Ackr3
Pericyte	Pericyte	Pdgfa	Pdgfrb
Pericyte	Pericyte	Pros1	Axl
Pericyte	Pericyte	Ptn	Ncl
Pericyte	Pericyte	Ptn	Sdc2
Pericyte	Pericyte	Ptn	Sdc3
Pericyte	Smooth_muscle	Agrn	Dag1
Pericyte	Smooth_muscle	App	Cd74
Pericyte	Smooth_muscle	Col1a2	Itga1_Itgb1
Pericyte	Smooth_muscle	Col4a1	Itga1_Itgb1
Pericyte	Smooth_muscle	Col4a2	Itga1_Itgb1
Pericyte	Smooth_muscle	Cxcl12	Ackr3
Pericyte	Smooth_muscle	Grn	Sort1
Pericyte	Smooth_muscle	Lama4	Dag1
Pericyte	Smooth_muscle	Lama4	Itga7_Itgb1
Pericyte	Smooth_muscle	Lamb2	Dag1
Pericyte	Smooth_muscle	Lamb2	Itga7_Itgb1
Pericyte	Smooth_muscle	Lamc1	Dag1
Pericyte	Smooth_muscle	Lamc1	Itga7_Itgb1
Pericyte	Smooth_muscle	Mif	Ackr3
Pericyte	Smooth_muscle	Pdgfa	Pdgfrb
Pericyte	Smooth_muscle	Pros1	Axl
Pericyte	Smooth_muscle	Pros1	Mertk
Pericyte	Smooth_muscle	Ptn	Ncl
Pericyte	Smooth_muscle	Ptn	Sdc2
Pericyte	Smooth_muscle	Ptn	Sdc4
Pericyte	Smooth_muscle	Vtn	Itgav_Itgb1
Pericyte	Smooth_muscle	Vtn	Itgav_Itgb5
Smooth_muscle	Astrocyte	Agrn	Dag1
Smooth_muscle	Astrocyte	Col1a2	Itgav_Itgb8
Smooth_muscle	Astrocyte	Col4a1	Itgav_Itgb8
Smooth_muscle	Astrocyte	Col4a2	Itgav_Itgb8
Smooth_muscle	Astrocyte	Entpd1	Adora2b
Smooth_muscle	Astrocyte	Fgf1	Fgfr1
Smooth_muscle	Astrocyte	Fgf1	Fgfr3
Smooth_muscle	Astrocyte	Fn1	Itgav_Itgb1
Smooth_muscle	Astrocyte	Fn1	Itgav_Itgb8
Smooth_muscle	Astrocyte	Gas6	Axl
Smooth_muscle	Astrocyte	Gas6	Mertk
Smooth_muscle	Astrocyte	Hspg2	Dag1
Smooth_muscle	Astrocyte	Jag1	Notch1
Smooth_muscle	Astrocyte	Jag1	Notch2
Smooth_muscle	Astrocyte	Lama5	Dag1
Smooth_muscle	Astrocyte	Lama5	Itga6_Itgb1
Smooth_muscle	Astrocyte	Lama5	Itgav_Itgb8
Smooth_muscle	Astrocyte	Lamb2	Dag1
Smooth_muscle	Astrocyte	Lamb2	Itga6_Itgb1
Smooth_muscle	Astrocyte	Lamb2	Itgav_Itgb8
Smooth_muscle	Astrocyte	Lamc1	Dag1
Smooth_muscle	Astrocyte	Lamc1	Itga6_Itgb1
Smooth_muscle	Astrocyte	Lamc1	Itgav_Itgb8
Smooth_muscle	Astrocyte	Pdgfa	Pdgfrb
Smooth_muscle	Astrocyte	Pros1	Axl
Smooth_muscle	Astrocyte	Pros1	Mertk
Smooth_muscle	Astrocyte	Psap	Gpr37
Smooth_muscle	Astrocyte	Psap	Gpr37l1
Smooth_muscle	Astrocyte	Ptn	Ncl
Smooth_muscle	Astrocyte	Ptn	Ptprz1
Smooth_muscle	Astrocyte	Ptn	Sdc2
Smooth_muscle	Astrocyte	Ptn	Sdc4
Smooth_muscle	Astrocyte	Vtn	Itgav_Itgb1
