source	target	ligand	receptor
Astrocyte	Smooth_muscle	Mdk	Lrp1
Astrocyte	Smooth_muscle	Mdk	Ncl
Astrocyte	Smooth_muscle	Mdk	Sdc2
Astrocyte	Smooth_muscle	Mdk	Sdc4
Astrocyte	Smooth_muscle	Mif	Ackr3
Astrocyte	Smooth_muscle	Ncam1	Fgfr1
Astrocyte	Smooth_muscle	Ptn	Ncl
Astrocyte	Smooth_muscle	Ptn	Sdc2
Astrocyte	Smooth_muscle	Ptn	Sdc4
Astrocyte	Smooth_muscle	Sema4a	Plxnb2
Astrocyte	Smooth_muscle	Slitrk2	Ptprs
Endothelial	Astrocyte	Agrn	Dag1
Endothelial	Astrocyte	Col4a1	Itgav_Itgb8
Endothelial	Astrocyte	Col4a2	Itgav_Itgb8
Endothelial	Astrocyte	Dll4	Notch1
Endothelial	Astrocyte	Dll4	Notch2
Endothelial	Astrocyte	Edn1	Ednrb
Endothelial	Astrocyte	Efna1	Epha5
Endothelial	Astrocyte	Entpd1	Adora2b
Endothelial	Astrocyte	Fn1	Itgav_Itgb1
Endothelial	Astrocyte	Fn1	Itgav_Itgb8
Endothelial	Astrocyte	Gas6	Axl
Endothelial	Astrocyte	Gas6	Mertk
Endothelial	Astrocyte	Jam2	Itgav_Itgb1
Endothelial	Astrocyte	Lamb2	Dag1
Endothelial	Astrocyte	Lamb2	Itga6_Itgb1
Endothelial	Astrocyte	Lamb2	Itgav_Itgb8
Endothelial	Astrocyte	Pros1	Axl
Endothelial	Astrocyte	Pros1	Mertk
Endothelial	Astrocyte	Psap	Gpr37
Endothelial	Astrocyte	Psap	Gpr37l1
Endothelial	Astrocyte	Ptn	Ncl
Endothelial	Astrocyte	Ptn	Ptprz1
Endothelial	Astrocyte	Ptn	Sdc2
Endothelial	Astrocyte	Ptn	Sdc4
Endothelial	Endothelial	Agrn	Dag1
Endothelial	Endothelial	Dll4	Notch1
Endothelial	Endothelial	Dll4	Notch4
Endothelial	Endothelial	Lamb2	Dag1
Endothelial	Endothelial	Lamb2	Itga6_Itgb1
Endothelial	Endothelial	Ptn	Ncl
Endothelial	Endothelial	Ptn	Sdc3
Endothelial	Endothelial	Sema3c	Nrp1_Plxna2
Endothelial	Endothelial	Sema6a	Plxna2
Endothelial	Ependymal	Agrn	Dag1
Endothelial	Ependymal	Dll4	Notch1
Endothelial	Ependymal	Dll4	Notch2
Endothelial	Ependymal	Lamb2	Dag1
Endothelial	Ependymal	Psap	Gpr37l1
Endothelial	Ependymal	Ptn	Ncl
Endothelial	Ependymal	Ptn	Ptprz1
Endothelial	Ependymal	Ptn	Sdc2
Endothelial	Ependymal	Ptn	Sdc4
Endothelial	Fibroblast	Agrn	Dag1
Endothelial	Fibroblast	App	Cd74
Endothelial	Fibroblast	Dll4	Notch2
Endothelial	Fibroblast	Fn1	Itgav_Itgb1
Endothelial	Fibroblast	Gas6	Axl
Endothelial	Fibroblast	Jam2	Itgav_Itgb1
Endothelial	Fibroblast	Lamb2	Dag1
Endothelial	Fibroblast	Pros1	Axl
Endothelial	Fibroblast	Ptn	Ncl
Endothelial	Fibroblast	Ptn	Sdc2
Endothelial	Fibroblast	Ptn	Sdc4
Endothelial	Fibroblast	Sema3c	Nrp1_Plxna2
Endothelial	Fibroblast	Sema6a	Plxna2
Endothelial	Fibroblast	Tgfb1	Tgfbr1_Tgfbr2
Endothelial	Fibroblast	Tgfb2	Tgfbr1_Tgfbr2
Endothelial	Microglia	App	Cd74
Endothelial	Microglia	App	Tnfrsf21
Endothelial	Microglia	Dll4	Notch2
Endothelial	Microglia	Entpd1	Adora3
Endothelial	Microglia	Fn1	Itgav_Itgb1
Endothelial	Microglia	Gas6	Mertk
Endothelial	Microglia	Icam1	Itgam_Itgb2
Endothelial	Microglia	Icam2	Itgam_Itgb2
Endothelial	Microglia	Jam2	Itgav_Itgb1
Endothelial	Microglia	Lamb2	Itga6_Itgb1
Endothelial	Microglia	Pros1	Mertk
Endothelial	Microglia	Ptn	Ncl
Endothelial	Microglia	Tgfb1	Tgfbr1_Tgfbr2
Endothelial	Microglia	Tgfb2	Tgfbr1_Tgfbr2
Endothelial	Myeloid	App	Cd74
Endothelial	Myeloid	Dll4	Notch2
Endothelial	Myeloid	Gas6	Axl
Endothelial	Myeloid	Gas6	Mertk
Endothelial	Myeloid	Icam1	Itgam_Itgb2
