source	target	original_ligand	original_receptor	canonical_ligand	canonical_receptor	complex_order_changed	n_native_rows_exact_canonical	n_native_protein_rows_exact_canonical	native_interaction_ids	casefold_only_native_match	all_original_subunit_symbols_in_native_geneInfo	native_rows_requiring_additional_subunits	missing_genes_by_sample	in_controlled_1548	in_final_32	reason
Astrocyte	Endothelial	Mdk	Ncl	Mdk	Ncl	False	1	1	MDK_NCL	False	True		{}	True	True	retained
Astrocyte	Endothelial	Mdk	Sdc3	Mdk	Sdc3	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Nampt	Insr	Nampt	Insr	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Ncam1	Ptpra	Ncam1	Ptpra	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Ncan	Sdc3	Ncan	Sdc3	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Ndp	Fzd4	Ndp	Fzd4	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Ptdss1	Jmjd6	Ptdss1	Jmjd6	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Ptdss1	Scarb1	Ptdss1	Scarb1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Ptn	Ncl	Ptn	Ncl	False	1	1	PTN_NCL	False	True		{}	True	True	retained
Astrocyte	Endothelial	Ptn	Ptprb	Ptn	Ptprb	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Ptn	Sdc3	Ptn	Sdc3	False	1	1	PTN_SDC3	False	True		{}	True	True	retained
Astrocyte	Endothelial	Rarres2	Ccrl2	Rarres2	Ccrl2	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Rgma	Bmpr2	Rgma	Bmpr2	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Rtn4	Tnfrsf19	Rtn4	Tnfrsf19	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Selplg	Esam	Selplg	Esam	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Sema4a	Nrp1_Plxna2	Sema4a	Nrp1_Plxna2	False	1	1	SEMA4A_NRP1_PLXNA2	False	True		{}	True	True	retained
Astrocyte	Endothelial	Sirpa	Cd47	Sirpa	Cd47	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Sparc	Eng	Sparc	Eng	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Sptan1	Ptpra	Sptan1	Ptpra	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Tgfb2	Eng	Tgfb2	Eng	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Timp2	Itgb1	Timp2	Itgb1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Timp3	Kdr	Timp3	Kdr	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Trf	Tfrc	Trf	Tfrc	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Vegfa	Flt1_Kdr	Vegfa	Flt1_Kdr	False	1	1	VEGFA_VEGFR1R2	False	True		{}	True	True	retained
Astrocyte	Endothelial	Vegfa	Itgb1	Vegfa	Itgb1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Vegfa	Nrp1	Vegfa	Nrp1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Wnt7b	Tmed5	Wnt7b	Tmed5	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
Astrocyte	Endothelial	Ybx1	Notch1	Ybx1	Notch1	False	0	0		False	True		{}	False	False	no_exact_complete_subunit_pair_in_native_CellChatDB
