dataset	sample	condition
GSE174574	GSM5319987	Sham
GSE174574	GSM5319988	Sham
GSE174574	GSM5319989	Sham
GSE174574	GSM5319990	MCAO
GSE174574	GSM5319991	MCAO
GSE174574	GSM5319992	MCAO
GSE245386	GSM7841720	Sham
GSE245386	GSM7841721	Sham
GSE245386	GSM7841722	Sham
GSE245386	GSM7841723	MCAO
GSE245386	GSM7841724	MCAO
