source	target	ligand	receptor	zero_strength_library_count	all_11_strength_zero	discovery_zero_strength_library_count	discovery_direct_strength_raw_effect	discovery_direct_strength_effect_at_1e_12	discovery_derived_percentile_raw_effect	discovery_derived_percentile_effect_at_1e_12	external_zero_strength_library_count	external_direct_strength_raw_effect	external_direct_strength_effect_at_1e_12	external_derived_percentile_raw_effect	external_derived_percentile_effect_at_1e_12	allzero_strength_with_nonzero_derived_disease_effect
Astrocyte	Endothelial	Lamb2	Dag1	11	True	6	0.0	0.0	0.014059514059514056	0.014059514059514056	5	0.0	0.0	-0.024774774774774785	-0.024774774774774785	True
Astrocyte	Endothelial	Lamb2	Itga6_Itgb1	11	True	6	0.0	0.0	0.014059514059514056	0.014059514059514056	5	0.0	0.0	-0.024774774774774785	-0.024774774774774785	True
Astrocyte	Endothelial	Mdk	Itga6_Itgb1	1	False	0	-0.0017230062755016033	-0.0017230062755016033	0.005733005733005725	0.005733005733005725	1	0.0005920586387130229	0.0005920586387130229	0.068932568932569	0.068932568932569	False
Astrocyte	Endothelial	Mdk	Ncl	1	False	0	-0.00011545502899981078	-0.00011545502899981078	0.03330603330603321	0.03330603330603321	1	0.0019062176448038102	0.0019062176448038102	0.07630357630357637	0.07630357630357637	False
Astrocyte	Endothelial	Ptn	Ncl	0	False	0	-0.004451118047201011	-0.004451118047201011	0.006006006006006093	0.006006006006006093	0	-0.016686938436375226	-0.016686938436375226	-0.03003003003002991	-0.03003003003002991	False
Astrocyte	Endothelial	Ptn	Sdc3	7	False	6	0.0	0.0	0.014059514059514056	0.014059514059514056	1	0.014614937273783804	0.014614937273783804	0.23027573027573028	0.23027573027573028	False
Astrocyte	Endothelial	Sema4a	Nrp1_Plxna2	8	False	6	0.0	0.0	0.014059514059514056	0.014059514059514056	2	-0.0029977103183830562	-0.0029977103183830562	-0.13363363363363362	-0.13363363363363362	False
Astrocyte	Endothelial	Vegfa	Flt1_Kdr	5	False	5	0.0029656575314803563	0.0029656575314803563	0.18604968604968602	0.18604968604968602	0	-0.04882425989192004	-0.04882425989192004	-0.18400218400218393	-0.18400218400218393	False
Endothelial	Astrocyte	Agrn	Dag1	7	False	5	-0.0009020823587726711	-0.0009020823587726711	-0.09773409773409769	-0.09773409773409769	2	-0.006018940418416801	-0.006018940418416801	-0.32357357357357364	-0.32357357357357364	False
Endothelial	Astrocyte	Col4a1	Itgav_Itgb8	6	False	6	0.0	0.0	0.014059514059514056	0.014059514059514056	0	0.02041819506346964	0.02041819506346964	0.11015561015561015	0.11015561015561015	False
Endothelial	Astrocyte	Col4a2	Itgav_Itgb8	6	False	6	0.0	0.0	0.014059514059514056	0.014059514059514056	0	0.0252366033755458	0.0252366033755458	0.1609336609336609	0.1609336609336609	False
Endothelial	Astrocyte	Dll4	Notch1	6	False	6	0.0	0.0	0.014059514059514056	0.014059514059514056	0	0.00025089267880331646	0.00025089267880331646	-0.03494403494403503	-0.03494403494403503	False
Endothelial	Astrocyte	Dll4	Notch2	6	False	6	0.0	0.0	0.014059514059514056	0.014059514059514056	0	-0.0010107351375534942	-0.0010107351375534942	-0.08463008463008467	-0.08463008463008467	False
Endothelial	Astrocyte	Edn1	Ednrb	0	False	0	-0.0030898944696897694	-0.0030898944696897694	-0.042861042861042864	-0.042861042861042864	0	-0.009866891373407797	-0.009866891373407797	-0.20802620802620797	-0.20802620802620797	False
Endothelial	Astrocyte	Efna1	Epha5	7	False	6	0.0	0.0	0.014059514059514056	0.014059514059514056	1	-0.001213804000622143	-0.001213804000622143	-0.1055828555828556	-0.1055828555828556	False
Endothelial	Astrocyte	Entpd1	Adora2b	11	True	6	0.0	0.0	0.014059514059514056	0.014059514059514056	5	0.0	0.0	-0.024774774774774785	-0.024774774774774785	True
Endothelial	Astrocyte	Fn1	Itgav_Itgb1	6	False	6	0.0	0.0	0.014059514059514056	0.014059514059514056	0	0.026381185892890312	0.026381185892890312	0.12462462462462465	0.12462462462462465	False
Endothelial	Astrocyte	Fn1	Itgav_Itgb8	6	False	6	0.0	0.0	0.014059514059514056	0.014059514059514056	0	0.0172165538491706	0.0172165538491706	0.07098007098007086	0.07098007098007086	False
Endothelial	Astrocyte	Gas6	Axl	7	False	6	0.0	0.0	0.014059514059514056	0.014059514059514056	1	-0.0002465059278638317	-0.0002465059278638317	-0.00013650013650015613	-0.00013650013650015613	False
Endothelial	Astrocyte	Gas6	Mertk	0	False	0	-0.014202543483767191	-0.014202543483767191	-0.1004641004641007	-0.1004641004641007	0	-0.0027778102494614085	-0.0027778102494614085	-0.08067158067158064	-0.08067158067158064	False
Endothelial	Astrocyte	Jam2	Itgav_Itgb1	6	False	6	0.0	0.0	0.014059514059514056	0.014059514059514056	0	0.006863144708866989	0.006863144708866989	0.040131040131040074	0.040131040131040074	False
Endothelial	Astrocyte	Lamb2	Dag1	6	False	6	0.0	0.0	0.014059514059514056	0.014059514059514056	0	-0.0018083403983411243	-0.0018083403983411243	-0.10537810537810544	-0.10537810537810544	False
Endothelial	Astrocyte	Lamb2	Itga6_Itgb1	6	False	6	0.0	0.0	0.014059514059514056	0.014059514059514056	0	-0.0008516140740331577	-0.0008516140740331577	-0.07848757848757848	-0.07848757848757848	False
Endothelial	Astrocyte	Lamb2	Itgav_Itgb8	6	False	6	0.0	0.0	0.014059514059514056	0.014059514059514056	0	0.000606724110967515	0.000606724110967515	-0.02279552279552277	-0.02279552279552277	False
