elapsed_seconds	rss_bytes
0.02	4300800
1.03	141803520
2.03	243937280
3.05	433913856
4.06	457551872
5.06	601329664
6.08	737361920
7.09	884801536
8.09	905490432
9.11	927444992
10.12	958046208
11.14	1016328192
12.16	1029586944
13.16	949325824
14.17	945451008
15.19	1033207808
16.19	1029443584
17.2	968884224
18.22	965447680
19.22	1015672832
20.23	995573760
21.25	937291776
22.27	979623936
23.28	935755776
24.28	937156608
25.3	961433600
26.31	1000132608
27.33	847011840
28.33	840445952
29.34	750047232
30.36	746434560
31.38	843530240
32.39	863178752
33.41	862371840
34.42	861499392
35.44	829308928
36.45	864464896
37.47	834596864
38.48	682618880
39.5	812912640
40.52	769990656
41.52	849084416
42.53	849149952
43.55	727244800
44.56	805134336
45.58	729600000
46.59	807215104
47.61	781619200
48.62	791912448
49.64	717766656
50.64	739078144
51.66	841637888
52.67	852742144
53.69	771203072
54.69	765353984
55.7	855920640
56.72	836173824
57.72	833314816
58.73	815824896
59.75	838361088
60.77	737456128
61.77	807759872
62.78	810807296
63.8	836018176
64.81	850337792
65.83	843669504
66.84	827600896
67.84	825974784
68.86	843902976
69.88	845688832
70.89	832450560
71.91	745148416
72.91	772014080
73.92	780410880
74.94	835813376
75.95	782327808
76.97	817938432
77.98	835117056
79.0	828882944
80.02	778792960
81.02	730202112
82.03	799399936
83.05	838778880
84.06	850046976
85.08	734601216
86.09	836370432
87.11	824176640
88.12	838488064
89.12	762560512
90.14	748859392
91.16	827346944
92.16	817741824
93.17	765542400
94.19	779087872
95.2	778665984
96.22	870580224
97.23	842395648
98.23	838737920
99.25	847597568
100.27	850665472
101.27	846909440
102.28	884801536
