elapsed_seconds	rss_bytes
0.03	5316608
1.05	151355392
2.05	261840896
3.06	441937920
4.08	479903744
5.09	578338816
6.11	793669632
7.12	888967168
8.14	1044340736
9.16	1022095360
10.16	1090199552
11.17	949686272
12.19	937594880
13.2	964673536
14.22	1090990080
15.23	1071747072
16.25	1067368448
17.27	1123491840
18.27	1098059776
19.28	1098530816
20.3	1090125824
21.31	922038272
22.33	999727104
23.33	1062719488
24.34	1083609088
25.36	1007755264
26.36	1067229184
27.38	1063317504
28.38	1064923136
29.39	1076174848
30.41	1006751744
31.42	1100238848
32.42	1095233536
33.45	1066303488
34.47	1079492608
35.48	1083518976
36.5	1058664448
37.52	1085165568
38.53	1091723264
39.55	1092861952
40.56	1075044352
41.56	1081794560
42.58	1098051584
43.59	1072279552
44.61	1095790592
45.62	1207078912
46.64	1208832000
47.66	1066332160
48.67	1060270080
49.69	1218748416
50.7	1229561856
51.72	1245159424
52.73	1246162944
53.75	1069101056
54.77	1225949184
55.78	1179295744
56.8	1146617856
57.81	1139281920
58.83	1126068224
59.84	1109401600
60.84	1085050880
61.86	1098371072
62.88	1111207936
63.89	1071255552
64.91	937234432
65.91	936505344
66.92	960303104
67.94	910372864
68.95	916537344
69.97	908759040
71.0	1131237376
72.02	1044430848
73.03	810385408
74.05	630640640
75.06	884797440
76.06	929239040
77.09	825749504
78.09	799121408
79.11	872054784
80.12	1016229888
81.14	1030217728
82.14	816369664
83.16	1016291328
84.17	1013137408
85.19	1020833792
86.19	1054433280
87.2	1036197888
88.22	1062805504
89.22	1058443264
90.23	1053454336
91.25	1045344256
92.27	891891712
93.28	859262976
94.28	1012482048
95.3	1049722880
96.33	839364608
97.33	817029120
98.34	1029566464
99.36	1043386368
100.38	1011593216
101.39	1058418688
102.41	1053102080
103.42	1050316800
104.44	852205568
105.45	965820416
106.45	910848000
107.47	856330240
108.48	852877312
109.5	877682688
110.52	969449472
111.53	971280384
112.53	963301376
113.55	979718144
114.55	990072832
115.56	1014059008
