dataset	config	sender	receiver	ligand	receptor	eligible_05	eligible_10	eligible_20	mean_control_score	mean_stroke_score	score_difference	welch_p	exact_permutation_p	ligand_mean_log2fc	receptor_mean_log2fc	ligand_min_padj	receptor_min_padj	ligand_any_changed	receptor_any_changed	candidate_changed_component	ligand_min_detection_stroke	receptor_min_detection_stroke	welch_fdr	welch_fdr_eligible_05	welch_fdr_eligible_10	welch_fdr_eligible_20	loso_min_delta	loso_max_delta	loso_same_direction_fraction
GSE174574	primary	Astrocyte	Endothelial	Spp1	Itga5_Itgb1	True	True	False	0.0343558196797842	0.5788472815185766	0.5444914618387923	0.0001476935930104	0.1	8.442535775610972	1.021534945288879	6.994839841412428e-41	2.091897734038406e-18	True	True	True	0.9257034987663189	0.1184583715053416		0.0030174971017783	0.0025459562223703		0.5352027845127358	0.5616763485066859	1.0
GSE174574	primary	Astrocyte	Endothelial	Timp3	Kdr	True	True	True	1.1566056880844158	0.8539363035296764	-0.3026693845547393	0.000455835524477	0.1	-0.4901041829807783	-0.6812604702673553	3.660070416373384e-05	7.08262840513104e-21	False	True	True	0.5052218953009272	0.5283724260353065		0.0050544115508194	0.0050003775715365	0.0040757058659127	-0.3178928228255945	-0.28514491464996616	1.0
GSE174574	primary	Endothelial	Astrocyte	Ptn	Ptprz1	True	True	True	1.5372140593604813	1.1660586558018535	-0.3711554035586277	0.0006370793208987	0.1	-1.2254211794342516	-0.0435022463593874	2.498578897181377e-72	0.8653356113165632	True	False	True	0.4877481399590809	0.7439372915375557		0.0060044725994707	0.0057655678541337	0.0048418028388305	-0.3900507395187316	-0.35741840234514033	1.0
GSE174574	primary	Endothelial	Astrocyte	Plat	Lrp1	True	True	True	0.6248614022505298	1.0434181733338932	0.4185567710833634	4.410462014163758e-05	0.1	1.731413312641688	0.3512112890406507	5.100505457774071e-164	0.0610258084736296	True	False	True	0.7886479882763627	0.3913716444736061		0.0019561696227526	0.0017078101917281	0.0014341831444346	0.40294752567765346	0.4294020795825154	1.0
GSE174574	strict_identity	Astrocyte	Endothelial	Spp1	Itga5_Itgb1	True	True	False	0.031425895003261	0.5814748204410063	0.5500489254377452	7.47506046708494e-05	0.1	8.491253763739682	1.04303372047565	6.944342053321551e-31	3.669313277619485e-12	True	True	True	0.9270094774838432	0.1203215659635359		0.0039286320150219	0.0030481635460224		0.5415973297440392	0.5660943587322816	1.0
GSE174574	strict_identity	Astrocyte	Endothelial	Timp3	Kdr	True	True	True	1.2000392944131029	0.9007760358159796	-0.2992632585971232	0.0001712208070965	0.1	-0.464728362590193	-0.6508496339823377	0.0003175268441822	3.949843472337884e-15	False	True	True	0.5011884736890818	0.6038548073314006		0.0047959248662339	0.0043932982717674	0.0039240413446467	-0.310573856877314	-0.28381773795918386	1.0
GSE174574	strict_identity	Endothelial	Astrocyte	Ptn	Ptprz1	True	True	True	1.5869633253615787	1.1978799304641792	-0.3890833948973995	0.0013919994626953	0.1	-1.1367251541345824	-0.0883412357350556	4.2149439171041504e-58	0.707268097802865	True	False	True	0.4961459906497336	0.7718685665864249		0.0099287704968251	0.0103297946992066	0.0090177356496352	-0.41276720877953754	-0.3732644931073128	1.0
GSE174574	strict_identity	Endothelial	Astrocyte	Plat	Lrp1	True	True	True	0.650876295701151	1.0498615647882434	0.3989852690870924	0.0003510017767086	0.1	1.7155736791874598	0.2714910984377521	1.632260963304021e-141	0.2370221189108244	True	False	True	0.7931005998279154	0.397300866041387		0.005742986516786	0.0051527060820828	0.0040070811382116	0.3786508131034657	0.4115855888416293	1.0
GSE174574	mt10	Astrocyte	Endothelial	Spp1	Itga5_Itgb1	True	True	False	0.0347170125755123	0.5777989852291229	0.5430819726536105	0.0001875280882328	0.1	8.445996968224824	1.0149189556041038	4.174682070765277e-45	3.816665849997083e-18	True	True	True	0.9263928195264918	0.1183168111566667		0.0034188738958827	0.0033129962254472		0.5337691902648958	0.5603653873628376	1.0
GSE174574	mt10	Astrocyte	Endothelial	Timp3	Kdr	True	True	True	1.1563302632273358	0.8593503970850193	-0.2969798661423165	0.0010790598647893	0.1	-0.4755835131986595	-0.6797547737576526	0.0001052260801283	1.7869575321777233e-20	False	True	True	0.513780891758636	0.5280345007826801		0.0083461977296975	0.008340233538268	0.0074553227021812	-0.31459376452335464	-0.2759398450513809	1.0
GSE174574	mt10	Endothelial	Astrocyte	Ptn	Ptprz1	True	True	True	1.5350481300365184	1.1649461917538868	-0.3701019382826316	0.0007470776950395	0.1	-1.2255924517720025	-0.0431373066716787	3.501303798495428e-71	0.8730758434508321	True	False	True	0.4877032688924119	0.7469289127016836		0.0069911715165426	0.0071068160220426	0.0062212250237278	-0.3898134626842278	-0.3534926902563966	1.0
GSE174574	mt10	Endothelial	Astrocyte	Plat	Lrp1	True	True	True	0.6139861263542891	1.0349304285451844	0.4209443021908953	0.000108896339943	0.1	1.735736023322621	0.3735505612468605	1.7872086127710864e-163	0.0537566922961032	True	False	True	0.7886101264091124	0.3894533742424936		0.0028463250233388	0.0023765024775805	0.0023646062387632	0.4024874010874099	0.43356545664334745	1.0
GSE174574	low_myeloid	Astrocyte	Endothelial	Spp1	Itga5_Itgb1	True	True	False	0.0336344178505723	0.5775930326677634	0.5439586148171911	0.0001149224721965	0.1	8.441702480193133	1.0204425686727232	9.673277526618009e-30	2.450112868422676e-18	True	True	True	0.9251760492095148	0.1181746555354269		0.0035482313290681	0.0029797755290959		0.5341699555102759	0.560740045547228	1.0
GSE174574	low_myeloid	Astrocyte	Endothelial	Timp3	Kdr	True	True	True	1.15779398523202	0.8555726799162419	-0.3022213053157782	0.0006906675596469	0.1	-0.489247822976254	-0.6805859277803797	3.0454035513107507e-05	7.400333367823061e-21	False	True	True	0.5056522585586777	0.5281058704855522		0.0061922843085012	0.0059258429254878	0.0051142752993289	-0.3183267338829344	-0.28365184109695607	1.0
GSE174574	low_myeloid	Endothelial	Astrocyte	Ptn	Ptprz1	True	True	True	1.5387384728397333	1.1678467231418266	-0.3708917496979067	0.0008258493121739	0.1	-1.2237389719926617	-0.0456792289375511	1.6439188630779937e-72	0.8500299374695832	True	False	True	0.488023467335468	0.7443229970123308		0.0064773140039682	0.0062454854233157	0.0052647893651091	-0.38994941169707764	-0.35713706199193984	1.0
GSE174574	low_myeloid	Endothelial	Astrocyte	Plat	Lrp1	True	True	True	0.6200085263247005	1.0430721074005784	0.4230635810758779	3.253898169623337e-05	0.1	1.7309579990397916	0.402943953513228	1.1182480690213797e-163	0.0225130853849163	True	False	True	0.7885295168393195	0.3906146834823031		0.0016662603210472	0.0011130888784323	0.0008297440332539	0.4081678119951596	0.4342906598974007	1.0
